Timestamp,BI
1738271689.1308,624
1738271689.47841,592
1738271689.82722,565
1738271690.41884,402
1738271690.98422,402
1738271691.38587,414
1738271691.73938,402
1738271692.15289,402
1738271692.48857,396
1738271692.98037,396
1738271693.37653,396
1738271693.71621,492
1738271694.30978,594
1738271694.95843,649
1738271695.61466,649
1738271696.33392,649
1738271696.70803,555
1738271697.18013,472
1738271697.73551,472
1738271698.14647,555
1738271699.1497,1003
1738271700.20032,1003
1738271701.25128,1003
1738271701.5589,1051
1738271702.424,951
1738271703.51034,865
1738271704.46156,865
1738271704.97828,951
1738271705.58166,951
1738271706.64253,630
1738271707.75046,630
1738271708.38078,1015
1738271708.79379,1015
1738271709.8087,928
1738271710.84179,1015
1738271711.76958,1015
1738271712.82796,928
1738271713.20693,379
1738271713.56694,379
1738271713.92455,379
1738271714.97976,1034
1738271716.14373,1034
1738271717.17765,1034
1738271717.61475,437
1738271718.01187,437
1738271718.33123,437
1738271719.24153,588
1738271719.82939,588
1738271720.47411,588
1738271720.81003,360
1738271721.1701,360
1738271721.5065,351
1738271722.51517,360
1738271722.86654,615
1738271723.48144,841
1738271724.32241,822
1738271725.18509,841
1738271726.00718,863
1738271726.95761,863
1738271727.95533,822
1738271728.7207,765
1738271729.07482,652
1738271729.72633,557
1738271730.1057,557
1738271730.66251,652
1738271731.45608,557
1738271732.42833,584
1738271732.92312,794
1738271733.50696,972
1738271734.57835,992
1738271735.6692,1071
1738271736.66103,1071
1738271737.74841,992
1738271738.10064,797
1738271738.60766,507
1738271739.40512,464
1738271739.86933,464
1738271740.26307,394
1738271740.57865,394
1738271740.9067,394
1738271741.56347,657
1738271742.53061,967
1738271743.67908,1100
1738271744.77878,1100
1738271746.06612,1100
1738271746.62517,1100
1738271746.93314,559
1738271748.03358,559
1738271748.35941,336
1738271749.03441,675
1738271749.37062,675
1738271750.05418,684
1738271751.23097,684
1738271752.13826,728
1738271752.47691,837
1738271753.205,837
1738271754.04176,837
1738271755.09612,837
1738271756.29701,837
1738271756.94894,1054
1738271757.46097,969
1738271758.51849,969
1738271759.48738,969
1738271760.77976,969
1738271761.41398,920
1738271761.93072,634
1738271762.85032,634
1738271763.2307,677
1738271763.90756,920
1738271765.01689,677
1738271765.95612,677
1738271766.4838,863
1738271766.8686,863
1738271767.7315,863
1738271768.7342,950
1738271769.68379,997
1738271770.92672,997
1738271771.92366,950
1738271772.26097,574
