LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1738271568.641166,538069.000,14106,4,PR,1,100,95782
1738271568.641166,538069.000,14106,4,PR,1,100,95737
1738271568.641166,538069.000,14106,4,PR,1,100,95785
1738271568.641166,538069.000,14106,4,PR,1,100,95757
1738271568.651867,538079.700,14126,10,PR,1,100,95771
1738271568.662567,538090.400,14126,10,PR,1,100,95754
1738271568.673267,538101.100,14126,10,PR,1,100,95747
1738271568.683968,538111.800,14126,10,PR,1,100,95775
1738271568.694668,538122.500,14126,10,PR,1,100,95781
1738271568.705368,538133.200,14126,10,PR,1,100,95761
1738271568.716069,538143.900,14126,10,PR,1,100,95779
1738271568.726769,538154.600,14126,10,PR,1,100,95756
1738271568.737469,538165.300,14126,10,PR,1,100,95761
1738271568.748169,538176.000,14126,10,PR,1,100,95800
1738271568.757470,538185.300,14142,10,PR,1,100,95750
1738271568.766770,538194.600,14142,10,PR,1,100,95790
1738271568.776070,538203.900,14142,10,PR,1,100,95777
1738271568.785371,538213.200,14142,10,PR,1,100,95780
1738271568.794671,538222.500,14142,10,PR,1,100,95779
1738271568.803971,538231.800,14142,10,PR,1,100,95794
1738271568.813272,538241.100,14142,10,PR,1,100,95782
1738271568.822572,538250.400,14142,10,PR,1,100,95761
1738271568.831872,538259.700,14142,10,PR,1,100,95755
1738271568.841172,538269.000,14142,10,PR,1,100,95755
1738271568.851873,538279.700,14157,10,PR,1,100,95804
1738271568.862573,538290.400,14157,10,PR,1,100,95797
1738271568.873273,538301.100,14157,10,PR,1,100,95799
1738271568.883974,538311.800,14157,10,PR,1,100,95769
1738271568.894674,538322.500,14157,10,PR,1,100,95791
1738271568.905374,538333.200,14157,10,PR,1,100,95822
1738271568.916075,538343.900,14157,10,PR,1,100,95763
1738271568.926775,538354.600,14157,10,PR,1,100,95813
1738271568.937475,538365.300,14157,10,PR,1,100,95781
1738271568.948175,538376.000,14157,10,PR,1,100,95766
1738271568.958509,538386.333,14173,9,PR,1,100,95786
1738271568.968843,538396.667,14173,9,PR,1,100,95775
1738271568.979177,538407.000,14173,9,PR,1,100,95786
1738271568.989510,538417.333,14173,9,PR,1,100,95766
1738271568.999844,538427.667,14173,9,PR,1,100,95778
1738271569.010177,538438.000,14173,9,PR,1,100,95771
1738271569.020511,538448.333,14173,9,PR,1,100,95746
1738271569.030845,538458.667,14173,9,PR,1,100,95784
1738271569.041178,538469.000,14173,9,PR,1,100,95770
1738271569.050906,538478.727,14190,11,PR,1,100,95756
1738271569.060633,538488.455,14190,11,PR,1,100,95812
1738271569.070361,538498.182,14190,11,PR,1,100,95790
1738271569.080089,538507.909,14190,11,PR,1,100,95803
1738271569.089816,538517.636,14190,11,PR,1,100,95772
1738271569.099544,538527.364,14190,11,PR,1,100,95807
1738271569.109271,538537.091,14190,11,PR,1,100,95787
1738271569.118999,538546.818,14190,11,PR,1,100,95825
1738271569.128726,538556.545,14190,11,PR,1,100,95767
1738271569.138454,538566.273,14190,11,PR,1,100,95758
1738271569.148181,538576.000,14190,11,PR,1,100,95779
1738271569.157818,538585.636,14206,11,PR,1,100,95752
1738271569.167455,538595.273,14206,11,PR,1,100,95813
1738271569.177092,538604.909,14206,11,PR,1,100,95757
1738271569.186728,538614.545,14206,11,PR,1,100,95791
1738271569.196365,538624.182,14206,11,PR,1,100,95777
1738271569.206002,538633.818,14206,11,PR,1,100,95809
1738271569.215638,538643.455,14206,11,PR,1,100,95808
1738271569.225275,538653.091,14206,11,PR,1,100,95779
1738271569.234911,538662.727,14206,11,PR,1,100,95800
1738271569.244548,538672.364,14206,11,PR,1,100,95782
1738271569.254185,538682.000,14206,11,PR,1,100,95782
1738271569.264630,538692.444,14221,9,PR,1,100,95780
1738271569.275074,538702.889,14221,9,PR,1,100,95778
1738271569.285519,538713.333,14221,9,PR,1,100,95765
1738271569.295964,538723.778,14221,9,PR,1,100,95775
1738271569.306409,538734.222,14221,9,PR,1,100,95787
1738271569.316853,538744.667,14221,9,PR,1,100,95798
1738271569.327298,538755.111,14221,9,PR,1,100,95818
1738271569.337743,538765.556,14221,9,PR,1,100,95770
1738271569.348187,538776.000,14221,9,PR,1,100,95761
1738271569.358788,538786.600,14237,10,PR,1,100,95776
1738271569.369388,538797.200,14237,10,PR,1,100,95766
1738271569.379988,538807.800,14237,10,PR,1,100,95800
1738271569.390589,538818.400,14237,10,PR,1,100,95801
1738271569.401189,538829.000,14237,10,PR,1,100,95780
1738271569.411789,538839.600,14237,10,PR,1,100,95802
1738271569.422390,538850.200,14237,10,PR,1,100,95805
1738271569.432990,538860.800,14237,10,PR,1,100,95778
1738271569.443590,538871.400,14237,10,PR,1,100,95786
1738271569.454191,538882.000,14237,10,PR,1,100,95815
1738271569.463591,538891.400,14252,10,PR,1,100,95758
1738271569.472991,538900.800,14252,10,PR,1,100,95816
1738271569.482392,538910.200,14252,10,PR,1,100,95796
1738271569.491792,538919.600,14252,10,PR,1,100,95812
1738271569.501192,538929.000,14252,10,PR,1,100,95772
1738271569.510592,538938.400,14252,10,PR,1,100,95795
1738271569.519993,538947.800,14252,10,PR,1,100,95771
1738271569.529393,538957.200,14252,10,PR,1,100,95774
1738271569.538793,538966.600,14252,10,PR,1,100,95763
1738271569.548194,538976.000,14252,10,PR,1,100,95788
1738271569.558794,538986.600,14268,10,PR,1,100,95798
1738271569.569394,538997.200,14268,10,PR,1,100,95805
1738271569.579994,539007.800,14268,10,PR,1,100,95816
1738271569.590595,539018.400,14268,10,PR,1,100,95821
1738271569.601195,539029.000,14268,10,PR,1,100,95804
1738271569.611795,539039.600,14268,10,PR,1,100,95783
1738271569.622396,539050.200,14268,10,PR,1,100,95817
1738271569.632996,539060.800,14268,10,PR,1,100,95817
1738271569.643596,539071.400,14268,10,PR,1,100,95789
1738271569.654197,539082.000,14268,10,PR,1,100,95793
1738271569.664642,539092.444,14284,9,PR,1,100,95771
1738271569.675086,539102.889,14284,9,PR,1,100,95776
1738271569.685531,539113.333,14284,9,PR,1,100,95823
