LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1738271568.628166,538056.000,14115,1,GZ,1,100,-0.031
1738271568.668167,538096.000,14136,2,GZ,1,100,-0.031
1738271568.708168,538136.000,14136,2,GZ,1,100,0.000
1738271568.748169,538176.000,14152,3,GZ,1,100,-0.092
1738271568.788171,538216.000,14152,3,GZ,1,100,-0.244
1738271568.828172,538256.000,14152,3,GZ,1,100,-0.275
1738271568.868173,538296.000,14166,3,GZ,1,100,-0.275
1738271568.908174,538336.000,14166,3,GZ,1,100,-0.275
1738271568.948175,538376.000,14166,3,GZ,1,100,-0.214
1738271568.988177,538416.000,14183,2,GZ,1,100,-0.183
1738271569.028178,538456.000,14183,2,GZ,1,100,0.031
1738271569.068179,538496.000,14200,3,GZ,1,100,0.061
1738271569.108180,538536.000,14200,3,GZ,1,100,-0.122
1738271569.148181,538576.000,14200,3,GZ,1,100,-0.061
1738271569.188183,538616.000,14216,2,GZ,1,100,-0.061
1738271569.228184,538656.000,14216,2,GZ,1,100,-0.092
1738271569.268185,538696.000,14230,3,GZ,1,100,-0.092
1738271569.308186,538736.000,14230,3,GZ,1,100,-0.153
1738271569.348187,538776.000,14230,3,GZ,1,100,-0.153
1738271569.388189,538816.000,14247,2,GZ,1,100,-0.031
1738271569.428190,538856.000,14247,2,GZ,1,100,0.061
1738271569.468191,538896.000,14262,3,GZ,1,100,0.000
1738271569.508192,538936.000,14262,3,GZ,1,100,0.000
1738271569.548194,538976.000,14262,3,GZ,1,100,0.061
1738271569.588195,539016.000,14278,2,GZ,1,100,0.031
1738271569.628196,539056.000,14278,2,GZ,1,100,0.000
1738271569.668197,539096.000,14293,3,GZ,1,100,-0.061
1738271569.708198,539136.000,14293,3,GZ,1,100,-0.092
1738271569.748200,539176.000,14293,3,GZ,1,100,-0.061
1738271569.788201,539216.000,14309,2,GZ,1,100,-0.061
1738271569.828202,539256.000,14309,2,GZ,1,100,-0.061
1738271569.867870,539295.667,14324,3,GZ,1,100,-0.122
1738271569.907538,539335.333,14324,3,GZ,1,100,-0.031
1738271569.947206,539375.000,14324,3,GZ,1,100,-0.092
1738271569.987207,539415.000,14341,2,GZ,1,100,-0.061
1738271570.027208,539455.000,14341,2,GZ,1,100,-0.183
1738271570.067543,539495.333,14355,3,GZ,1,100,-0.244
1738271570.107877,539535.667,14355,3,GZ,1,100,-0.092
1738271570.148212,539576.000,14355,3,GZ,1,100,-0.061
1738271570.187713,539615.500,14371,2,GZ,1,100,-0.122
1738271570.227214,539655.000,14371,2,GZ,1,100,-0.122
1738271570.267549,539695.333,14386,3,GZ,1,100,-0.214
1738271570.307883,539735.667,14386,3,GZ,1,100,-0.397
1738271570.348218,539776.000,14386,3,GZ,1,100,-0.397
1738271570.388219,539816.000,14403,3,GZ,1,100,-0.305
1738271570.428220,539856.000,14403,3,GZ,1,100,-0.153
1738271570.468221,539896.000,14403,3,GZ,1,100,-0.153
1738271570.508223,539936.000,14418,2,GZ,1,100,-0.122
1738271570.548224,539976.000,14418,2,GZ,1,100,-0.031
1738271570.588225,540016.000,14433,3,GZ,1,100,-0.031
1738271570.628226,540056.000,14433,3,GZ,1,100,-0.061
1738271570.668227,540096.000,14433,3,GZ,1,100,-0.031
1738271570.707729,540135.500,14453,2,GZ,1,100,-0.183
1738271570.747230,540175.000,14453,2,GZ,1,100,-0.580
1738271570.787231,540215.000,14469,3,GZ,1,100,-0.549
1738271570.827232,540255.000,14469,3,GZ,1,100,-0.336
1738271570.867233,540295.000,14469,3,GZ,1,100,-0.397
1738271570.902901,540330.667,14484,3,GZ,1,100,-0.397
1738271570.938569,540366.333,14484,3,GZ,1,100,-0.488
1738271570.974237,540402.000,14484,3,GZ,1,100,-0.519
1738271571.014238,540442.000,14500,2,GZ,1,100,-0.397
1738271571.054239,540482.000,14500,2,GZ,1,100,-0.092
1738271571.094240,540522.000,14515,3,GZ,1,100,-0.122
1738271571.134241,540562.000,14515,3,GZ,1,100,-0.031
1738271571.174243,540602.000,14515,3,GZ,1,100,0.031
1738271571.214244,540642.000,14531,2,GZ,1,100,0.061
1738271571.254245,540682.000,14531,2,GZ,1,100,0.000
1738271571.294246,540722.000,14547,3,GZ,1,100,0.000
1738271571.334248,540762.000,14547,3,GZ,1,100,0.031
1738271571.374249,540802.000,14547,3,GZ,1,100,0.031
1738271571.414250,540842.000,14562,2,GZ,1,100,0.122
1738271571.454251,540882.000,14562,2,GZ,1,100,0.458
1738271571.494252,540922.000,14577,3,GZ,1,100,0.549
1738271571.534254,540962.000,14577,3,GZ,1,100,0.092
1738271571.574255,541002.000,14577,3,GZ,1,100,-0.305
1738271571.614256,541042.000,14593,2,GZ,1,100,-0.183
1738271571.654257,541082.000,14593,2,GZ,1,100,-0.275
1738271571.694258,541122.000,14609,3,GZ,1,100,-0.275
1738271571.734260,541162.000,14609,3,GZ,1,100,-0.214
1738271571.774261,541202.000,14609,3,GZ,1,100,-0.183
1738271571.814262,541242.000,14624,2,GZ,1,100,0.031
1738271571.854263,541282.000,14624,2,GZ,1,100,0.732
1738271571.894264,541322.000,14639,3,GZ,1,100,1.282
1738271571.934266,541362.000,14639,3,GZ,1,100,0.671
1738271571.974267,541402.000,14639,3,GZ,1,100,-0.183
1738271572.014268,541442.000,14656,2,GZ,1,100,-0.549
1738271572.054269,541482.000,14656,2,GZ,1,100,-0.854
1738271572.094270,541522.000,14671,3,GZ,1,100,-0.916
1738271572.134272,541562.000,14671,3,GZ,1,100,-1.007
1738271572.174273,541602.000,14671,3,GZ,1,100,-0.885
1738271572.214274,541642.000,14686,3,GZ,1,100,-0.854
1738271572.254275,541682.000,14686,3,GZ,1,100,-0.702
1738271572.294276,541722.000,14686,3,GZ,1,100,-0.610
1738271572.334278,541762.000,14702,2,GZ,1,100,-0.580
1738271572.374279,541802.000,14702,2,GZ,1,100,-0.671
1738271572.414280,541842.000,14718,3,GZ,1,100,-0.793
1738271572.454281,541882.000,14718,3,GZ,1,100,-0.671
1738271572.494282,541922.000,14718,3,GZ,1,100,-0.732
1738271572.534284,541962.000,14733,2,GZ,1,100,-0.671
1738271572.574285,542002.000,14733,2,GZ,1,100,-0.275
1738271572.614286,542042.000,14749,3,GZ,1,100,-0.092
1738271572.654287,542082.000,14749,3,GZ,1,100,0.000
1738271572.694288,542122.000,14749,3,GZ,1,100,0.122
1738271572.734290,542162.000,14764,2,GZ,1,100,0.275
1738271572.774291,542202.000,14764,2,GZ,1,100,0.397
1738271572.814292,542242.000,14780,3,GZ,1,100,0.366
1738271572.854293,542282.000,14780,3,GZ,1,100,0.305
1738271572.894295,542322.000,14780,3,GZ,1,100,0.275
1738271572.934296,542362.000,14795,2,GZ,1,100,0.092
1738271572.974297,542402.000,14795,2,GZ,1,100,-0.092
1738271573.014298,542442.000,14812,3,GZ,1,100,-0.336
1738271573.054299,542482.000,14812,3,GZ,1,100,-0.397
1738271573.094301,542522.000,14812,3,GZ,1,100,-0.488
1738271573.134302,542562.000,14826,2,GZ,1,100,-0.427
1738271573.174303,542602.000,14826,2,GZ,1,100,-0.305
1738271573.214304,542642.000,14842,3,GZ,1,100,-0.214
1738271573.254305,542682.000,14842,3,GZ,1,100,-0.153
1738271573.294307,542722.000,14842,3,GZ,1,100,-0.214
1738271573.334308,542762.000,14858,2,GZ,1,100,-0.214
1738271573.374309,542802.000,14858,2,GZ,1,100,-0.061
1738271573.414310,542842.000,14876,3,GZ,1,100,0.244
1738271573.454311,542882.000,14876,3,GZ,1,100,0.305
1738271573.494313,542922.000,14876,3,GZ,1,100,-0.031
1738271573.529647,542957.333,14890,3,GZ,1,100,-0.183
1738271573.564981,542992.667,14890,3,GZ,1,100,-0.183
1738271573.600316,543028.000,14890,3,GZ,1,100,-0.061
1738271573.640817,543068.500,14907,2,GZ,1,100,-0.122
1738271573.681318,543109.000,14907,2,GZ,1,100,0.061
1738271573.720986,543148.667,14927,3,GZ,1,100,0.488
1738271573.760654,543188.333,14927,3,GZ,1,100,0.610
1738271573.800322,543228.000,14927,3,GZ,1,100,0.519
1738271573.840823,543268.500,14943,2,GZ,1,100,0.549
1738271573.881324,543309.000,14943,2,GZ,1,100,0.732
1738271573.921325,543349.000,14957,3,GZ,1,100,1.007
1738271573.961327,543389.000,14957,3,GZ,1,100,1.007
1738271574.001328,543429.000,14957,3,GZ,1,100,0.458
1738271574.041329,543469.000,14974,3,GZ,1,100,0.061
1738271574.081330,543509.000,14974,3,GZ,1,100,-0.122
1738271574.121331,543549.000,14974,3,GZ,1,100,-0.366
1738271574.160833,543588.500,14989,2,GZ,1,100,-0.580
1738271574.200334,543628.000,14989,2,GZ,1,100,-0.641
1738271574.240335,543668.000,15005,3,GZ,1,100,-0.702
1738271574.280336,543708.000,15005,3,GZ,1,100,-0.519
1738271574.320338,543748.000,15005,3,GZ,1,100,-0.366
1738271574.360339,543788.000,15021,2,GZ,1,100,-0.244
1738271574.400340,543828.000,15021,2,GZ,1,100,-0.153
1738271574.440341,543868.000,15036,3,GZ,1,100,0.122
1738271574.480342,543908.000,15036,3,GZ,1,100,0.122
1738271574.520344,543948.000,15036,3,GZ,1,100,0.153
1738271574.560345,543988.000,15051,2,GZ,1,100,0.153
1738271574.600346,544028.000,15051,2,GZ,1,100,0.122
1738271574.640347,544068.000,15068,3,GZ,1,100,0.214
1738271574.680348,544108.000,15068,3,GZ,1,100,0.214
1738271574.720350,544148.000,15068,3,GZ,1,100,0.061
1738271574.760351,544188.000,15083,2,GZ,1,100,-0.031
1738271574.800352,544228.000,15083,2,GZ,1,100,-0.031
1738271574.840353,544268.000,15098,3,GZ,1,100,-0.061
1738271574.880354,544308.000,15098,3,GZ,1,100,-0.244
1738271574.920356,544348.000,15098,3,GZ,1,100,-0.061
1738271574.960357,544388.000,15114,3,GZ,1,100,0.000
1738271575.000358,544428.000,15114,3,GZ,1,100,0.000
1738271575.040359,544468.000,15114,3,GZ,1,100,0.061
1738271575.080360,544508.000,15130,2,GZ,1,100,0.122
1738271575.120362,544548.000,15130,2,GZ,1,100,-0.061
1738271575.160363,544588.000,15145,3,GZ,1,100,-0.183
1738271575.200364,544628.000,15145,3,GZ,1,100,-0.122
1738271575.240365,544668.000,15145,3,GZ,1,100,-0.275
1738271575.280366,544708.000,15160,2,GZ,1,100,-0.336
1738271575.320368,544748.000,15160,2,GZ,1,100,-0.305
1738271575.360369,544788.000,15176,3,GZ,1,100,-0.336
1738271575.400370,544828.000,15176,3,GZ,1,100,-0.336
1738271575.440371,544868.000,15176,3,GZ,1,100,-0.214
1738271575.480372,544908.000,15192,2,GZ,1,100,-0.092
1738271575.520374,544948.000,15192,2,GZ,1,100,-0.153
1738271575.560375,544988.000,15207,3,GZ,1,100,-0.214
1738271575.600376,545028.000,15207,3,GZ,1,100,-0.122
1738271575.640377,545068.000,15207,3,GZ,1,100,-0.031
1738271575.680379,545108.000,15223,2,GZ,1,100,-0.061
1738271575.720380,545148.000,15223,2,GZ,1,100,-0.092
1738271575.760381,545188.000,15242,3,GZ,1,100,-0.122
1738271575.800382,545228.000,15242,3,GZ,1,100,-0.061
1738271575.840383,545268.000,15242,3,GZ,1,100,0.000
1738271575.880385,545308.000,15258,2,GZ,1,100,0.031
1738271575.920386,545348.000,15258,2,GZ,1,100,0.031
1738271575.960387,545388.000,15274,3,GZ,1,100,0.244
1738271576.000388,545428.000,15274,3,GZ,1,100,0.000
1738271576.040390,545468.000,15274,3,GZ,1,100,0.031
1738271576.076057,545503.667,15289,3,GZ,1,100,-0.031
1738271576.111725,545539.333,15289,3,GZ,1,100,-0.153
1738271576.147393,545575.000,15289,3,GZ,1,100,-0.061
1738271576.187394,545615.000,15304,2,GZ,1,100,-0.153
1738271576.227395,545655.000,15304,2,GZ,1,100,-0.153
1738271576.267396,545695.000,15320,3,GZ,1,100,-0.427
1738271576.307397,545735.000,15320,3,GZ,1,100,-0.275
1738271576.347399,545775.000,15320,3,GZ,1,100,0.000
1738271576.387400,545815.000,15336,2,GZ,1,100,-0.092
1738271576.427401,545855.000,15336,2,GZ,1,100,-0.122
1738271576.467402,545895.000,15353,3,GZ,1,100,0.000
1738271576.507404,545935.000,15353,3,GZ,1,100,-0.061
1738271576.547405,545975.000,15353,3,GZ,1,100,-0.122
1738271576.587406,546015.000,15368,2,GZ,1,100,-0.122
1738271576.627407,546055.000,15368,2,GZ,1,100,-0.214
1738271576.667408,546095.000,15385,3,GZ,1,100,-0.183
1738271576.707410,546135.000,15385,3,GZ,1,100,-0.153
1738271576.747411,546175.000,15385,3,GZ,1,100,-0.183
1738271576.787412,546215.000,15400,3,GZ,1,100,-0.092
1738271576.827413,546255.000,15400,3,GZ,1,100,-0.061
1738271576.867414,546295.000,15400,3,GZ,1,100,0.000
1738271576.907416,546335.000,15416,2,GZ,1,100,0.000
1738271576.947417,546375.000,15416,2,GZ,1,100,0.061
1738271576.987418,546415.000,15431,3,GZ,1,100,0.153
1738271577.027419,546455.000,15431,3,GZ,1,100,0.183
1738271577.067420,546495.000,15431,3,GZ,1,100,0.092
1738271577.107422,546535.000,15447,2,GZ,1,100,0.031
1738271577.147423,546575.000,15447,2,GZ,1,100,-0.031
1738271577.187424,546615.000,15462,3,GZ,1,100,-0.153
1738271577.227425,546655.000,15462,3,GZ,1,100,-0.214
