RD,TS_received,TS_sent,AK,RoundTrip,
538103,538124,2025-01-30_14-12-48-687412,538125,21,
543210,543232,2025-01-30_14-12-53-793729,543233,22,
548318,553449,2025-01-30_14-12-58-916716,553451,5131,
553461,553485,2025-01-30_14-13-04-047557,553486,24,
558562,558580,2025-01-30_14-13-09-144015,558581,18,
563669,568783,2025-01-30_14-13-14-254433,568788,5114,
568792,573928,2025-01-30_14-13-19-498307,573929,5136,
573936,573950,2025-01-30_14-13-24-512658,573951,14,
579041,579066,2025-01-30_14-13-29-627895,579067,25,
584148,584174,2025-01-30_14-13-34-734951,584176,26,
589256,594372,2025-01-30_14-13-39-994218,594373,5116,
594377,594439,2025-01-30_14-13-45-001327,594440,62,
599482,604606,2025-01-30_14-13-50-253941,604611,5124,
604612,609738,2025-01-30_14-13-55-194139,609739,5126,
609746,614878,2025-01-30_14-14-00-330221,614880,5132,
614883,620000,2025-01-30_14-14-05-527073,620001,5117,
620004,620023,2025-01-30_14-14-10-584558,620024,19,
625109,625123,2025-01-30_14-14-15-689294,625128,14,
630262,635387,2025-01-30_14-14-20-865002,635388,5125,
635394,635429,2025-01-30_14-14-25-992985,635434,35,
640500,640533,2025-01-30_14-14-31-088339,640534,33,
645608,645641,2025-01-30_14-14-36-197876,645642,33,
650714,650734,2025-01-30_14-14-41-295565,650739,20,
655873,661008,2025-01-30_14-14-46-456023,661009,5135,
661012,666128,2025-01-30_14-14-51-716712,666129,5116,
666132,666146,2025-01-30_14-14-56-713164,666150,14,
671248,676370,2025-01-30_14-15-01-890538,676371,5122,
676378,681514,2025-01-30_14-15-07-083083,681515,5136,
681517,681537,2025-01-30_14-15-12-100844,681538,20,
686649,686670,2025-01-30_14-15-17-234908,686671,21,
691778,696908,2025-01-30_14-15-22-538081,696909,5130,
696914,702042,2025-01-30_14-15-27-572124,702043,5128,
702046,702094,2025-01-30_14-15-32-661310,702095,48,
707161,707201,2025-01-30_14-15-37-764033,707202,40,
712281,717400,2025-01-30_14-15-42-869866,717401,5119,
717404,722533,2025-01-30_14-15-48-101750,722534,5129,
722537,722633,2025-01-30_14-15-53-200550,722634,96,
727667,727687,2025-01-30_14-15-58-255941,727692,20,
732773,737890,2025-01-30_14-16-03-576633,737891,5117,
737896,743024,2025-01-30_14-16-08-612130,743025,5128,
743029,743117,2025-01-30_14-16-13-684755,743118,88,
748148,753257,2025-01-30_14-16-18-873624,753262,5109,
753265,758400,2025-01-30_14-16-23-882408,758401,5135,
758407,763508,2025-01-30_14-16-29-205422,763509,5101,
763515,768616,2025-01-30_14-16-34-101176,768620,5101,
768623,768640,2025-01-30_14-16-39-211354,768642,17,
773763,778895,2025-01-30_14-16-44-398524,778900,5132,
778905,784037,2025-01-30_14-16-49-536277,784038,5132,
784041,784086,2025-01-30_14-16-54-650268,784087,45,
789161,794290,2025-01-30_14-16-59-818101,794291,5129,
794298,799436,2025-01-30_14-17-05-170200,799437,5138,
799440,804579,2025-01-30_14-17-10-072397,804581,5139,
804584,804652,2025-01-30_14-17-15-183449,804655,68,
809715,809737,2025-01-30_14-17-20-303085,809739,22,
814838,819968,2025-01-30_14-17-25-472979,819970,5130,
819976,820043,2025-01-30_14-17-30-613108,820044,67,
825100,830244,2025-01-30_14-17-35-774051,830246,5144,
830249,835367,2025-01-30_14-17-40-927119,835369,5118,
835375,840508,2025-01-30_14-17-46-065701,840509,5133,
840512,840577,2025-01-30_14-17-51-132207,840579,65,
845645,845659,2025-01-30_14-17-56-232052,845661,14,
850774,850842,2025-01-30_14-18-01-411792,850843,68,
855912,855925,2025-01-30_14-18-06-500254,855933,13,
861038,861056,2025-01-30_14-18-11-625547,861057,18,
866173,866193,2025-01-30_14-18-16-766407,866199,20,
871306,876452,2025-01-30_14-18-22-053782,876453,5146,
876454,876479,2025-01-30_14-18-27-050439,876481,25,
881562,881583,2025-01-30_14-18-32-155595,881584,21,
886697,886715,2025-01-30_14-18-37-285972,886717,18,
891809,891844,2025-01-30_14-18-42-419110,891849,35,
896916,902042,2025-01-30_14-18-47-517231,902043,5126,
902049,902114,2025-01-30_14-18-52-678980,902115,65,
907158,912264,2025-01-30_14-18-57-915738,912265,5106,
912268,917397,2025-01-30_14-19-02-977325,917398,5129,
917401,922518,2025-01-30_14-19-08-088551,922519,5117,
922525,927636,2025-01-30_14-19-13-149314,927637,5111,
927640,927685,2025-01-30_14-19-18-259024,927687,45,
932745,937871,2025-01-30_14-19-23-546378,937872,5126,
937877,942997,2025-01-30_14-19-28-527429,942998,5120,
943005,948130,2025-01-30_14-19-33-612150,948131,5125,
948138,948158,2025-01-30_14-19-38-732374,948162,20,
953243,958376,2025-01-30_14-19-43-899787,958377,5133,
958380,958468,2025-01-30_14-19-49-030348,958470,88,
963486,968629,2025-01-30_14-19-54-131125,968630,5143,
968633,968654,2025-01-30_14-19-59-225680,968655,21,
973740,973842,2025-01-30_14-20-04-340020,978860,102,
978866,978884,2025-01-30_14-20-09-459276,978885,18,
983973,984005,2025-01-30_14-20-14-579773,984006,32,
989082,989099,2025-01-30_14-20-19-673962,989100,17,
994220,994238,2025-01-30_14-20-24-813661,994239,18,
999330,1004453,2025-01-30_14-20-30-018724,1004454,5123,
1004457,1004485,2025-01-30_14-20-35-060158,1004486,28,
1009563,1009586,2025-01-30_14-20-40-164349,1009587,23,
1014695,1014710,2025-01-30_14-20-45-288704,1014712,15,
1019803,1024941,2025-01-30_14-20-50-396885,1024943,5138,
1024946,1024963,2025-01-30_14-20-55-539105,1024964,17,
1030050,1030075,2025-01-30_14-21-00-646945,1030076,25,
1035158,1035181,2025-01-30_14-21-05-758713,1035182,23,
1040267,1045387,2025-01-30_14-21-10-996276,1045389,5120,
