LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1738271570.672228,540100.000,14437,1,BV,1,100,4.13
1738271575.672378,545100.000,15227,1,BV,1,100,4.13
1738271580.671529,550099.000,15984,1,BV,1,100,4.13
1738271585.671680,555099.000,16762,1,BV,1,100,4.13
1738271590.670831,560098.000,17540,1,BV,1,100,4.13
1738271595.670982,565098.000,18316,1,BV,1,100,4.13
1738271600.670132,570097.000,19074,1,BV,1,100,4.13
1738271605.670283,575097.000,19848,1,BV,1,100,4.13
1738271610.669434,580096.000,20634,1,BV,1,100,4.13
1738271615.669585,585096.000,21405,1,BV,1,100,4.12
1738271620.668736,590095.000,22159,1,BV,1,100,4.12
1738271625.668886,595095.000,22931,1,BV,1,100,4.12
1738271630.668037,600094.000,23691,1,BV,1,100,4.13
1738271635.668188,605094.000,24465,1,BV,1,100,4.12
1738271640.667339,610093.000,25236,1,BV,1,100,4.12
1738271645.667490,615093.000,26015,1,BV,1,100,4.12
1738271650.666640,620092.000,26786,1,BV,1,100,4.13
1738271655.666791,625092.000,27556,1,BV,1,100,4.12
1738271660.665942,630091.000,28323,1,BV,1,100,4.12
1738271665.666093,635091.000,29101,1,BV,1,100,4.12
1738271670.665244,640090.000,29882,1,BV,1,100,4.12
1738271675.665394,645090.000,30652,1,BV,1,100,4.12
1738271680.664545,650089.000,31424,1,BV,1,100,4.12
1738271685.664696,655089.000,32200,1,BV,1,100,4.12
1738271690.663847,660088.000,32973,1,BV,1,100,4.12
1738271695.663998,665088.000,33744,1,BV,1,100,4.12
1738271700.663148,670087.000,34499,1,BV,1,100,4.12
1738271705.663299,675087.000,35269,1,BV,1,100,4.12
1738271710.662450,680086.000,36047,1,BV,1,100,4.11
1738271715.662601,685086.000,36807,1,BV,1,100,4.12
1738271720.661752,690085.000,37581,1,BV,1,100,4.12
1738271725.661902,695085.000,38360,1,BV,1,100,4.11
1738271730.661053,700084.000,39136,1,BV,1,100,4.11
1738271735.661204,705084.000,39892,1,BV,1,100,4.11
1738271740.660355,710083.000,40665,1,BV,1,100,4.11
1738271745.660506,715083.000,41441,1,BV,1,100,4.11
1738271750.659657,720082.000,42218,1,BV,1,100,4.11
1738271755.659807,725082.000,42975,1,BV,1,100,4.11
1738271760.658958,730081.000,43748,1,BV,1,100,4.11
1738271765.659109,735081.000,44507,1,BV,1,100,4.11
1738271770.658260,740080.000,45290,1,BV,1,100,4.10
1738271775.658411,745080.000,46070,1,BV,1,100,4.11
1738271780.657561,750079.000,46826,1,BV,1,100,4.11
1738271785.657712,755079.000,47602,1,BV,1,100,4.10
1738271790.656863,760078.000,48379,1,BV,1,100,4.11
1738271795.657014,765078.000,49142,1,BV,1,100,4.10
1738271800.656164,770077.000,49908,1,BV,1,100,4.10
1738271805.656315,775077.000,50664,1,BV,1,100,4.11
1738271810.655466,780076.000,51439,1,BV,1,100,4.10
1738271815.655617,785076.000,52217,1,BV,1,100,4.10
1738271820.654768,790075.000,52969,1,BV,1,100,4.10
1738271825.654918,795075.000,53740,1,BV,1,100,4.10
1738271830.654069,800074.000,54515,1,BV,1,100,4.10
1738271835.654220,805074.000,55277,1,BV,1,100,4.10
1738271840.653371,810073.000,56056,1,BV,1,100,4.10
1738271845.653522,815073.000,56824,1,BV,1,100,4.10
1738271850.652673,820072.000,57582,1,BV,1,100,4.11
1738271855.652823,825072.000,58375,1,BV,1,100,4.10
1738271860.651974,830071.000,59123,1,BV,1,100,4.10
1738271865.652125,835071.000,59896,1,BV,1,100,4.10
1738271870.651276,840070.000,60673,1,BV,1,100,4.10
1738271875.651427,845070.000,61435,1,BV,1,100,4.10
1738271880.650577,850069.000,62212,1,BV,1,100,4.10
1738271885.650728,855069.000,62988,1,BV,1,100,4.10
1738271890.649879,860068.000,63746,1,BV,1,100,4.10
1738271895.650030,865068.000,64525,1,BV,1,100,4.10
1738271900.649180,870067.000,65304,1,BV,1,100,4.10
1738271905.649331,875067.000,529,1,BV,1,100,4.10
1738271910.648482,880066.000,1320,1,BV,1,100,4.10
1738271915.648633,885066.000,2089,1,BV,1,100,4.10
1738271920.647784,890065.000,2864,1,BV,1,100,4.10
1738271925.647934,895065.000,3642,1,BV,1,100,4.10
1738271930.647085,900064.000,4399,1,BV,1,100,4.10
1738271935.647236,905064.000,5171,1,BV,1,100,4.10
1738271940.646387,910063.000,5945,1,BV,1,100,4.09
1738271945.646538,915063.000,6721,1,BV,1,100,4.10
1738271950.645689,920062.000,7494,1,BV,1,100,4.10
1738271955.645839,925062.000,8249,1,BV,1,100,4.09
1738271960.644990,930061.000,9041,1,BV,1,100,4.09
1738271965.645141,935061.000,9801,1,BV,1,100,4.09
1738271970.644292,940060.000,10575,1,BV,1,100,4.09
1738271975.644443,945060.000,11351,1,BV,1,100,4.09
1738271980.643593,950059.000,12133,1,BV,1,100,4.09
1738271985.643744,955059.000,12892,1,BV,1,100,4.09
1738271990.642895,960058.000,13673,1,BV,1,100,4.09
1738271995.643046,965058.000,14451,1,BV,1,100,4.09
1738272000.642197,970057.000,15232,1,BV,1,100,4.09
1738272005.642347,975057.000,15996,1,BV,1,100,4.09
1738272010.641498,980056.000,16795,1,BV,1,100,4.09
1738272015.641649,985056.000,17573,1,BV,1,100,4.08
1738272020.640800,990055.000,18353,1,BV,1,100,4.09
1738272025.640951,995055.000,19133,1,BV,1,100,4.09
1738272030.640101,1000054.000,19907,1,BV,1,100,4.08
1738272035.640252,1005054.000,20688,1,BV,1,100,4.09
1738272040.639403,1010053.000,21463,1,BV,1,100,4.09
1738272045.639554,1015053.000,22239,1,BV,1,100,4.09
1738272050.638705,1020052.000,23019,1,BV,1,100,4.09
1738272055.638855,1025052.000,23801,1,BV,1,100,4.08
1738272060.638006,1030051.000,24581,1,BV,1,100,4.08
1738272065.638157,1035051.000,25353,1,BV,1,100,4.09
1738272070.637308,1040050.000,26128,1,BV,1,100,4.08
1738272075.637459,1045050.000,26899,1,BV,1,100,4.09
1738272080.636609,1050049.000,27657,1,BV,1,100,4.08
1738272085.636760,1055049.000,28451,1,BV,1,100,4.08
1738272090.635911,1060048.000,29228,1,BV,1,100,4.08
1738272095.636062,1065048.000,30005,1,BV,1,100,4.08
1738272100.635213,1070047.000,30786,1,BV,1,100,4.08
1738272105.635363,1075047.000,31563,1,BV,1,100,4.08
1738272110.634514,1080046.000,32338,1,BV,1,100,4.08
