LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1738257281.711731,1771939.000,19100,1,B%,1,100,96
1738257286.710960,1776938.000,19920,1,B%,1,100,96
1738257291.711188,1781938.000,20739,1,B%,1,100,96
1738257296.710416,1786937.000,21585,1,B%,1,100,96
1738257301.710644,1791937.000,22410,1,B%,1,100,96
1738257306.709873,1796936.000,23235,1,B%,1,100,96
1738257311.710101,1801936.000,24062,1,B%,1,100,95
1738257316.709329,1806935.000,24886,1,B%,1,100,95
1738257321.709558,1811935.000,25710,1,B%,1,100,96
1738257326.708786,1816934.000,26534,1,B%,1,100,95
1738257331.709014,1821934.000,27353,1,B%,1,100,96
1738257336.708242,1826933.000,28179,1,B%,1,100,95
1738257341.708470,1831933.000,29001,1,B%,1,100,95
1738257346.707699,1836932.000,29826,1,B%,1,100,95
1738257351.707927,1841932.000,30656,1,B%,1,100,96
1738257356.707155,1846931.000,31480,1,B%,1,100,96
1738257361.707383,1851931.000,32320,1,B%,1,100,95
1738257366.706612,1856930.000,33123,1,B%,1,100,95
1738257371.706840,1861930.000,33945,1,B%,1,100,95
1738257376.706068,1866929.000,34768,1,B%,1,100,95
1738257381.706296,1871929.000,35575,1,B%,1,100,95
1738257386.705524,1876928.000,36397,1,B%,1,100,95
1738257391.705753,1881928.000,37218,1,B%,1,100,95
1738257396.704981,1886927.000,38018,1,B%,1,100,95
1738257401.705209,1891927.000,38842,1,B%,1,100,95
1738257406.704437,1896926.000,39669,1,B%,1,100,94
1738257411.704666,1901926.000,40499,1,B%,1,100,94
1738257416.703894,1906925.000,41307,1,B%,1,100,95
1738257421.704122,1911925.000,42127,1,B%,1,100,95
1738257426.703351,1916924.000,42950,1,B%,1,100,95
1738257431.703579,1921924.000,43766,1,B%,1,100,94
1738257436.702807,1926923.000,44585,1,B%,1,100,95
1738257441.703035,1931923.000,45410,1,B%,1,100,95
1738257446.702263,1936922.000,46214,1,B%,1,100,96
1738257451.702492,1941922.000,47041,1,B%,1,100,95
1738257456.701720,1946921.000,47858,1,B%,1,100,95
1738257461.701948,1951921.000,48680,1,B%,1,100,95
1738257466.701176,1956920.000,49489,1,B%,1,100,94
1738257471.701405,1961920.000,50311,1,B%,1,100,95
1738257476.700633,1966919.000,51136,1,B%,1,100,95
1738257481.700861,1971919.000,51948,1,B%,1,100,95
1738257486.700089,1976918.000,52768,1,B%,1,100,95
1738257491.700318,1981918.000,53588,1,B%,1,100,94
1738257496.699546,1986917.000,54410,1,B%,1,100,94
1738257501.699774,1991917.000,55233,1,B%,1,100,95
1738257506.699002,1996916.000,56037,1,B%,1,100,94
