LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1738257280.902694,1771130.000,18962,4,EM,1,100,RS
1738257280.902694,1771130.000,18962,4,EM,1,100,RB
1738257280.902694,1771130.000,18962,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257280.902694,1771130.000,18962,4,EM,1,100,PS
1738257280.958947,1771186.250,18982,4,EM,1,100,RS
1738257281.015200,1771242.500,18982,4,EM,1,100,RB
1738257281.071452,1771298.750,18982,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257281.127705,1771355.000,18982,4,EM,1,100,PS
1738257281.177957,1771405.250,19016,4,EM,1,100,RS
1738257281.228209,1771455.500,19016,4,EM,1,100,RB
1738257281.278462,1771505.750,19016,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257281.328714,1771556.000,19016,4,EM,1,100,PS
1738257281.378966,1771606.250,19049,4,EM,1,100,RS
1738257281.429219,1771656.500,19049,4,EM,1,100,RB
1738257281.479471,1771706.750,19049,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257281.529723,1771757.000,19049,4,EM,1,100,PS
1738257281.580976,1771808.250,19082,4,EM,1,100,RS
1738257281.632228,1771859.500,19082,4,EM,1,100,RB
1738257281.683480,1771910.750,19082,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257281.734733,1771962.000,19082,4,EM,1,100,PS
1738257281.784985,1772012.250,19117,4,EM,1,100,RS
1738257281.835237,1772062.500,19117,4,EM,1,100,RB
1738257281.885489,1772112.750,19117,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257281.935742,1772163.000,19117,4,EM,1,100,PS
1738257281.985994,1772213.250,19150,4,EM,1,100,RS
1738257282.036246,1772263.500,19150,4,EM,1,100,RB
1738257282.086498,1772313.750,19150,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257282.136751,1772364.000,19150,4,EM,1,100,PS
1738257282.187003,1772414.250,19183,4,EM,1,100,RS
1738257282.237256,1772464.500,19183,4,EM,1,100,RB
1738257282.287508,1772514.750,19183,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257282.337760,1772565.000,19183,4,EM,1,100,PS
1738257282.388012,1772615.250,19217,4,EM,1,100,RS
1738257282.438265,1772665.500,19217,4,EM,1,100,RB
1738257282.488517,1772715.750,19217,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257282.538769,1772766.000,19217,4,EM,1,100,PS
1738257282.589021,1772816.250,19249,4,EM,1,100,RS
1738257282.639274,1772866.500,19249,4,EM,1,100,RB
1738257282.689526,1772916.750,19249,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257282.739779,1772967.000,19249,4,EM,1,100,PS
1738257282.790031,1773017.250,19283,4,EM,1,100,RS
1738257282.840283,1773067.500,19283,4,EM,1,100,RB
1738257282.890535,1773117.750,19283,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257282.940788,1773168.000,19283,4,EM,1,100,PS
1738257282.991040,1773218.250,19315,4,EM,1,100,RS
1738257283.041292,1773268.500,19315,4,EM,1,100,RB
1738257283.091544,1773318.750,19315,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257283.141797,1773369.000,19315,4,EM,1,100,PS
1738257283.192049,1773419.250,19354,4,EM,1,100,RS
1738257283.242301,1773469.500,19354,4,EM,1,100,RB
1738257283.292554,1773519.750,19354,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257283.342806,1773570.000,19354,4,EM,1,100,PS
1738257283.393058,1773620.250,19388,4,EM,1,100,RS
1738257283.443310,1773670.500,19388,4,EM,1,100,RB
1738257283.493563,1773720.750,19388,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257283.543815,1773771.000,19388,4,EM,1,100,PS
1738257283.594817,1773822.000,19420,4,EM,1,100,RS
1738257283.645820,1773873.000,19420,4,EM,1,100,RB
1738257283.696822,1773924.000,19420,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257283.747824,1773975.000,19420,4,EM,1,100,PS
1738257283.798327,1774025.500,19454,4,EM,1,100,RS
1738257283.848829,1774076.000,19454,4,EM,1,100,RB
1738257283.899331,1774126.500,19454,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257283.949834,1774177.000,19454,4,EM,1,100,PS
1738257283.999836,1774227.000,19487,4,EM,1,100,RS
1738257284.049838,1774277.000,19487,4,EM,1,100,RB
1738257284.099840,1774327.000,19487,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257284.149843,1774377.000,19487,4,EM,1,100,PS
1738257284.200095,1774427.250,19520,4,EM,1,100,RS
1738257284.250347,1774477.500,19520,4,EM,1,100,RB
1738257284.300600,1774527.750,19520,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257284.350852,1774578.000,19520,4,EM,1,100,PS
1738257284.401104,1774628.250,19553,4,EM,1,100,RS
1738257284.451357,1774678.500,19553,4,EM,1,100,RB
1738257284.501609,1774728.750,19553,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257284.551861,1774779.000,19553,4,EM,1,100,PS
1738257284.602113,1774829.250,19586,4,EM,1,100,RS
1738257284.652366,1774879.500,19586,4,EM,1,100,RB
1738257284.702618,1774929.750,19586,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257284.752870,1774980.000,19586,4,EM,1,100,PS
1738257284.803123,1775030.250,19619,4,EM,1,100,RS
1738257284.853375,1775080.500,19619,4,EM,1,100,RB
1738257284.903627,1775130.750,19619,4,EM,1,100,2025-01-30_10-14-40-384800.csv
1738257284.953880,1775181.000,19619,4,EM,1,100,PS
1738257285.004382,1775231.500,19653,4,EM,1,100,RS
