LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1738257283.768325,1773995.500,19422,4,DC,2,100,EL
1738257283.792826,1774020.000,19422,4,DC,2,100,1
1738257283.818328,1774045.500,19438,4,DC,2,100,EA
1738257283.843829,1774071.000,19438,4,DC,2,100,2
1738257283.869330,1774096.500,19438,4,DC,2,100,EL
1738257283.894831,1774122.000,19438,4,DC,2,100,2
1738257283.919832,1774147.000,19455,4,DC,2,100,EA
1738257283.944834,1774172.000,19455,4,DC,2,100,1
1738257283.969835,1774197.000,19455,4,DC,2,100,EL
1738257283.994836,1774222.000,19455,4,DC,2,100,1
1738257284.020087,1774247.250,19471,4,DC,2,100,EA
1738257284.045338,1774272.500,19471,4,DC,2,100,2
1738257284.070589,1774297.750,19471,4,DC,2,100,EL
1738257284.095840,1774323.000,19471,4,DC,2,100,2
1738257284.121092,1774348.250,19488,4,DC,2,100,EA
1738257284.146343,1774373.500,19488,4,DC,2,100,1
1738257284.171594,1774398.750,19488,4,DC,2,100,EL
1738257284.196845,1774424.000,19488,4,DC,2,100,1
1738257284.222096,1774449.250,19504,4,DC,2,100,EA
1738257284.247347,1774474.500,19504,4,DC,2,100,2
1738257284.272599,1774499.750,19504,4,DC,2,100,EL
1738257284.297850,1774525.000,19504,4,DC,2,100,2
1738257284.323601,1774550.750,19521,4,DC,2,100,EA
1738257284.349352,1774576.500,19521,4,DC,2,100,1
1738257284.375103,1774602.250,19521,4,DC,2,100,EL
1738257284.400854,1774628.000,19521,4,DC,2,100,1
1738257284.426105,1774653.250,19537,4,DC,2,100,EA
1738257284.451357,1774678.500,19537,4,DC,2,100,2
1738257284.476608,1774703.750,19537,4,DC,2,100,EL
1738257284.501859,1774729.000,19537,4,DC,2,100,2
1738257284.526860,1774754.000,19554,4,DC,2,100,EA
1738257284.551861,1774779.000,19554,4,DC,2,100,1
1738257284.576862,1774804.000,19554,4,DC,2,100,EL
1738257284.601863,1774829.000,19554,4,DC,2,100,1
1738257284.627115,1774854.250,19570,4,DC,2,100,EA
1738257284.652366,1774879.500,19570,4,DC,2,100,2
1738257284.677617,1774904.750,19570,4,DC,2,100,EL
1738257284.702868,1774930.000,19570,4,DC,2,100,2
1738257284.728619,1774955.750,19588,4,DC,2,100,EA
1738257284.754370,1774981.500,19588,4,DC,2,100,1
1738257284.780122,1775007.250,19588,4,DC,2,100,EL
1738257284.805873,1775033.000,19588,4,DC,2,100,1
1738257284.831624,1775058.750,19603,4,DC,2,100,EA
1738257284.857375,1775084.500,19603,4,DC,2,100,2
1738257284.883126,1775110.250,19603,4,DC,2,100,EL
1738257284.908877,1775136.000,19603,4,DC,2,100,2
1738257284.933879,1775161.000,19620,4,DC,2,100,EA
1738257284.958880,1775186.000,19620,4,DC,2,100,1
1738257284.983881,1775211.000,19620,4,DC,2,100,EL
1738257285.008882,1775236.000,19620,4,DC,2,100,1
1738257285.034383,1775261.500,19637,4,DC,2,100,EA
1738257285.059884,1775287.000,19637,4,DC,2,100,2
1738257285.085386,1775312.500,19637,4,DC,2,100,EL
1738257285.110887,1775338.000,19637,4,DC,2,100,2
1738257285.136638,1775363.750,19654,4,DC,2,100,EA
1738257285.162389,1775389.500,19654,4,DC,2,100,2
1738257285.188140,1775415.250,19654,4,DC,2,100,EL
1738257285.213891,1775441.000,19654,4,DC,2,100,2
1738257285.239142,1775466.250,19670,4,DC,2,100,EA
1738257285.264394,1775491.500,19670,4,DC,2,100,1
1738257285.289645,1775516.750,19670,4,DC,2,100,EL
1738257285.314896,1775542.000,19670,4,DC,2,100,1
1738257285.340897,1775568.000,19687,4,DC,2,100,EA
1738257285.366898,1775594.000,19687,4,DC,2,100,2
1738257285.392900,1775620.000,19687,4,DC,2,100,EL
1738257285.418901,1775646.000,19687,4,DC,2,100,2
1738257285.444402,1775671.500,19703,4,DC,2,100,EA
1738257285.469903,1775697.000,19703,4,DC,2,100,1
1738257285.495404,1775722.500,19703,4,DC,2,100,EL
1738257285.520905,1775748.000,19703,4,DC,2,100,1
1738257285.546157,1775773.250,19720,4,DC,2,100,EA
1738257285.571408,1775798.500,19720,4,DC,2,100,2
1738257285.596659,1775823.750,19720,4,DC,2,100,EL
1738257285.621910,1775849.000,19720,4,DC,2,100,2
1738257285.647161,1775874.250,19736,4,DC,2,100,EA
1738257285.672412,1775899.500,19736,4,DC,2,100,1
1738257285.697664,1775924.750,19736,4,DC,2,100,EL
1738257285.722915,1775950.000,19736,4,DC,2,100,1
1738257285.749166,1775976.250,19753,4,DC,2,100,EA
1738257285.775417,1776002.500,19753,4,DC,2,100,2
1738257285.801668,1776028.750,19753,4,DC,2,100,EL
1738257285.827919,1776055.000,19753,4,DC,2,100,2
1738257285.852170,1776079.250,19769,4,DC,2,100,EA
1738257285.876422,1776103.500,19769,4,DC,2,100,1
1738257285.900673,1776127.750,19769,4,DC,2,100,EL
1738257285.924924,1776152.000,19769,4,DC,2,100,1
1738257285.950675,1776177.750,19786,4,DC,2,100,EA
1738257285.976426,1776203.500,19786,4,DC,2,100,2
1738257286.002177,1776229.250,19786,4,DC,2,100,EL
1738257286.027929,1776255.000,19786,4,DC,2,100,2
1738257286.053430,1776280.500,19803,4,DC,2,100,EA
1738257286.078931,1776306.000,19803,4,DC,2,100,1
1738257286.104432,1776331.500,19803,4,DC,2,100,EL
1738257286.129933,1776357.000,19803,4,DC,2,100,1
1738257286.154934,1776382.000,19819,4,DC,2,100,EA
1738257286.179935,1776407.000,19819,4,DC,2,100,2
1738257286.204937,1776432.000,19819,4,DC,2,100,EL
1738257286.229938,1776457.000,19819,4,DC,2,100,2
1738257286.256189,1776483.250,19835,4,DC,2,100,EA
1738257286.282440,1776509.500,19835,4,DC,2,100,1
1738257286.308691,1776535.750,19835,4,DC,2,100,EL
1738257286.334943,1776562.000,19835,4,DC,2,100,1
1738257286.359944,1776587.000,19853,4,DC,2,100,EA
1738257286.384945,1776612.000,19853,4,DC,2,100,2
1738257286.409946,1776637.000,19853,4,DC,2,100,EL
1738257286.434947,1776662.000,19853,4,DC,2,100,2
