LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1738257286.566953,1776794,19885,1,BI,1,100,7030
1738257291.806192,1782033,20740,1,BI,1,100,5200
1738257292.809238,1783036,20908,1,BI,1,100,1000
1738257293.869287,1784096,21098,1,BI,1,100,1050
1738257294.846331,1785073,21249,1,BI,1,100,970
1738257295.732372,1785959,21400,1,BI,1,100,880
1738257298.949518,1789176,21940,1,BI,1,100,3190
1738257300.118572,1790345,22123,1,BI,1,100,1160
1738257300.962610,1791189,22258,1,BI,1,100,830
1738257304.275762,1794502,22814,1,BI,1,100,3290
1738257305.348810,1795575,22982,1,BI,1,100,1060
1738257306.541865,1796768,23183,1,BI,1,100,1190
1738257307.451906,1797678,23335,1,BI,1,100,900
1738257308.528956,1798755,23520,1,BI,1,100,1070
1738257309.625006,1799851,23693,1,BI,1,100,1090
1738257310.768058,1800994,23894,1,BI,1,100,1130
1738257311.772104,1801998,24064,1,BI,1,100,1000
1738257312.795151,1803021,24231,1,BI,1,100,1010
1738257313.838198,1804064,24399,1,BI,1,100,1040
1738257319.558459,1809784,25341,1,BI,1,100,5670
1738257320.484502,1810710,25492,1,BI,1,100,920
1738257321.507548,1811733,25659,1,BI,1,100,1010
1738257324.617690,1814843,26182,1,BI,1,100,3090
1738257325.364724,1815590,26299,1,BI,1,100,740
1738257331.997027,1822222,27386,1,BI,1,100,6580
1738257335.884204,1826109,28025,1,BI,1,100,3850
1738257336.557235,1826782,28127,1,BI,1,100,670
1738257337.413274,1827638,28280,1,BI,1,100,850
1738257339.163354,1829388,28564,1,BI,1,100,1730
1738257343.489552,1833714,29286,1,BI,1,100,4290
1738257344.813612,1835038,29508,1,BI,1,100,1320
1738257346.123672,1836348,29725,1,BI,1,100,1300
1738257348.039759,1838264,30027,1,BI,1,100,1900
1738257348.879798,1839104,30178,1,BI,1,100,830
1738257349.645833,1839870,30296,1,BI,1,100,760
1738257350.426868,1840651,30437,1,BI,1,100,770
1738257351.229905,1841454,30571,1,BI,1,100,800
1738257351.872934,1842097,30674,1,BI,1,100,640
1738257352.559966,1842784,30792,1,BI,1,100,680
1738257353.336001,1843560,30910,1,BI,1,100,770
1738257360.215315,1850439,32051,1,BI,1,100,6820
1738257361.399369,1851623,32251,1,BI,1,100,1180
1738257367.491647,1857715,33241,1,BI,1,100,6040
1738257373.598926,1863822,34228,1,BI,1,100,6060
1738257374.727978,1864951,34411,1,BI,1,100,1120
1738257378.201136,1868424,34984,1,BI,1,100,3440
1738257380.568244,1870791,35373,1,BI,1,100,2350
1738257381.391282,1871614,35507,1,BI,1,100,810
1738257386.704525,1876927,36377,1,BI,1,100,5270
1738257387.877578,1878100,36581,1,BI,1,100,1170
1738257400.610159,1890832,38650,1,BI,1,100,12620
1738257401.743211,1891965,38843,1,BI,1,100,1130
1738257402.953266,1893175,39028,1,BI,1,100,1200
1738257405.026361,1895248,39377,1,BI,1,100,2050
1738257406.733439,1896955,39649,1,BI,1,100,1700
1738257407.546476,1897768,39787,1,BI,1,100,800
1738257408.309511,1898531,39921,1,BI,1,100,760
1738257409.113548,1899335,40056,1,BI,1,100,800
1738257410.009588,1900231,40207,1,BI,1,100,890
1738257410.912630,1901134,40342,1,BI,1,100,890
1738257414.282784,1904504,40897,1,BI,1,100,3340
1738257415.562842,1905784,41115,1,BI,1,100,1270
1738257416.648891,1906870,41288,1,BI,1,100,1080
1738257418.528977,1908750,41606,1,BI,1,100,1870
1738257425.685304,1915906,42759,1,BI,1,100,7090
1738257430.241512,1920462,43514,1,BI,1,100,4520
1738257437.611848,1927832,44708,1,BI,1,100,7310
1738257438.477888,1928698,44859,1,BI,1,100,860
1738257439.407930,1929628,45010,1,BI,1,100,920
1738257445.828223,1936048,46063,1,BI,1,100,6370
1738257447.324292,1937544,46304,1,BI,1,100,1480
1738257448.131329,1938351,46439,1,BI,1,100,800
1738257451.137466,1941357,46921,1,BI,1,100,2990
1738257457.940776,1948160,48047,1,BI,1,100,6750
1738257463.820045,1954039,49001,1,BI,1,100,5830
1738257464.530077,1954749,49118,1,BI,1,100,710
1738257465.173107,1955392,49220,1,BI,1,100,630
1738257466.030146,1956249,49371,1,BI,1,100,850
1738257470.749361,1960968,50125,1,BI,1,100,4680
1738257471.856412,1962075,50313,1,BI,1,100,1100
1738257473.149471,1963368,50533,1,BI,1,100,1280
1738257474.142516,1964361,50701,1,BI,1,100,990
1738257475.332570,1965551,50885,1,BI,1,100,1180
1738257478.732726,1968951,51443,1,BI,1,100,3370
1738257479.548763,1969767,51578,1,BI,1,100,810
1738257480.392802,1970611,51712,1,BI,1,100,840
1738257481.288842,1971507,51864,1,BI,1,100,890
1738257493.228387,1983446,53820,1,BI,1,100,11840
1738257493.945420,1984163,53942,1,BI,1,100,710
1738257494.748457,1984966,54077,1,BI,1,100,790
1738257500.131702,1990349,54948,1,BI,1,100,5340
1738257502.041790,1992259,55266,1,BI,1,100,1900
1738257507.631045,1997848,56188,1,BI,1,100,5540
1738257511.884239,2002101,56876,1,BI,1,100,4220
1738257513.327305,2003544,57110,1,BI,1,100,1430
1738257522.320715,2012537,58585,1,BI,1,100,8920
1738257523.313761,2013530,58752,1,BI,1,100,980
1738257527.566955,2017783,59442,1,BI,1,100,4220
1738257528.630003,2018846,59610,1,BI,1,100,1050
1738257529.850059,2020066,59814,1,BI,1,100,1210
1738257532.680188,2022896,60282,1,BI,1,100,2810
1738257533.513227,2023729,60417,1,BI,1,100,830
1738257534.390266,2024606,60558,1,BI,1,100,870
1738257535.203304,2025419,60697,1,BI,1,100,800
1738257535.299308,2025515,60715,1,BI,1,100,100
1738257536.869380,2027085,60965,1,BI,1,100,1550
1738257537.519409,2027735,61078,1,BI,1,100,650
1738257538.379449,2028595,61206,1,BI,1,100,850
1738257544.919747,2035135,62232,1,BI,1,100,6490
1738257545.775786,2035991,62378,1,BI,1,100,850
1738257550.401997,2040617,63103,1,BI,1,100,4580
1738257551.069028,2041284,63220,1,BI,1,100,660
1738257551.682056,2041897,63317,1,BI,1,100,610
1738257552.259082,2042474,63402,1,BI,1,100,580
1738257553.835154,2044050,63663,1,BI,1,100,1560
1738257557.611326,2047826,64256,1,BI,1,100,3740
1738257560.658466,2050873,64729,1,BI,1,100,3020
1738257564.064621,2054279,65280,1,BI,1,100,3380
1738257565.137670,2055352,65449,1,BI,1,100,1070
1738257569.664877,2059879,616,1,BI,1,100,4490
1738257570.763927,2060978,801,1,BI,1,100,1090
1738257571.797974,2062012,965,1,BI,1,100,1020
1738257572.688015,2062902,1113,1,BI,1,100,880
1738257584.550556,2074764,2986,1,BI,1,100,11770
1738257587.606696,2077820,3476,1,BI,1,100,3030
1738257588.323729,2078537,3591,1,BI,1,100,710
1738257592.946939,2083160,4321,1,BI,1,100,4580
1738257594.139994,2084353,4514,1,BI,1,100,1190
1738257596.636108,2086849,4903,1,BI,1,100,2470
1738257598.273183,2088486,5164,1,BI,1,100,1630
1738257603.182407,2093395,5941,1,BI,1,100,4860
1738257608.528651,2098741,6776,1,BI,1,100,5310
1738257610.798754,2101011,7130,1,BI,1,100,2250
1738257611.611792,2101824,7264,1,BI,1,100,800
1738257617.208047,2107420,8153,1,BI,1,100,5550
1738257618.059086,2108271,8299,1,BI,1,100,850
1738257618.858122,2109070,8428,1,BI,1,100,790
1738257619.682160,2109894,8560,1,BI,1,100,820
1738257620.431194,2110643,8672,1,BI,1,100,740
1738257621.148227,2111360,8787,1,BI,1,100,710
1738257621.801257,2112013,8908,1,BI,1,100,650
1738257627.197503,2117409,9769,1,BI,1,100,5350
1738257627.877534,2118089,9866,1,BI,1,100,670
1738257642.954222,2133165,12268,1,BI,1,100,14960
1738257643.724258,2133935,12381,1,BI,1,100,770
1738257649.360515,2139571,13286,1,BI,1,100,5590
1738257650.473566,2140684,13447,1,BI,1,100,1100
1738257651.616618,2141827,13643,1,BI,1,100,1130
1738257652.489658,2142700,13783,1,BI,1,100,870
1738257652.659666,2142870,13815,1,BI,1,100,170
1738257653.589708,2143800,13959,1,BI,1,100,920
1738257654.552752,2144763,14121,1,BI,1,100,960
1738257656.346834,2146557,14396,1,BI,1,100,1770
1738257657.222874,2147433,14548,1,BI,1,100,870
1738257658.005910,2148216,14679,1,BI,1,100,780
1738257658.995955,2149206,14825,1,BI,1,100,980
1738257659.939998,2150150,14985,1,BI,1,100,940
1738257661.989091,2152199,15308,1,BI,1,100,2030
1738257662.843130,2153053,15428,1,BI,1,100,850
1738257665.146235,2155356,15794,1,BI,1,100,2280
1738257665.989274,2156199,15922,1,BI,1,100,840
1738257666.822312,2157032,16055,1,BI,1,100,820
1738257667.692352,2157902,16206,1,BI,1,100,870
1738257668.535390,2158745,16335,1,BI,1,100,830
1738257669.319426,2159529,16463,1,BI,1,100,780
1738257670.112462,2160322,16596,1,BI,1,100,780
1738257675.864725,2166074,17501,1,BI,1,100,5710
1738257676.944774,2167154,17681,1,BI,1,100,1070
1738257677.891817,2168101,17833,1,BI,1,100,940
1738257678.684854,2168894,17962,1,BI,1,100,790
1738257679.621896,2169831,18107,1,BI,1,100,930
1738257680.684945,2170894,18269,1,BI,1,100,1050
1738257681.564985,2171774,18416,1,BI,1,100,870
1738257682.598032,2172807,18582,1,BI,1,100,1030
1738257683.738084,2173947,18746,1,BI,1,100,1130
1738257684.998142,2175207,18955,1,BI,1,100,1250
1738257688.231289,2178440,19476,1,BI,1,100,3200
1738257689.207334,2179416,19620,1,BI,1,100,970
1738257690.127376,2180336,19766,1,BI,1,100,910
1738257691.167423,2181376,19945,1,BI,1,100,1030
1738257692.154469,2182363,20096,1,BI,1,100,980
1738257693.284520,2183493,20278,1,BI,1,100,1120
1738257694.247564,2184456,20437,1,BI,1,100,960
1738257695.300612,2185509,20599,1,BI,1,100,1040
1738257696.477666,2186686,20794,1,BI,1,100,1170
1738257697.710722,2187919,20990,1,BI,1,100,1220
1738257698.630764,2188839,21142,1,BI,1,100,910
1738257699.710814,2189919,21318,1,BI,1,100,1080
1738257700.713859,2190922,21480,1,BI,1,100,990
1738257701.630901,2191839,21627,1,BI,1,100,910
1738257702.410937,2192619,21743,1,BI,1,100,770
1738257703.403982,2193612,21909,1,BI,1,100,990
1738257705.940098,2196148,22310,1,BI,1,100,2510
1738257709.257249,2199465,22830,1,BI,1,100,3290
1738257710.183291,2200391,22974,1,BI,1,100,920
1738257710.996329,2201204,23103,1,BI,1,100,810
1738257711.876369,2202084,23248,1,BI,1,100,870
1738257712.796411,2203004,23395,1,BI,1,100,910
1738257719.975739,2210183,24525,1,BI,1,100,7120
1738257722.748865,2212956,24975,1,BI,1,100,2750
1738257722.892872,2213100,24992,1,BI,1,100,140
1738257723.515900,2213723,25089,1,BI,1,100,620
1738257723.672907,2213880,25127,1,BI,1,100,160
1738257724.438942,2214646,25240,1,BI,1,100,760
1738257725.138974,2215346,25354,1,BI,1,100,690
1738257725.996013,2216203,25500,1,BI,1,100,850
1738257729.006151,2219213,25970,1,BI,1,100,2990
1738257729.866190,2220073,26101,1,BI,1,100,860
1738257731.165249,2221372,26310,1,BI,1,100,1290
1738257734.935421,2225142,26916,1,BI,1,100,3730
1738257735.845463,2226052,27063,1,BI,1,100,910
1738257737.735549,2227942,27355,1,BI,1,100,1870
1738257738.938604,2229145,27546,1,BI,1,100,1190
1738257742.554769,2232761,28130,1,BI,1,100,3590
1738257743.337805,2233544,28258,1,BI,1,100,780
1738257744.558861,2234765,28441,1,BI,1,100,1210
1738257745.684912,2235891,28618,1,BI,1,100,1110
1738257746.914968,2237121,28817,1,BI,1,100,1220
1738257749.045066,2239251,29152,1,BI,1,100,2120
1738257750.078113,2240284,29322,1,BI,1,100,1020
1738257751.141161,2241347,29482,1,BI,1,100,1050
1738257752.158208,2242364,29647,1,BI,1,100,1010
1738257753.074250,2243280,29797,1,BI,1,100,910
1738257753.944289,2244150,29945,1,BI,1,100,860
1738257754.911333,2245117,30097,1,BI,1,100,960
1738257755.821375,2246027,30247,1,BI,1,100,900
1738257756.644413,2246850,30375,1,BI,1,100,820
1738257757.520452,2247726,30526,1,BI,1,100,870
1738257758.480496,2248686,30671,1,BI,1,100,950
1738257759.444540,2249650,30833,1,BI,1,100,960
