LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1738257513.480051,1959000.500,49300,2,RD,1,100,TL
1738257516.052661,1961573.000,49300,2,RD,1,100,TU
1738257518.619270,1964139.500,50136,2,RD,1,100,TL
1738257521.185879,1966706.000,50136,2,RD,1,100,TU
1738257523.757988,1969278.000,50973,2,RD,1,100,TL
1738257526.330097,1971850.000,50973,2,RD,1,100,TU
1738257528.903207,1974423.000,51813,2,RD,1,100,TL
1738257531.476316,1976996.000,51813,2,RD,1,100,TU
1738257534.031425,1979551.000,52639,2,RD,1,100,TL
1738257536.586533,1982106.000,52639,2,RD,1,100,TU
1738257539.150142,1984669.500,53484,2,RD,1,100,TL
1738257541.713751,1987233.000,53484,2,RD,1,100,TU
1738257544.289861,1989809.000,54325,2,RD,1,100,TL
1738257546.865970,1992385.000,54325,2,RD,1,100,TU
1738257549.445080,1994964.000,55168,2,RD,1,100,TL
1738257552.024189,1997543.000,55168,2,RD,1,100,TU
1738257554.582798,2000101.500,56007,2,RD,1,100,TL
1738257557.141407,2002660.000,56007,2,RD,1,100,TU
1738257559.707016,2005225.500,56844,2,RD,1,100,TL
1738257562.272625,2007791.000,56844,2,RD,1,100,TU
1738257564.827234,2010345.500,57646,2,RD,1,100,TL
1738257567.381842,2012900.000,57646,2,RD,1,100,TU
1738257569.945951,2015464.000,58468,2,RD,1,100,TL
1738257572.510060,2018028.000,58468,2,RD,1,100,TU
1738257575.063669,2020581.500,59294,2,RD,1,100,TL
1738257577.617277,2023135.000,59294,2,RD,1,100,TU
1738257580.170386,2025688.000,60057,2,RD,1,100,TL
1738257582.723494,2028241.000,60057,2,RD,1,100,TU
1738257585.286603,2030804.000,60893,2,RD,1,100,TL
1738257587.849712,2033367.000,60893,2,RD,1,100,TU
1738257590.415321,2035932.500,61728,2,RD,1,100,TL
1738257592.980930,2038498.000,61728,2,RD,1,100,TU
1738257595.533039,2041050.000,62549,2,RD,1,100,TL
1738257598.085147,2043602.000,62549,2,RD,1,100,TU
1738257600.646256,2046163.000,63390,2,RD,1,100,TL
1738257603.207365,2048724.000,63390,2,RD,1,100,TU
1738257605.770974,2051287.500,64227,2,RD,1,100,TL
1738257608.334583,2053851.000,64227,2,RD,1,100,TU
1738257610.898191,2056414.500,65063,2,RD,1,100,TL
1738257613.461801,2058978.000,65063,2,RD,1,100,TU
1738257616.027410,2061543.500,364,2,RD,1,100,TL
1738257618.593019,2064109.000,364,2,RD,1,100,TU
1738257621.147127,2066663.000,1200,2,RD,1,100,TL
1738257623.701236,2069217.000,1200,2,RD,1,100,TU
1738257626.256844,2071772.500,2037,2,RD,1,100,TL
1738257628.812453,2074328.000,2037,2,RD,1,100,TU
1738257631.366561,2076882.000,2872,2,RD,1,100,TL
1738257633.920670,2079436.000,2872,2,RD,1,100,TU
1738257636.473778,2081989.000,3707,2,RD,1,100,TL
1738257639.026887,2084542.000,3707,2,RD,1,100,TU
1738257641.600996,2087116.000,4561,2,RD,1,100,TL
1738257644.175106,2089690.000,4561,2,RD,1,100,TU
1738257646.729714,2092244.500,5396,2,RD,1,100,TL
1738257649.284323,2094799.000,5396,2,RD,1,100,TU
1738257651.837931,2097352.500,6237,2,RD,1,100,TL
1738257654.391540,2099906.000,6237,2,RD,1,100,TU
1738257656.945649,2102460.000,7080,2,RD,1,100,TL
1738257659.499757,2105014.000,7080,2,RD,1,100,TU
1738257662.055866,2107570.000,7918,2,RD,1,100,TL
1738257664.611974,2110126.000,7918,2,RD,1,100,TU
1738257667.165583,2112679.500,8754,2,RD,1,100,TL
1738257669.719191,2115233.000,8754,2,RD,1,100,TU
1738257672.281800,2117795.500,9606,2,RD,1,100,TL
1738257674.844409,2120358.000,9606,2,RD,1,100,TU
1738257677.414018,2122927.500,10442,2,RD,1,100,TL
1738257679.983628,2125497.000,10442,2,RD,1,100,TU
1738257682.537236,2128050.500,11280,2,RD,1,100,TL
1738257685.090845,2130604.000,11280,2,RD,1,100,TU
1738257687.658954,2133172.000,12131,2,RD,1,100,TL
1738257690.227063,2135740.000,12131,2,RD,1,100,TU
1738257692.781172,2138294.000,12968,2,RD,1,100,TL
1738257695.335280,2140848.000,12968,2,RD,1,100,TU
1738257697.895889,2143408.500,13806,2,RD,1,100,TL
1738257700.456498,2145969.000,13806,2,RD,1,100,TU
1738257703.009106,2148521.500,14644,2,RD,1,100,TL
1738257705.561715,2151074.000,14644,2,RD,1,100,TU
1738257708.115823,2153628.000,15484,2,RD,1,100,TL
1738257710.669932,2156182.000,15484,2,RD,1,100,TU
1738257713.241541,2158753.500,16338,2,RD,1,100,TL
1738257715.813150,2161325.000,16338,2,RD,1,100,TU
1738257718.372759,2163884.500,17175,2,RD,1,100,TL
1738257720.932368,2166444.000,17175,2,RD,1,100,TU
1738257723.483976,2168995.500,17994,2,RD,1,100,TL
1738257726.035585,2171547.000,17994,2,RD,1,100,TU
1738257728.603694,2174115.000,18846,2,RD,1,100,TL
1738257731.171803,2176683.000,18846,2,RD,1,100,TU
1738257733.725912,2179237.000,19688,2,RD,1,100,TL
1738257736.280020,2181791.000,19688,2,RD,1,100,TU
1738257738.847629,2184358.500,20544,2,RD,1,100,TL
1738257741.415238,2186926.000,20544,2,RD,1,100,TU
1738257743.984348,2189495.000,21385,2,RD,1,100,TL
1738257746.553457,2192064.000,21385,2,RD,1,100,TU
1738257749.106065,2194616.500,22223,2,RD,1,100,TL
1738257751.658674,2197169.000,22223,2,RD,1,100,TU
1738257754.212782,2199723.000,23064,2,RD,1,100,TL
1738257756.766891,2202277.000,23064,2,RD,1,100,TU
1738257759.322999,2204833.000,23905,2,RD,1,100,TL
1738257761.879108,2207389.000,23905,2,RD,1,100,TU
1738257764.435217,2209945.000,24744,2,RD,1,100,TL
1738257766.991325,2212501.000,24744,2,RD,1,100,TU
1738257769.558934,2215068.500,25602,2,RD,1,100,TL
1738257772.126544,2217636.000,25602,2,RD,1,100,TU
1738257774.680652,2220190.000,26440,2,RD,1,100,TL
1738257777.234761,2222744.000,26440,2,RD,1,100,TU
1738257779.788869,2225298.000,27277,2,RD,1,100,TL
1738257782.342978,2227852.000,27277,2,RD,1,100,TU
1738257784.902087,2230411.000,28097,2,RD,1,100,TL
1738257787.461195,2232970.000,28097,2,RD,1,100,TU
1738257790.013304,2235522.000,28916,2,RD,1,100,TL
1738257792.565412,2238074.000,28916,2,RD,1,100,TU
1738257795.125521,2240634.000,29755,2,RD,1,100,TL
1738257797.685630,2243194.000,29755,2,RD,1,100,TU
1738257800.239239,2245747.500,30518,2,RD,1,100,TL
1738257802.792847,2248301.000,30518,2,RD,1,100,TU
1738257805.361956,2250870.000,31371,2,RD,1,100,TL
1738257807.931065,2253439.000,31371,2,RD,1,100,TU
1738257810.487174,2255995.000,32215,2,RD,1,100,TL
1738257813.043283,2258551.000,32215,2,RD,1,100,TU
1738257815.616892,2261124.500,33050,2,RD,1,100,TL
1738257818.190501,2263698.000,33050,2,RD,1,100,TU
1738257820.757110,2266264.500,33891,2,RD,1,100,TL
1738257823.323720,2268831.000,33891,2,RD,1,100,TU
1738257825.890329,2271397.500,34733,2,RD,1,100,TL
1738257828.456938,2273964.000,34733,2,RD,1,100,TU
1738257831.010546,2276517.500,35558,2,RD,1,100,TL
1738257833.564155,2279071.000,35558,2,RD,1,100,TU
1738257836.130764,2281637.500,36406,2,RD,1,100,TL
1738257838.697373,2284204.000,36406,2,RD,1,100,TU
1738257841.263482,2286770.000,37246,2,RD,1,100,TL
1738257843.829591,2289336.000,37246,2,RD,1,100,TU
1738257846.410701,2291917.000,38083,2,RD,1,100,TL
1738257848.991810,2294498.000,38083,2,RD,1,100,TU
1738257851.545419,2297051.500,38904,2,RD,1,100,TL
1738257854.099027,2299605.000,38904,2,RD,1,100,TU
1738257856.659636,2302165.500,39741,2,RD,1,100,TL
1738257859.220245,2304726.000,39741,2,RD,1,100,TU
1738257861.783354,2307289.000,40582,2,RD,1,100,TL
1738257864.346463,2309852.000,40582,2,RD,1,100,TU
1738257866.919572,2312425.000,41421,2,RD,1,100,TL
1738257869.492682,2314998.000,41421,2,RD,1,100,TU
1738257872.059791,2317565.000,42261,2,RD,1,100,TL
1738257874.626900,2320132.000,42261,2,RD,1,100,TU
1738257877.195009,2322700.000,43107,2,RD,1,100,TL
1738257879.763118,2325268.000,43107,2,RD,1,100,TU
1738257882.317227,2327822.000,43929,2,RD,1,100,TL
1738257884.871335,2330376.000,43929,2,RD,1,100,TU
1738257887.444445,2332949.000,44765,2,RD,1,100,TL
1738257890.017554,2335522.000,44765,2,RD,1,100,TU
1738257892.569663,2338074.000,45603,2,RD,1,100,TL
1738257895.121771,2340626.000,45603,2,RD,1,100,TU
1738257897.683380,2343187.500,46446,2,RD,1,100,TL
1738257900.244989,2345749.000,46446,2,RD,1,100,TU
1738257902.809598,2348313.500,47286,2,RD,1,100,TL
1738257905.374207,2350878.000,47286,2,RD,1,100,TU
1738257907.934315,2353438.000,48129,2,RD,1,100,TL
1738257910.494424,2355998.000,48129,2,RD,1,100,TU
1738257913.048533,2358552.000,48955,2,RD,1,100,TL
1738257915.602641,2361106.000,48955,2,RD,1,100,TU
1738257918.168750,2363672.000,49796,2,RD,1,100,TL
1738257920.734859,2366238.000,49796,2,RD,1,100,TU
1738257923.299968,2368803.000,50635,2,RD,1,100,TL
1738257925.865077,2371368.000,50635,2,RD,1,100,TU
1738257928.430686,2373933.500,51479,2,RD,1,100,TL
1738257930.996295,2376499.000,51479,2,RD,1,100,TU
