LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1738257274.938413,1720469.000,10005,1,AZ,1,100,0.546
1738257274.978415,1720509.000,10022,2,AZ,1,100,0.548
1738257275.018417,1720549.000,10022,2,AZ,1,100,0.544
1738257275.058419,1720589.000,10039,3,AZ,1,100,0.547
1738257275.098420,1720629.000,10039,3,AZ,1,100,0.550
1738257275.138422,1720669.000,10039,3,AZ,1,100,0.547
1738257275.178424,1720709.000,10054,2,AZ,1,100,0.544
1738257275.218425,1720749.000,10054,2,AZ,1,100,0.546
1738257275.258427,1720789.000,10075,5,AZ,1,100,0.549
1738257275.298429,1720829.000,10075,5,AZ,1,100,0.546
1738257275.338430,1720869.000,10075,5,AZ,1,100,0.547
1738257275.378432,1720909.000,10075,5,AZ,1,100,0.546
1738257275.418434,1720949.000,10075,5,AZ,1,100,0.548
1738257275.458436,1720989.000,10093,2,AZ,1,100,0.546
1738257275.498437,1721029.000,10093,2,AZ,1,100,0.543
1738257275.538439,1721069.000,10109,3,AZ,1,100,0.545
1738257275.578441,1721109.000,10109,3,AZ,1,100,0.544
1738257275.618442,1721149.000,10109,3,AZ,1,100,0.544
1738257275.658444,1721189.000,10126,2,AZ,1,100,0.542
1738257275.698446,1721229.000,10126,2,AZ,1,100,0.546
1738257275.742781,1721273.333,10143,3,AZ,1,100,0.545
1738257275.787116,1721317.667,10143,3,AZ,1,100,0.542
1738257275.831451,1721362.000,10143,3,AZ,1,100,0.548
1738257275.871953,1721402.500,10159,2,AZ,1,100,0.543
1738257275.912455,1721443.000,10159,2,AZ,1,100,0.543
1738257275.952123,1721482.667,10176,3,AZ,1,100,0.547
1738257275.991791,1721522.333,10176,3,AZ,1,100,0.548
1738257276.031460,1721562.000,10176,3,AZ,1,100,0.543
1738257276.071462,1721602.000,10192,2,AZ,1,100,0.545
1738257276.111463,1721642.000,10192,2,AZ,1,100,0.546
1738257276.151465,1721682.000,10209,3,AZ,1,100,0.545
1738257276.191467,1721722.000,10209,3,AZ,1,100,0.545
1738257276.231468,1721762.000,10209,3,AZ,1,100,0.548
1738257276.271470,1721802.000,10226,2,AZ,1,100,0.545
1738257276.311472,1721842.000,10226,2,AZ,1,100,0.548
1738257276.351474,1721882.000,10243,3,AZ,1,100,0.546
1738257276.391475,1721922.000,10243,3,AZ,1,100,0.545
1738257276.431477,1721962.000,10243,3,AZ,1,100,0.545
1738257276.471479,1722002.000,10258,3,AZ,1,100,0.547
1738257276.511480,1722042.000,10258,3,AZ,1,100,0.544
1738257276.551482,1722082.000,10258,3,AZ,1,100,0.546
1738257276.591484,1722122.000,10275,2,AZ,1,100,0.545
1738257276.631485,1722162.000,10275,2,AZ,1,100,0.547
1738257276.671487,1722202.000,10292,3,AZ,1,100,0.543
1738257276.711489,1722242.000,10292,3,AZ,1,100,0.546
1738257276.751491,1722282.000,10292,3,AZ,1,100,0.544
1738257276.791492,1722322.000,10309,2,AZ,1,100,0.544
1738257276.831494,1722362.000,10309,2,AZ,1,100,0.543
1738257276.878496,1722409.000,10324,2,AZ,1,100,0.547
1738257276.925498,1722456.000,10324,2,AZ,1,100,0.547
1738257276.965500,1722496.000,10342,3,AZ,1,100,0.543
1738257277.005501,1722536.000,10342,3,AZ,1,100,0.545
1738257277.045503,1722576.000,10342,3,AZ,1,100,0.545
1738257277.085005,1722615.500,10358,2,AZ,1,100,0.546
1738257277.124506,1722655.000,10358,2,AZ,1,100,0.544
