LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1738257274.983415,1720514.000,10019,1,T1,1,100,33.808
1738257275.116421,1720647.000,10036,1,T1,1,100,33.775
1738257275.249927,1720780.500,10072,2,T1,1,100,33.761
1738257275.383432,1720914.000,10072,2,T1,1,100,33.790
1738257275.516438,1721047.000,10090,1,T1,1,100,33.696
1738257275.650444,1721181.000,10123,1,T1,1,100,33.585
1738257275.783449,1721314.000,10140,1,T1,1,100,33.679
1738257275.916455,1721447.000,10156,1,T1,1,100,33.790
1738257276.050461,1721581.000,10189,1,T1,1,100,33.767
1738257276.183466,1721714.000,10206,1,T1,1,100,33.793
1738257276.316472,1721847.000,10223,1,T1,1,100,33.698
1738257276.450478,1721981.000,10240,1,T1,1,100,33.798
1738257276.583483,1722114.000,10272,1,T1,1,100,33.700
1738257276.716489,1722247.000,10289,1,T1,1,100,33.693
1738257276.850495,1722381.000,10306,1,T1,1,100,33.725
1738257276.983500,1722514.000,10339,1,T1,1,100,33.739
1738257277.116506,1722647.000,10355,1,T1,1,100,33.781
1738257277.250512,1722781.000,10372,1,T1,1,100,33.763
1738257277.383517,1722914.000,10405,1,T1,1,100,33.649
1738257277.516523,1723047.000,10421,1,T1,1,100,33.671
1738257277.650529,1723181.000,10439,1,T1,1,100,33.680
1738257277.783534,1723314.000,10471,1,T1,1,100,33.755
1738257277.916540,1723447.000,10487,1,T1,1,100,33.681
1738257278.049546,1723580.000,10505,1,T1,1,100,33.791
1738257278.183551,1723714.000,10537,1,T1,1,100,33.661
1738257278.316557,1723847.000,10554,1,T1,1,100,33.605
1738257278.449563,1723980.000,10571,1,T1,1,100,33.652
1738257278.583568,1724114.000,10604,1,T1,1,100,33.708
1738257278.716574,1724247.000,10620,1,T1,1,100,33.767
1738257278.849580,1724380.000,10637,1,T1,1,100,33.651
1738257278.983585,1724514.000,10653,1,T1,1,100,33.743
1738257279.116591,1724647.000,10686,1,T1,1,100,33.782
1738257279.249597,1724780.000,10703,1,T1,1,100,33.693
1738257279.383602,1724914.000,10720,1,T1,1,100,33.690
1738257279.516608,1725047.000,10752,2,T1,1,100,33.759
1738257279.649614,1725180.000,10752,2,T1,1,100,33.860
1738257279.783619,1725314.000,10785,1,T1,1,100,33.727
1738257279.916625,1725447.000,10804,1,T1,1,100,33.740
1738257280.049631,1725580.000,10821,1,T1,1,100,33.817
1738257280.183636,1725714.000,10853,1,T1,1,100,33.779
1738257280.316642,1725847.000,10871,1,T1,1,100,33.727
1738257280.449648,1725980.000,10896,1,T1,1,100,33.740
1738257280.583653,1726114.000,10913,1,T1,1,100,33.817
1738257280.716659,1726247.000,10946,1,T1,1,100,33.850
1738257280.849665,1726380.000,10962,1,T1,1,100,33.793
1738257280.983670,1726514.000,10980,1,T1,1,100,33.769
1738257281.116676,1726647.000,10996,1,T1,1,100,33.829
1738257281.249682,1726780.000,11029,1,T1,1,100,33.784
1738257281.383687,1726914.000,11046,1,T1,1,100,33.729
1738257281.516693,1727047.000,11062,1,T1,1,100,33.741
1738257281.649699,1727180.000,11095,1,T1,1,100,33.782
1738257281.783704,1727314.000,11112,1,T1,1,100,33.728
1738257281.916710,1727447.000,11128,1,T1,1,100,33.882
1738257282.049716,1727580.000,11161,1,T1,1,100,33.807
1738257282.182721,1727713.000,11178,1,T1,1,100,33.810
1738257282.316727,1727847.000,11195,1,T1,1,100,33.776
1738257282.449733,1727980.000,11212,1,T1,1,100,33.726
1738257282.582738,1728113.000,11245,1,T1,1,100,33.846
1738257282.716744,1728247.000,11261,1,T1,1,100,33.862
1738257282.849750,1728380.000,11278,1,T1,1,100,33.905
1738257282.982755,1728513.000,11311,1,T1,1,100,33.782
1738257283.116761,1728647.000,11327,1,T1,1,100,33.764
1738257283.249767,1728780.000,11344,1,T1,1,100,33.791
1738257283.382772,1728913.000,11377,1,T1,1,100,33.803
1738257283.516778,1729047.000,11393,1,T1,1,100,33.773
1738257283.649784,1729180.000,11411,1,T1,1,100,33.760
1738257283.782789,1729313.000,11443,1,T1,1,100,33.790
1738257283.916795,1729447.000,11459,1,T1,1,100,33.838
1738257284.049801,1729580.000,11477,1,T1,1,100,33.824
1738257284.182806,1729713.000,11493,1,T1,1,100,33.924
1738257284.316812,1729847.000,11526,1,T1,1,100,33.825
1738257284.449818,1729980.000,11543,1,T1,1,100,33.889
1738257284.582823,1730113.000,11559,1,T1,1,100,33.739
1738257284.716829,1730247.000,11592,1,T1,1,100,33.816
1738257284.849835,1730380.000,11609,1,T1,1,100,33.779
1738257284.982840,1730513.000,11626,1,T1,1,100,33.762
1738257285.115846,1730646.000,11658,1,T1,1,100,33.684
1738257285.249852,1730780.000,11675,1,T1,1,100,33.686
1738257285.382857,1730913.000,11694,1,T1,1,100,33.651
1738257285.515863,1731046.000,11731,1,T1,1,100,33.778
1738257285.649869,1731180.000,11749,1,T1,1,100,33.762
1738257285.782874,1731313.000,11765,1,T1,1,100,33.826
1738257285.915880,1731446.000,11798,1,T1,1,100,33.818
1738257286.049886,1731580.000,11815,1,T1,1,100,33.851
1738257286.182891,1731713.000,11831,1,T1,1,100,33.864
1738257286.315897,1731846.000,11848,1,T1,1,100,33.835
1738257286.449903,1731980.000,11881,1,T1,1,100,33.893
1738257286.582908,1732113.000,11897,1,T1,1,100,33.812
1738257286.715914,1732246.000,11915,1,T1,1,100,33.919
1738257286.849920,1732380.000,11947,1,T1,1,100,33.788
1738257286.982925,1732513.000,11964,1,T1,1,100,33.731
1738257287.115931,1732646.000,11981,1,T1,1,100,33.742
1738257287.249937,1732780.000,12014,1,T1,1,100,33.853
1738257287.382942,1732913.000,12030,1,T1,1,100,33.794
1738257287.515948,1733046.000,12047,1,T1,1,100,33.769
1738257287.648954,1733179.000,12080,1,T1,1,100,33.758
1738257287.782959,1733313.000,12096,1,T1,1,100,33.718
1738257287.915965,1733446.000,12113,1,T1,1,100,33.772
1738257288.049971,1733580.000,12146,1,T1,1,100,33.830
1738257288.182976,1733713.000,12162,1,T1,1,100,33.891
1738257288.315982,1733846.000,12180,1,T1,1,100,33.811
1738257288.448988,1733979.000,12196,1,T1,1,100,33.812
1738257288.582993,1734113.000,12229,1,T1,1,100,33.883
1738257288.715999,1734246.000,12246,1,T1,1,100,33.843
1738257288.849005,1734379.000,12262,1,T1,1,100,33.861
1738257288.983010,1734513.000,12295,1,T1,1,100,33.834
1738257289.116016,1734646.000,12312,1,T1,1,100,33.786
1738257289.249022,1734779.000,12328,1,T1,1,100,33.837
1738257289.383027,1734913.000,12361,1,T1,1,100,33.894
1738257289.516033,1735046.000,12378,1,T1,1,100,33.919
1738257289.649039,1735179.000,12395,1,T1,1,100,33.858
1738257289.783044,1735313.000,12427,1,T1,1,100,33.832
1738257289.916050,1735446.000,12444,1,T1,1,100,33.892
1738257290.049056,1735579.000,12461,1,T1,1,100,33.811
1738257290.183061,1735713.000,12478,1,T1,1,100,33.847
1738257290.316067,1735846.000,12511,1,T1,1,100,33.828
1738257290.449073,1735979.000,12529,1,T1,1,100,33.819
1738257290.583078,1736113.000,12546,1,T1,1,100,33.886
1738257290.716084,1736246.000,12584,1,T1,1,100,33.880
1738257290.849090,1736379.000,12600,1,T1,1,100,33.948
1738257290.983095,1736513.000,12618,1,T1,1,100,33.836
1738257291.116101,1736646.000,12650,1,T1,1,100,33.858
1738257291.249107,1736779.000,12666,1,T1,1,100,33.832
1738257291.382112,1736912.000,12684,1,T1,1,100,33.821
1738257291.516118,1737046.000,12700,1,T1,1,100,33.816
1738257291.649124,1737179.000,12733,1,T1,1,100,33.779
1738257291.782129,1737312.000,12750,1,T1,1,100,33.869
