RD,TS_received,TS_sent,AK,RoundTrip,
1782918,1782936,2025-01-30_10-14-39-726925,1782937,18,
1788041,1793172,2025-01-30_10-14-44-871437,1793174,5131,
1793178,1798287,2025-01-30_10-14-50-108736,1798292,5109,
1798295,1798312,2025-01-30_10-14-55-105660,1798313,17,
1803400,1808521,2025-01-30_10-15-00-262018,1808523,5121,
1808525,1813650,2025-01-30_10-15-05-344416,1813651,5125,
1813656,1818778,2025-01-30_10-15-10-553843,1818784,5122,
1818787,1823909,2025-01-30_10-15-15-611367,1823910,5122,
1823917,1823945,2025-01-30_10-15-20-741696,1823947,28,
1829022,1834136,2025-01-30_10-15-25-951748,1834137,5114,
1834145,1834172,2025-01-30_10-15-30-964132,1834173,27,
1839249,1844376,2025-01-30_10-15-36-161518,1844380,5127,
1844383,1844401,2025-01-30_10-15-41-196292,1844407,18,
1849488,1849507,2025-01-30_10-15-46-302005,1849508,19,
1854614,1859720,2025-01-30_10-15-51-574364,1859721,5106,
1859728,1864863,2025-01-30_10-15-56-584977,1864864,5135,
1864871,1864899,2025-01-30_10-16-01-695676,1864900,28,
1869977,1870004,2025-01-30_10-16-06-797802,1870005,27,
1875116,1875163,2025-01-30_10-16-11-955875,1875165,47,
1880224,1880243,2025-01-30_10-16-17-037070,1880244,19,
1885331,1885371,2025-01-30_10-16-22-166848,1885376,40,
1890443,1890469,2025-01-30_10-16-27-258932,1890470,26,
1895550,1900686,2025-01-30_10-16-32-462406,1900687,5136,
1900695,1900753,2025-01-30_10-16-37-550402,1900754,58,
1905803,1905828,2025-01-30_10-16-42-625482,1905829,25,
1910939,1910981,2025-01-30_10-16-47-776172,1910982,42,
1916048,1916069,2025-01-30_10-16-52-866295,1916071,21,
1921160,1921218,2025-01-30_10-16-57-995903,1921219,58,
1926267,1926283,2025-01-30_10-17-03-082247,1926292,16,
1931373,1931388,2025-01-30_10-17-08-187101,1931389,15,
1936507,1936524,2025-01-30_10-17-13-322109,1936525,17,
1941615,1941664,2025-01-30_10-17-18-458609,1941665,49,
1946722,1946749,2025-01-30_10-17-23-545767,1946750,27,
1951831,1951852,2025-01-30_10-17-28-648125,1951853,21,
1956970,1956999,2025-01-30_10-17-33-797960,1957000,29,
1962077,1967188,2025-01-30_10-17-38-981325,1967189,5111,
1967198,1967223,2025-01-30_10-17-44-020421,1967225,25,
1972300,1977434,2025-01-30_10-17-49-225013,1977436,5134,
1977439,1977461,2025-01-30_10-17-54-258932,1977463,22,
1982553,1987689,2025-01-30_10-17-59-450599,1987691,5136,
1987693,1987712,2025-01-30_10-18-04-510337,1987713,19,
1992809,1992824,2025-01-30_10-18-09-624249,1992826,15,
1997927,1997994,2025-01-30_10-18-14-774663,1997995,67,
2003051,2008204,2025-01-30_10-18-19-927630,2008205,5153,
2008209,2008230,2025-01-30_10-18-25-028625,2008232,21,
2013338,2013357,2025-01-30_10-18-30-157774,2013358,19,
2018464,2018489,2025-01-30_10-18-35-290099,2018490,25,
2023583,2023656,2025-01-30_10-18-40-406619,2023657,73,
2028722,2033841,2025-01-30_10-18-45-540403,2033843,5119,
2033846,2038966,2025-01-30_10-18-50-676032,2038967,5120,
2038974,2039007,2025-01-30_10-18-55-807140,2039008,33,
2044094,2049214,2025-01-30_10-19-00-947235,2049215,5120,
2049219,2054327,2025-01-30_10-19-06-046950,2054328,5108,
2054336,2054351,2025-01-30_10-19-11-152645,2054352,15,
2059453,2064575,2025-01-30_10-19-16-274209,2064576,5122,
2064579,2069710,2025-01-30_10-19-21-565914,2069711,5131,
2069718,2069735,2025-01-30_10-19-26-535560,2069736,17,
2074851,2079974,2025-01-30_10-19-31-687389,2079975,5123,
2079978,2085107,2025-01-30_10-19-36-808818,2085108,5129,
2085111,2090241,2025-01-30_10-19-41-998817,2090243,5130,
2090249,2095371,2025-01-30_10-19-47-106269,2095373,5122,
2095376,2100504,2025-01-30_10-19-52-220687,2100505,5128,
2100509,2105636,2025-01-30_10-19-57-477421,2105637,5127,
2105640,2110770,2025-01-30_10-20-02-549704,2110771,5130,
2110774,2115900,2025-01-30_10-20-07-714344,2115902,5126,
2115905,2115987,2025-01-30_10-20-12-760125,2115988,82,
2121028,2126165,2025-01-30_10-20-17-886562,2126166,5137,
2126169,2126195,2025-01-30_10-20-22-995838,2126197,26,
