LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1738257276.946032,1780145.000,3197,1,MZ,1,100,24
1738257276.986033,1780185.000,3212,2,MZ,1,100,23
1738257277.026035,1780225.000,3212,2,MZ,1,100,25
1738257277.066036,1780265.000,3229,3,MZ,1,100,23
1738257277.106038,1780305.000,3229,3,MZ,1,100,24
1738257277.146039,1780345.000,3229,3,MZ,1,100,23
1738257277.186041,1780385.000,3244,3,MZ,1,100,24
1738257277.226042,1780425.000,3244,3,MZ,1,100,25
1738257277.266043,1780465.000,3244,3,MZ,1,100,24
1738257277.306045,1780505.000,3259,2,MZ,1,100,24
1738257277.346046,1780545.000,3259,2,MZ,1,100,24
1738257277.386048,1780585.000,3275,3,MZ,1,100,22
1738257277.426049,1780625.000,3275,3,MZ,1,100,23
1738257277.466051,1780665.000,3275,3,MZ,1,100,23
1738257277.506052,1780705.000,3291,2,MZ,1,100,25
1738257277.546054,1780745.000,3291,2,MZ,1,100,24
1738257277.586055,1780785.000,3306,3,MZ,1,100,24
1738257277.626057,1780825.000,3306,3,MZ,1,100,22
1738257277.666058,1780865.000,3306,3,MZ,1,100,24
1738257277.706060,1780905.000,3322,2,MZ,1,100,25
1738257277.746061,1780945.000,3322,2,MZ,1,100,23
1738257277.786063,1780985.000,3337,3,MZ,1,100,25
1738257277.826064,1781025.000,3337,3,MZ,1,100,23
1738257277.866066,1781065.000,3337,3,MZ,1,100,23
1738257277.906067,1781105.000,3353,3,MZ,1,100,25
1738257277.946069,1781145.000,3353,3,MZ,1,100,24
1738257277.986070,1781185.000,3353,3,MZ,1,100,24
1738257278.026072,1781225.000,3369,2,MZ,1,100,25
1738257278.066073,1781265.000,3369,2,MZ,1,100,24
1738257278.106074,1781305.000,3385,3,MZ,1,100,25
1738257278.146076,1781345.000,3385,3,MZ,1,100,24
1738257278.186077,1781385.000,3385,3,MZ,1,100,25
1738257278.226079,1781425.000,3399,2,MZ,1,100,23
1738257278.266080,1781465.000,3399,2,MZ,1,100,23
1738257278.306082,1781505.000,3415,3,MZ,1,100,23
