LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1738257409.189901,1912384,23593,1,SA,1,100,0.000000
1738257409.389908,1912584,23675,1,SA,1,100,0.000004
1738257409.856926,1913051,23772,1,SA,1,100,0.000006
1738257410.456948,1913651,23853,1,SA,1,100,0.000006
1738257410.989967,1914184,24056,1,SA,1,100,0.000057
1738257412.323016,1915517,24106,1,SA,1,100,0.000007
1738257412.590026,1915784,24138,1,SA,1,100,0.000003
1738257412.790034,1915984,24208,1,SA,1,100,0.000015
1738257413.256051,1916450,24336,1,SA,1,100,0.000033
1738257414.189085,1917383,24432,1,SA,1,100,0.000013
1738257414.589100,1917783,24465,1,SA,1,100,0.000003
1738257414.789107,1917983,24498,1,SA,1,100,0.000006
1738257415.189122,1918383,24546,1,SA,1,100,0.000005
1738257415.389129,1918583,24675,1,SA,1,100,0.000035
1738257416.456169,1919650,24770,1,SA,1,100,0.000008
1738257417.122193,1920316,24868,1,SA,1,100,0.000004
1738257417.456205,1920650,24917,1,SA,1,100,0.000007
1738257417.989225,1921183,24989,1,SA,1,100,0.000003
1738257418.322237,1921516,25084,1,SA,1,100,0.000016
1738257418.789254,1921983,25183,1,SA,1,100,0.000024
1738257419.389277,1922583,25248,1,SA,1,100,0.000015
1738257420.589321,1923783,25424,1,SA,1,100,0.000007
1738257421.655360,1924849,25612,1,SA,1,100,0.000012
1738257422.055375,1925249,25660,1,SA,1,100,0.000008
1738257422.788402,1925982,25758,1,SA,1,100,0.000006
1738257423.055412,1926249,25796,1,SA,1,100,0.000002
1738257423.655434,1926849,25927,1,SA,1,100,0.000009
1738257424.056448,1927250,25991,1,SA,1,100,0.000011
1738257425.255493,1928449,26182,1,SA,1,100,0.000008
1738257425.655507,1928849,26279,1,SA,1,100,0.000019
1738257426.455537,1929649,26343,1,SA,1,100,0.000004
1738257426.655544,1929849,26457,1,SA,1,100,0.000025
1738257427.389571,1930583,26521,1,SA,1,100,0.000016
1738257427.788586,1930982,26569,1,SA,1,100,0.000008
1738257428.322606,1931516,26639,1,SA,1,100,0.000002
1738257428.522613,1931716,26689,1,SA,1,100,0.000005
1738257428.788623,1931982,26723,1,SA,1,100,0.000003
1738257429.388645,1932582,26819,1,SA,1,100,0.000003
1738257430.255677,1933449,26962,1,SA,1,100,0.000006
1738257430.721694,1933915,27138,1,SA,1,100,0.000032
1738257431.655728,1934849,27188,1,SA,1,100,0.000007
1738257431.921738,1935115,27206,1,SA,1,100,0.000004
1738257432.121745,1935315,27254,1,SA,1,100,0.000006
1738257432.654765,1935848,27352,1,SA,1,100,0.000012
1738257433.121782,1936315,27437,1,SA,1,100,0.000011
1738257434.321826,1937515,27616,1,SA,1,100,0.000007
1738257434.721841,1937915,27665,1,SA,1,100,0.000002
1738257434.921849,1938115,27698,1,SA,1,100,0.000004
1738257435.254861,1938448,27873,1,SA,1,100,0.000042
1738257436.387902,1939581,27955,1,SA,1,100,0.000010
1738257436.720915,1939914,28003,1,SA,1,100,0.000011
1738257437.054927,1940248,28037,1,SA,1,100,0.000003
1738257437.654949,1940848,28165,1,SA,1,100,0.000013
1738257438.054964,1941248,28214,1,SA,1,100,0.000008
1738257438.320974,1941514,28303,1,SA,1,100,0.000021
1738257438.853993,1942047,28399,1,SA,1,100,0.000034
1738257439.522018,1942715,28431,1,SA,1,100,0.000004
1738257440.122040,1943315,28542,1,SA,1,100,0.000015
1738257440.454052,1943647,28576,1,SA,1,100,0.000004
1738257441.054074,1944247,28740,1,SA,1,100,0.000027
1738257441.788101,1944981,28804,1,SA,1,100,0.000010
1738257442.187116,1945380,28868,1,SA,1,100,0.000006
1738257442.455126,1945648,29066,1,SA,1,100,0.000067
1738257443.921180,1947114,29194,1,SA,1,100,0.000031
1738257444.721209,1947914,29354,1,SA,1,100,0.000038
1738257445.454236,1948647,29371,1,SA,1,100,0.000004
1738257446.054258,1949247,29531,1,SA,1,100,0.000031
1738257447.987330,1951180,29769,1,SA,1,100,0.000005
1738257448.454347,1951647,29853,1,SA,1,100,0.000004
1738257449.054369,1952247,29981,1,SA,1,100,0.000018
1738257449.453384,1952646,30046,1,SA,1,100,0.000016
1738257450.120408,1953313,30126,1,SA,1,100,0.000007
1738257450.653428,1953846,30317,1,SA,1,100,0.000050
1738257452.586499,1955779,30507,1,SA,1,100,0.000010
1738257452.987514,1956180,31077,1,SA,1,100,0.000500
1738257459.386749,1962579,31739,1,SA,1,100,0.000161
1738257461.919843,1965112,31942,1,SA,1,100,0.000007
1738257462.519865,1965712,32038,1,SA,1,100,0.000012
1738257463.185889,1966378,32148,1,SA,1,100,0.000011
1738257464.252928,1967445,32315,1,SA,1,100,0.000005
1738257464.586941,1967779,32364,1,SA,1,100,0.000003
1738257464.919953,1968112,32444,1,SA,1,100,0.000009
1738257465.652980,1968845,32527,1,SA,1,100,0.000003
1738257466.786022,1969978,32715,1,SA,1,100,0.000002
1738257466.986029,1970178,32748,1,SA,1,100,0.000004
1738257471.453194,1974645,33488,1,SA,1,100,0.000010
1738257472.119218,1975311,33583,1,SA,1,100,0.000012
1738257473.119255,1976311,33952,1,SA,1,100,0.000059
1738257475.052326,1978244,34033,1,SA,1,100,0.000020
1738257475.586346,1978778,34129,1,SA,1,100,0.000024
1738257476.186368,1979378,34161,1,SA,1,100,0.000004
1738257476.518380,1979710,34225,1,SA,1,100,0.000006
1738257476.785390,1979977,34292,1,SA,1,100,0.000015
1738257477.652422,1980844,34418,1,SA,1,100,0.000014
1738257478.319447,1981511,34514,1,SA,1,100,0.000007
1738257478.719461,1981911,34564,1,SA,1,100,0.000010
1738257479.385486,1982577,34683,1,SA,1,100,0.000008
1738257479.918505,1983110,34779,1,SA,1,100,0.000008
1738257480.251518,1983443,34829,1,SA,1,100,0.000010
1738257480.585530,1983777,34862,1,SA,1,100,0.000006
1738257480.851540,1984043,34926,1,SA,1,100,0.000014
1738257481.519564,1984711,35023,1,SA,1,100,0.000006
1738257481.919579,1985111,35104,1,SA,1,100,0.000012
1738257482.718608,1985910,35246,1,SA,1,100,0.000016
1738257483.252628,1986444,35374,1,SA,1,100,0.000035
1738257484.318667,1987510,35462,1,SA,1,100,0.000004
1738257484.518675,1987710,35526,1,SA,1,100,0.000021
1738257485.052694,1988244,35590,1,SA,1,100,0.000016
1738257486.251739,1989443,35763,1,SA,1,100,0.000006
1738257486.517748,1989709,35796,1,SA,1,100,0.000008
1738257486.917763,1990109,35861,1,SA,1,100,0.000009
1738257487.317778,1990509,35925,1,SA,1,100,0.000004
1738257487.785795,1990977,36051,1,SA,1,100,0.000027
1738257488.385817,1991577,36085,1,SA,1,100,0.000003
1738257488.717829,1991909,36151,1,SA,1,100,0.000008
