LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1738257276.946032,1780145.000,3195,1,MX,1,100,-8
1738257276.986033,1780185.000,3210,2,MX,1,100,-8
1738257277.026035,1780225.000,3210,2,MX,1,100,-8
1738257277.066036,1780265.000,3227,3,MX,1,100,-8
1738257277.106038,1780305.000,3227,3,MX,1,100,-9
1738257277.146039,1780345.000,3227,3,MX,1,100,-8
1738257277.186041,1780385.000,3242,3,MX,1,100,-8
1738257277.226042,1780425.000,3242,3,MX,1,100,-8
1738257277.266043,1780465.000,3242,3,MX,1,100,-8
1738257277.306045,1780505.000,3257,2,MX,1,100,-9
1738257277.346046,1780545.000,3257,2,MX,1,100,-8
1738257277.386048,1780585.000,3273,3,MX,1,100,-8
1738257277.426049,1780625.000,3273,3,MX,1,100,-9
1738257277.466051,1780665.000,3273,3,MX,1,100,-9
1738257277.506052,1780705.000,3289,2,MX,1,100,-8
1738257277.546054,1780745.000,3289,2,MX,1,100,-9
1738257277.586055,1780785.000,3304,3,MX,1,100,-8
1738257277.626057,1780825.000,3304,3,MX,1,100,-9
1738257277.666058,1780865.000,3304,3,MX,1,100,-8
1738257277.706060,1780905.000,3320,2,MX,1,100,-8
1738257277.746061,1780945.000,3320,2,MX,1,100,-9
1738257277.786063,1780985.000,3335,3,MX,1,100,-9
1738257277.826064,1781025.000,3335,3,MX,1,100,-8
1738257277.866066,1781065.000,3335,3,MX,1,100,-8
1738257277.906067,1781105.000,3351,3,MX,1,100,-8
1738257277.946069,1781145.000,3351,3,MX,1,100,-8
1738257277.986070,1781185.000,3351,3,MX,1,100,-8
1738257278.026072,1781225.000,3367,2,MX,1,100,-8
1738257278.066073,1781265.000,3367,2,MX,1,100,-8
1738257278.106074,1781305.000,3383,3,MX,1,100,-8
1738257278.146076,1781345.000,3383,3,MX,1,100,-8
1738257278.186077,1781385.000,3383,3,MX,1,100,-8
1738257278.226079,1781425.000,3397,2,MX,1,100,-8
1738257278.266080,1781465.000,3397,2,MX,1,100,-8
1738257278.306082,1781505.000,3413,3,MX,1,100,-8
1738257278.346083,1781545.000,3413,3,MX,1,100,-8
1738257278.386085,1781585.000,3413,3,MX,1,100,-8
1738257278.426086,1781625.000,3429,2,MX,1,100,-8
1738257278.466088,1781665.000,3429,2,MX,1,100,-8
1738257278.506089,1781705.000,3445,3,MX,1,100,-8
1738257278.546091,1781745.000,3445,3,MX,1,100,-9
1738257278.586092,1781785.000,3445,3,MX,1,100,-8
1738257278.626094,1781825.000,3459,2,MX,1,100,-7
1738257278.666095,1781865.000,3459,2,MX,1,100,-7
1738257278.706096,1781905.000,3478,3,MX,1,100,-8
1738257278.746098,1781945.000,3478,3,MX,1,100,-8
1738257278.786099,1781985.000,3478,3,MX,1,100,-8
1738257278.826101,1782025.000,3493,2,MX,1,100,-8
1738257278.866102,1782065.000,3493,2,MX,1,100,-9
1738257278.906104,1782105.000,3509,3,MX,1,100,-7
1738257278.946105,1782145.000,3509,3,MX,1,100,-8
1738257278.986107,1782185.000,3509,3,MX,1,100,-8
1738257279.026108,1782225.000,3524,3,MX,1,100,-8
1738257279.066110,1782265.000,3524,3,MX,1,100,-9
1738257279.106111,1782305.000,3524,3,MX,1,100,-8
1738257279.139112,1782338.000,3540,2,MX,1,100,-8
1738257279.172114,1782371.000,3540,2,MX,1,100,-8
1738257279.212115,1782411.000,3555,3,MX,1,100,-8
1738257279.252117,1782451.000,3555,3,MX,1,100,-8
1738257279.292118,1782491.000,3555,3,MX,1,100,-8
1738257279.332119,1782531.000,3572,3,MX,1,100,-8
1738257279.372121,1782571.000,3572,3,MX,1,100,-8
1738257279.412122,1782611.000,3572,3,MX,1,100,-8
