LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1738257276.931031,1780130.000,3187,1,EA,1,100,0.030227
1738257276.998034,1780197.000,3201,1,EA,1,100,0.030227
1738257277.064536,1780263.500,3218,2,EA,1,100,0.030228
1738257277.131038,1780330.000,3218,2,EA,1,100,0.030228
1738257277.198041,1780397.000,3233,2,EA,1,100,0.030228
1738257277.265043,1780464.000,3233,2,EA,1,100,0.030228
1738257277.331046,1780530.000,3249,1,EA,1,100,0.030228
1738257277.398048,1780597.000,3264,2,EA,1,100,0.030227
1738257277.465051,1780664.000,3264,2,EA,1,100,0.030228
1738257277.531053,1780730.000,3280,1,EA,1,100,0.030228
1738257277.598056,1780797.000,3295,2,EA,1,100,0.030228
1738257277.665058,1780864.000,3295,2,EA,1,100,0.030228
1738257277.731061,1780930.000,3312,1,EA,1,100,0.030228
1738257277.798063,1780997.000,3326,2,EA,1,100,0.030228
1738257277.865066,1781064.000,3326,2,EA,1,100,0.030228
1738257277.931068,1781130.000,3342,1,EA,1,100,0.030228
1738257277.998070,1781197.000,3358,2,EA,1,100,0.030228
1738257278.065073,1781264.000,3358,2,EA,1,100,0.030228
1738257278.131075,1781330.000,3374,1,EA,1,100,0.030228
1738257278.197578,1781396.500,3389,2,EA,1,100,0.030228
1738257278.264080,1781463.000,3389,2,EA,1,100,0.030228
1738257278.331083,1781530.000,3404,1,EA,1,100,0.030228
1738257278.397585,1781596.500,3420,2,EA,1,100,0.030228
1738257278.464087,1781663.000,3420,2,EA,1,100,0.030228
1738257278.531090,1781730.000,3436,2,EA,1,100,0.030228
1738257278.598093,1781797.000,3436,2,EA,1,100,0.030228
1738257278.664095,1781863.000,3451,1,EA,1,100,0.030228
1738257278.731097,1781930.000,3469,2,EA,1,100,0.030228
1738257278.798100,1781997.000,3469,2,EA,1,100,0.030228
1738257278.864102,1782063.000,3484,1,EA,1,100,0.030228
1738257278.931105,1782130.000,3500,2,EA,1,100,0.030228
1738257278.998107,1782197.000,3500,2,EA,1,100,0.030228
1738257279.064110,1782263.000,3516,1,EA,1,100,0.030228
1738257279.131112,1782330.000,3531,2,EA,1,100,0.030228
1738257279.198115,1782397.000,3531,2,EA,1,100,0.030228
1738257279.264117,1782463.000,3546,1,EA,1,100,0.030228
1738257279.331120,1782530.000,3563,2,EA,1,100,0.030228
1738257279.398122,1782597.000,3563,2,EA,1,100,0.030228
1738257279.464124,1782663.000,3578,1,EA,1,100,0.030228
1738257279.531127,1782730.000,3593,2,EA,1,100,0.030228
1738257279.598129,1782797.000,3593,2,EA,1,100,0.030228
1738257279.664632,1782863.500,3614,2,EA,1,100,0.030228
1738257279.731134,1782930.000,3614,2,EA,1,100,0.030228
1738257279.798137,1782997.000,3630,1,EA,1,100,0.030228
1738257279.864639,1783063.500,3645,2,EA,1,100,0.030228
1738257279.931142,1783130.000,3645,2,EA,1,100,0.030228
1738257279.998144,1783197.000,3661,1,EA,1,100,0.030228
1738257280.064646,1783263.500,3676,2,EA,1,100,0.030228
1738257280.131149,1783330.000,3676,2,EA,1,100,0.030228
1738257280.198151,1783397.000,3692,1,EA,1,100,0.030228
1738257280.264654,1783463.500,3707,2,EA,1,100,0.030228
1738257280.331156,1783530.000,3707,2,EA,1,100,0.030228
1738257280.398159,1783597.000,3724,1,EA,1,100,0.030228
1738257280.464661,1783663.500,3738,2,EA,1,100,0.030228
1738257280.531164,1783730.000,3738,2,EA,1,100,0.030228
1738257280.598166,1783797.000,3754,1,EA,1,100,0.030228
1738257280.664669,1783863.500,3770,2,EA,1,100,0.030228
1738257280.731171,1783930.000,3770,2,EA,1,100,0.030228
1738257280.798173,1783997.000,3786,1,EA,1,100,0.030228
1738257280.864676,1784063.500,3800,2,EA,1,100,0.030228
1738257280.931178,1784130.000,3800,2,EA,1,100,0.030228
1738257280.998181,1784197.000,3816,1,EA,1,100,0.030228
1738257281.064683,1784263.500,3832,2,EA,1,100,0.030228
1738257281.131186,1784330.000,3832,2,EA,1,100,0.030228
1738257281.198188,1784397.000,3848,1,EA,1,100,0.030228
1738257281.264691,1784463.500,3862,2,EA,1,100,0.030228
1738257281.331193,1784530.000,3862,2,EA,1,100,0.030228
1738257281.398196,1784597.000,3879,1,EA,1,100,0.030228
1738257281.464698,1784663.500,3894,2,EA,1,100,0.030228
1738257281.531200,1784730.000,3894,2,EA,1,100,0.030228
1738257281.598203,1784797.000,3910,1,EA,1,100,0.030228
1738257281.664706,1784863.500,3926,2,EA,1,100,0.030228
1738257281.731208,1784930.000,3926,2,EA,1,100,0.030228
1738257281.797710,1784996.500,3941,2,EA,1,100,0.030228
1738257281.864213,1785063.000,3941,2,EA,1,100,0.030228
1738257281.931215,1785130.000,3956,1,EA,1,100,0.030228
1738257281.997718,1785196.500,3973,2,EA,1,100,0.030228
1738257282.064220,1785263.000,3973,2,EA,1,100,0.030228
1738257282.131223,1785330.000,3988,1,EA,1,100,0.030228
1738257282.197725,1785396.500,4003,2,EA,1,100,0.030228
1738257282.264228,1785463.000,4003,2,EA,1,100,0.030228
1738257282.331230,1785530.000,4018,1,EA,1,100,0.030228
1738257282.397732,1785596.500,4035,2,EA,1,100,0.030228
1738257282.464235,1785663.000,4035,2,EA,1,100,0.030227
1738257282.531237,1785730.000,4050,1,EA,1,100,0.030227
1738257282.597740,1785796.500,4065,2,EA,1,100,0.030228
1738257282.664242,1785863.000,4065,2,EA,1,100,0.030227
1738257282.731245,1785930.000,4081,1,EA,1,100,0.030227
1738257282.797747,1785996.500,4097,2,EA,1,100,0.030227
1738257282.864250,1786063.000,4097,2,EA,1,100,0.030227
1738257282.931252,1786130.000,4112,1,EA,1,100,0.030227
1738257282.997755,1786196.500,4128,2,EA,1,100,0.030227
1738257283.064257,1786263.000,4128,2,EA,1,100,0.030227
1738257283.131259,1786330.000,4143,1,EA,1,100,0.030227
1738257283.197762,1786396.500,4159,2,EA,1,100,0.030227
1738257283.264264,1786463.000,4159,2,EA,1,100,0.030227
1738257283.331267,1786530.000,4174,1,EA,1,100,0.030227
1738257283.397769,1786596.500,4190,2,EA,1,100,0.030227
1738257283.464272,1786663.000,4190,2,EA,1,100,0.030227
1738257283.531274,1786730.000,4205,1,EA,1,100,0.030227
1738257283.597777,1786796.500,4221,2,EA,1,100,0.030227
1738257283.664279,1786863.000,4221,2,EA,1,100,0.030227
1738257283.731282,1786930.000,4237,1,EA,1,100,0.030227
1738257283.797784,1786996.500,4255,2,EA,1,100,0.030227
1738257283.864286,1787063.000,4255,2,EA,1,100,0.030227
1738257283.931289,1787130.000,4269,1,EA,1,100,0.030227
1738257283.997791,1787196.500,4286,2,EA,1,100,0.030227
1738257284.064294,1787263.000,4286,2,EA,1,100,0.030227
1738257284.131296,1787330.000,4301,1,EA,1,100,0.030227
1738257284.197799,1787396.500,4317,2,EA,1,100,0.030227
1738257284.264301,1787463.000,4317,2,EA,1,100,0.030227
1738257284.330804,1787529.500,4332,2,EA,1,100,0.030227
1738257284.397306,1787596.000,4332,2,EA,1,100,0.030227
1738257284.464309,1787663.000,4348,1,EA,1,100,0.030227
1738257284.530811,1787729.500,4363,2,EA,1,100,0.030227
1738257284.597313,1787796.000,4363,2,EA,1,100,0.030227
1738257284.664316,1787863.000,4379,1,EA,1,100,0.030227
1738257284.730818,1787929.500,4394,2,EA,1,100,0.030227
1738257284.797321,1787996.000,4394,2,EA,1,100,0.030227
1738257284.864323,1788063.000,4413,2,EA,1,100,0.030227
1738257284.931326,1788130.000,4413,2,EA,1,100,0.030227
1738257284.997328,1788196.000,4428,1,EA,1,100,0.030227
1738257285.063831,1788262.500,4445,2,EA,1,100,0.030227
1738257285.130333,1788329.000,4445,2,EA,1,100,0.030227
1738257285.197335,1788396.000,4460,1,EA,1,100,0.030227
1738257285.263838,1788462.500,4475,2,EA,1,100,0.030228
1738257285.330340,1788529.000,4475,2,EA,1,100,0.030227
1738257285.397343,1788596.000,4491,1,EA,1,100,0.030227
1738257285.463845,1788662.500,4507,2,EA,1,100,0.030227
1738257285.530348,1788729.000,4507,2,EA,1,100,0.030228
1738257285.597350,1788796.000,4522,1,EA,1,100,0.030227
1738257285.663853,1788862.500,4539,2,EA,1,100,0.030228
1738257285.730355,1788929.000,4539,2,EA,1,100,0.030228
1738257285.797358,1788996.000,4553,1,EA,1,100,0.030228
1738257285.863860,1789062.500,4569,2,EA,1,100,0.030228
1738257285.930362,1789129.000,4569,2,EA,1,100,0.030228
1738257285.997365,1789196.000,4585,2,EA,1,100,0.030228
1738257286.064368,1789263.000,4585,2,EA,1,100,0.030228
1738257286.130370,1789329.000,4601,1,EA,1,100,0.030228
1738257286.197372,1789396.000,4615,2,EA,1,100,0.030228
1738257286.264375,1789463.000,4615,2,EA,1,100,0.030228
1738257286.330377,1789529.000,4631,1,EA,1,100,0.030228
1738257286.397380,1789596.000,4647,2,EA,1,100,0.030228
1738257286.464382,1789663.000,4647,2,EA,1,100,0.030228
1738257286.530385,1789729.000,4663,1,EA,1,100,0.030228
1738257286.597387,1789796.000,4677,2,EA,1,100,0.030228
1738257286.664390,1789863.000,4677,2,EA,1,100,0.030228
1738257286.730392,1789929.000,4694,1,EA,1,100,0.030228
1738257286.797395,1789996.000,4709,2,EA,1,100,0.030228
1738257286.864397,1790063.000,4709,2,EA,1,100,0.030228
1738257286.930399,1790129.000,4725,1,EA,1,100,0.030228
1738257286.997402,1790196.000,4741,2,EA,1,100,0.030228
1738257287.064404,1790263.000,4741,2,EA,1,100,0.030228
1738257287.130407,1790329.000,4756,1,EA,1,100,0.030227
1738257287.197409,1790396.000,4771,2,EA,1,100,0.030228
1738257287.264412,1790463.000,4771,2,EA,1,100,0.030228
1738257287.330414,1790529.000,4787,1,EA,1,100,0.030228
1738257287.397417,1790596.000,4803,2,EA,1,100,0.030228
1738257287.464419,1790663.000,4803,2,EA,1,100,0.030227
1738257287.530921,1790729.500,4818,2,EA,1,100,0.030227
1738257287.597424,1790796.000,4818,2,EA,1,100,0.030227
1738257287.664426,1790863.000,4833,1,EA,1,100,0.030227
1738257287.730929,1790929.500,4850,2,EA,1,100,0.030227
1738257287.797431,1790996.000,4850,2,EA,1,100,0.030227
1738257287.864434,1791063.000,4865,1,EA,1,100,0.030227
1738257287.930936,1791129.500,4880,2,EA,1,100,0.030227
1738257287.997439,1791196.000,4880,2,EA,1,100,0.030227
1738257288.064441,1791263.000,4896,1,EA,1,100,0.030227
1738257288.130944,1791329.500,4912,2,EA,1,100,0.030227
1738257288.197446,1791396.000,4912,2,EA,1,100,0.030227
1738257288.264448,1791463.000,4927,1,EA,1,100,0.030227
1738257288.330951,1791529.500,4943,2,EA,1,100,0.030227
1738257288.397453,1791596.000,4943,2,EA,1,100,0.030227
1738257288.464456,1791663.000,4958,1,EA,1,100,0.030227
1738257288.530958,1791729.500,4976,2,EA,1,100,0.030227
1738257288.597461,1791796.000,4976,2,EA,1,100,0.030227
1738257288.663463,1791862.000,4991,1,EA,1,100,0.030227
1738257288.730466,1791929.000,5009,2,EA,1,100,0.030227
1738257288.797468,1791996.000,5009,2,EA,1,100,0.030227
1738257288.863471,1792062.000,5024,1,EA,1,100,0.030227
1738257288.930473,1792129.000,5040,2,EA,1,100,0.030227
1738257288.997475,1792196.000,5040,2,EA,1,100,0.030227
1738257289.064478,1792263.000,5056,1,EA,1,100,0.030227
1738257289.130980,1792329.500,5072,2,EA,1,100,0.030227
1738257289.197483,1792396.000,5072,2,EA,1,100,0.030227
1738257289.263485,1792462.000,5086,1,EA,1,100,0.030227
1738257289.330488,1792529.000,5103,2,EA,1,100,0.030227
1738257289.397490,1792596.000,5103,2,EA,1,100,0.030227
1738257289.463493,1792662.000,5118,1,EA,1,100,0.030227
1738257289.530495,1792729.000,5134,2,EA,1,100,0.030227
1738257289.597497,1792796.000,5134,2,EA,1,100,0.030227
1738257289.664000,1792862.500,5149,2,EA,1,100,0.030227
1738257289.730502,1792929.000,5149,2,EA,1,100,0.030227
1738257289.797505,1792996.000,5165,1,EA,1,100,0.030227
1738257289.864007,1793062.500,5182,2,EA,1,100,0.030227
1738257289.930510,1793129.000,5182,2,EA,1,100,0.030227
1738257289.997012,1793195.500,5204,2,EA,1,100,0.030227
1738257290.063515,1793262.000,5204,2,EA,1,100,0.030227
1738257290.130517,1793329.000,5219,1,EA,1,100,0.030227
1738257290.197020,1793395.500,5234,2,EA,1,100,0.030227
1738257290.263522,1793462.000,5234,2,EA,1,100,0.030227
1738257290.330524,1793529.000,5249,1,EA,1,100,0.030227
1738257290.397027,1793595.500,5266,2,EA,1,100,0.030227
1738257290.463529,1793662.000,5266,2,EA,1,100,0.030227
1738257290.530532,1793729.000,5281,1,EA,1,100,0.030227
1738257290.597034,1793795.500,5297,2,EA,1,100,0.030227
1738257290.663537,1793862.000,5297,2,EA,1,100,0.030227
1738257290.730539,1793929.000,5312,1,EA,1,100,0.030227
1738257290.797042,1793995.500,5328,2,EA,1,100,0.030227
1738257290.863544,1794062.000,5328,2,EA,1,100,0.030227
1738257290.930547,1794129.000,5343,1,EA,1,100,0.030227
1738257290.997049,1794195.500,5360,2,EA,1,100,0.030227
1738257291.063551,1794262.000,5360,2,EA,1,100,0.030227
1738257291.130554,1794329.000,5374,2,EA,1,100,0.030227
1738257291.197556,1794396.000,5374,2,EA,1,100,0.030227
1738257291.263559,1794462.000,5390,1,EA,1,100,0.030227
1738257291.330561,1794529.000,5406,2,EA,1,100,0.030227
1738257291.397564,1794596.000,5406,2,EA,1,100,0.030227
1738257291.463566,1794662.000,5422,1,EA,1,100,0.030227
1738257291.530569,1794729.000,5436,2,EA,1,100,0.030227
1738257291.597571,1794796.000,5436,2,EA,1,100,0.030227
