LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1738257276.946032,1780145.000,3193,1,GY,1,100,0.061
1738257276.986033,1780185.000,3208,2,GY,1,100,0.824
1738257277.026035,1780225.000,3208,2,GY,1,100,0.885
1738257277.066036,1780265.000,3225,3,GY,1,100,0.549
1738257277.106038,1780305.000,3225,3,GY,1,100,0.031
1738257277.146039,1780345.000,3225,3,GY,1,100,-0.519
1738257277.186041,1780385.000,3240,3,GY,1,100,-0.793
1738257277.226042,1780425.000,3240,3,GY,1,100,-0.641
1738257277.266043,1780465.000,3240,3,GY,1,100,-0.916
1738257277.306045,1780505.000,3255,2,GY,1,100,-1.099
1738257277.346046,1780545.000,3255,2,GY,1,100,-0.031
1738257277.386048,1780585.000,3271,3,GY,1,100,0.671
1738257277.426049,1780625.000,3271,3,GY,1,100,0.031
1738257277.466051,1780665.000,3271,3,GY,1,100,0.031
1738257277.506052,1780705.000,3287,2,GY,1,100,-0.061
1738257277.546054,1780745.000,3287,2,GY,1,100,-0.488
1738257277.586055,1780785.000,3302,3,GY,1,100,-0.061
1738257277.626057,1780825.000,3302,3,GY,1,100,0.031
1738257277.666058,1780865.000,3302,3,GY,1,100,-0.092
1738257277.706060,1780905.000,3318,2,GY,1,100,-0.488
1738257277.746061,1780945.000,3318,2,GY,1,100,-0.854
1738257277.786063,1780985.000,3333,3,GY,1,100,-0.610
1738257277.826064,1781025.000,3333,3,GY,1,100,-1.160
1738257277.866066,1781065.000,3333,3,GY,1,100,-1.556
1738257277.906067,1781105.000,3349,3,GY,1,100,-0.671
1738257277.946069,1781145.000,3349,3,GY,1,100,-0.366
1738257277.986070,1781185.000,3349,3,GY,1,100,-0.580
1738257278.026072,1781225.000,3365,2,GY,1,100,-0.732
1738257278.066073,1781265.000,3365,2,GY,1,100,-0.610
1738257278.106074,1781305.000,3381,3,GY,1,100,-0.183
1738257278.146076,1781345.000,3381,3,GY,1,100,-0.092
1738257278.186077,1781385.000,3381,3,GY,1,100,0.000
1738257278.226079,1781425.000,3395,2,GY,1,100,0.031
1738257278.266080,1781465.000,3395,2,GY,1,100,-0.732
1738257278.306082,1781505.000,3411,3,GY,1,100,-0.854
1738257278.346083,1781545.000,3411,3,GY,1,100,-0.977
1738257278.386085,1781585.000,3411,3,GY,1,100,-1.373
1738257278.426086,1781625.000,3427,2,GY,1,100,-0.885
1738257278.466088,1781665.000,3427,2,GY,1,100,-0.397
1738257278.506089,1781705.000,3443,3,GY,1,100,-0.549
1738257278.546091,1781745.000,3443,3,GY,1,100,-0.275
1738257278.586092,1781785.000,3443,3,GY,1,100,-0.397
1738257278.626094,1781825.000,3457,2,GY,1,100,0.122
1738257278.666095,1781865.000,3457,2,GY,1,100,0.092
1738257278.706096,1781905.000,3476,3,GY,1,100,0.366
1738257278.746098,1781945.000,3476,3,GY,1,100,0.793
1738257278.786099,1781985.000,3476,3,GY,1,100,0.061
1738257278.826101,1782025.000,3491,2,GY,1,100,-0.916
1738257278.866102,1782065.000,3491,2,GY,1,100,-1.068
1738257278.906104,1782105.000,3507,3,GY,1,100,-0.702
1738257278.946105,1782145.000,3507,3,GY,1,100,-0.580
1738257278.986107,1782185.000,3507,3,GY,1,100,0.214
1738257279.026108,1782225.000,3522,3,GY,1,100,0.000
1738257279.066110,1782265.000,3522,3,GY,1,100,0.214
1738257279.106111,1782305.000,3522,3,GY,1,100,0.519
1738257279.139112,1782338.000,3538,2,GY,1,100,-0.214
1738257279.172114,1782371.000,3538,2,GY,1,100,-0.183
1738257279.212115,1782411.000,3553,3,GY,1,100,-0.336
1738257279.252117,1782451.000,3553,3,GY,1,100,-0.580
1738257279.292118,1782491.000,3553,3,GY,1,100,-0.580
1738257279.332119,1782531.000,3570,3,GY,1,100,-0.702
1738257279.372121,1782571.000,3570,3,GY,1,100,-0.610
1738257279.412122,1782611.000,3570,3,GY,1,100,-0.641
1738257279.452124,1782651.000,3584,2,GY,1,100,-0.793
