LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1738257289.123480,1792322.000,5058,1,T1,1,100,32.646
1738257289.257485,1792456.000,5088,1,T1,1,100,32.563
1738257289.390490,1792589.000,5105,1,T1,1,100,32.598
1738257289.523495,1792722.000,5120,1,T1,1,100,32.613
1738257289.657500,1792856.000,5151,1,T1,1,100,32.549
1738257289.790505,1792989.000,5167,1,T1,1,100,32.628
1738257289.923510,1793122.000,5184,1,T1,1,100,32.626
1738257290.056515,1793255.000,5206,1,T1,1,100,32.484
1738257290.190519,1793389.000,5236,1,T1,1,100,32.457
1738257290.323524,1793522.000,5251,1,T1,1,100,32.553
1738257290.456529,1793655.000,5268,1,T1,1,100,32.629
1738257290.590534,1793789.000,5283,1,T1,1,100,32.662
1738257290.723539,1793922.000,5314,1,T1,1,100,32.606
1738257290.856544,1794055.000,5330,1,T1,1,100,32.546
1738257290.990549,1794189.000,5345,1,T1,1,100,32.662
1738257291.123554,1794322.000,5376,1,T1,1,100,32.570
1738257291.256559,1794455.000,5392,1,T1,1,100,32.566
1738257291.390563,1794589.000,5408,1,T1,1,100,32.564
1738257291.523568,1794722.000,5438,1,T1,1,100,32.421
1738257291.656573,1794855.000,5454,1,T1,1,100,32.537
1738257291.790578,1794989.000,5470,1,T1,1,100,32.587
1738257291.923583,1795122.000,5500,1,T1,1,100,32.644
1738257292.056588,1795255.000,5517,1,T1,1,100,32.598
1738257292.190593,1795389.000,5532,1,T1,1,100,32.613
1738257292.323598,1795522.000,5563,1,T1,1,100,32.655
1738257292.456603,1795655.000,5579,1,T1,1,100,32.780
1738257292.590608,1795789.000,5594,1,T1,1,100,32.763
1738257292.723613,1795922.000,5625,1,T1,1,100,32.720
1738257292.856617,1796055.000,5641,1,T1,1,100,32.666
1738257292.990623,1796189.000,5656,1,T1,1,100,32.678
1738257293.123627,1796322.000,5673,1,T1,1,100,32.542
1738257293.256632,1796455.000,5703,1,T1,1,100,32.518
1738257293.389637,1796588.000,5719,1,T1,1,100,32.614
1738257293.523642,1796722.000,5735,1,T1,1,100,32.585
1738257293.656647,1796855.000,5766,1,T1,1,100,32.608
1738257293.789652,1796988.000,5783,1,T1,1,100,32.547
1738257293.923657,1797122.000,5799,1,T1,1,100,32.520
1738257294.056662,1797255.000,5830,1,T1,1,100,32.544
1738257294.189667,1797388.000,5845,1,T1,1,100,32.519
1738257294.323672,1797522.000,5861,1,T1,1,100,32.544
1738257294.456676,1797655.000,5892,1,T1,1,100,32.625
1738257294.589681,1797788.000,5907,1,T1,1,100,32.554
1738257294.723686,1797922.000,5924,1,T1,1,100,32.523
1738257294.856691,1798055.000,5939,1,T1,1,100,32.652
1738257294.989696,1798188.000,5969,1,T1,1,100,32.637
1738257295.123701,1798322.000,5993,1,T1,1,100,32.488
1738257295.256706,1798455.000,6008,1,T1,1,100,32.566
1738257295.389711,1798588.000,6039,1,T1,1,100,32.635
1738257295.523716,1798722.000,6055,1,T1,1,100,32.736
1738257295.656721,1798855.000,6070,1,T1,1,100,32.708
1738257295.789726,1798988.000,6101,1,T1,1,100,32.661
1738257295.923730,1799122.000,6117,1,T1,1,100,32.676
1738257296.056735,1799255.000,6133,1,T1,1,100,32.647
1738257296.189740,1799388.000,6163,1,T1,1,100,32.705
1738257296.323745,1799522.000,6179,1,T1,1,100,32.695
1738257296.456750,1799655.000,6195,1,T1,1,100,32.726
1738257296.589755,1799788.000,6225,1,T1,1,100,32.669
1738257296.723760,1799922.000,6242,1,T1,1,100,32.821
1738257296.856765,1800055.000,6257,1,T1,1,100,32.674
1738257296.989770,1800188.000,6273,1,T1,1,100,32.682
1738257297.122775,1800321.000,6304,1,T1,1,100,32.579
1738257297.256780,1800455.000,6319,1,T1,1,100,32.605
1738257297.389784,1800588.000,6336,1,T1,1,100,32.652
1738257297.522789,1800721.000,6366,1,T1,1,100,32.672
1738257297.656794,1800855.000,6381,1,T1,1,100,32.645
1738257297.789799,1800988.000,6398,1,T1,1,100,32.634
1738257297.922804,1801121.000,6428,1,T1,1,100,32.593
1738257298.056809,1801255.000,6444,1,T1,1,100,32.540
1738257298.189814,1801388.000,6460,1,T1,1,100,32.624
1738257298.322819,1801521.000,6491,1,T1,1,100,32.625
1738257298.456824,1801655.000,6506,1,T1,1,100,32.696
1738257298.589829,1801788.000,6522,1,T1,1,100,32.656
1738257298.722834,1801921.000,6538,1,T1,1,100,32.567
1738257298.856838,1802055.000,6570,1,T1,1,100,32.636
1738257298.989843,1802188.000,6586,1,T1,1,100,32.630
1738257299.122848,1802321.000,6602,1,T1,1,100,32.627
