LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1738257288.532458,1791731,4971,1,BI,1,100,12220
1738257289.901509,1793100,5177,1,BI,1,100,1350
1738257301.010918,1804209,6880,1,BI,1,100,11010
1738257302.014955,1805213,7038,1,BI,1,100,990
1738257302.990991,1806189,7195,1,BI,1,100,970
1738257304.068030,1807266,7372,1,BI,1,100,1070
1738257306.074104,1809272,7673,1,BI,1,100,1980
1738257306.887134,1810085,7801,1,BI,1,100,810
1738257308.550195,1811748,8052,1,BI,1,100,1650
1738257310.244258,1813442,8321,1,BI,1,100,1680
1738257319.823611,1823021,9785,1,BI,1,100,9490
1738257324.176771,1827374,10466,1,BI,1,100,4320
1738257325.026802,1828224,10592,1,BI,1,100,840
1738257332.363072,1835560,11727,1,BI,1,100,7270
1738257340.825384,1844022,13015,1,BI,1,100,8380
1738257341.425406,1844622,13116,1,BI,1,100,590
1738257343.595486,1846792,13461,1,BI,1,100,2150
1738257344.255510,1847452,13558,1,BI,1,100,660
1738257345.611560,1848808,13778,1,BI,1,100,1340
1738257349.294696,1852491,14348,1,BI,1,100,3650
1738257350.917755,1854114,14599,1,BI,1,100,1610
1738257352.747823,1855944,14884,1,BI,1,100,1810
1738257357.100983,1860297,15531,1,BI,1,100,4310
1738257358.757044,1861953,15782,1,BI,1,100,1640
1738257363.544220,1866740,16526,1,BI,1,100,4740
1738257364.497255,1867693,16686,1,BI,1,100,950
1738257366.247320,1869443,16952,1,BI,1,100,1730
1738257367.927382,1871123,17208,1,BI,1,100,1670
1738257378.769781,1881965,18889,1,BI,1,100,10740
1738257383.192944,1886388,19568,1,BI,1,100,4380
1738257409.370908,1912565,23610,1,BI,1,100,25940
1738257410.337943,1913532,23755,1,BI,1,100,960
1738257415.904148,1919098,24642,1,BI,1,100,5510
1738257416.964187,1920158,24819,1,BI,1,100,1050
1738257418.064228,1921258,24986,1,BI,1,100,1090
1738257418.907259,1922101,25119,1,BI,1,100,830
1738257420.027300,1923221,25297,1,BI,1,100,1110
1738257422.627396,1925821,25710,1,BI,1,100,2580
1738257423.620432,1926814,25876,1,BI,1,100,980
1738257424.633470,1927827,26040,1,BI,1,100,1010
1738257425.669508,1928863,26200,1,BI,1,100,1020
1738257426.806550,1930000,26377,1,BI,1,100,1130
1738257429.926665,1933120,26883,1,BI,1,100,3090
1738257430.926701,1934120,27026,1,BI,1,100,990
1738257431.842735,1935036,27171,1,BI,1,100,910
1738257432.712767,1935906,27318,1,BI,1,100,860
1738257433.612800,1936806,27470,1,BI,1,100,890
1738257434.389829,1937583,27582,1,BI,1,100,770
1738257435.362865,1938556,27746,1,BI,1,100,960
1738257436.502907,1939696,27922,1,BI,1,100,1130
1738257437.408940,1940602,28069,1,BI,1,100,900
1738257438.408977,1941602,28236,1,BI,1,100,1000
1738257440.666060,1943859,28593,1,BI,1,100,2240
1738257441.335085,1944528,28704,1,BI,1,100,660
1738257441.489090,1944682,28722,1,BI,1,100,150
1738257443.022147,1946215,28963,1,BI,1,100,1520
1738257443.539166,1946732,29048,1,BI,1,100,510
1738257444.578204,1947771,29227,1,BI,1,100,1030
1738257445.852251,1949045,29421,1,BI,1,100,1260
1738257446.712283,1949905,29563,1,BI,1,100,850
1738257451.465458,1954658,30300,1,BI,1,100,4710
1738257452.821508,1956014,30523,1,BI,1,100,1350
