LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1738260741.911626,594444.000,27916,4,EM,1,100,RS
1738260741.911626,594444.000,27916,4,EM,1,100,RB
1738260741.911626,594444.000,27916,4,EM,1,100,2025-01-30_11-12-21-020476.csv
1738260741.911626,594444.000,27916,4,EM,1,100,PS
1738260741.962378,594494.750,27946,4,EM,1,100,RS
1738260742.013130,594545.500,27946,4,EM,1,100,RB
1738260742.063882,594596.250,27946,4,EM,1,100,2025-01-30_11-12-21-020476.csv
1738260742.114634,594647.000,27946,4,EM,1,100,PS
1738260742.164886,594697.250,27980,4,EM,1,100,RS
1738260742.215137,594747.500,27980,4,EM,1,100,RB
1738260742.265389,594797.750,27980,4,EM,1,100,2025-01-30_11-12-21-020476.csv
1738260742.315641,594848.000,27980,4,EM,1,100,PS
1738260742.365893,594898.250,28015,4,EM,1,100,RS
1738260742.416145,594948.500,28015,4,EM,1,100,RB
1738260742.466397,594998.750,28015,4,EM,1,100,2025-01-30_11-12-21-020476.csv
1738260742.516649,595049.000,28015,4,EM,1,100,PS
1738260742.566901,595099.250,28046,4,EM,1,100,RS
1738260742.617153,595149.500,28046,4,EM,1,100,RB
1738260742.667405,595199.750,28046,4,EM,1,100,2025-01-30_11-12-21-020476.csv
1738260742.717657,595250.000,28046,4,EM,1,100,PS
1738260742.768158,595300.500,28077,4,EM,1,100,RS
1738260742.818660,595351.000,28077,4,EM,1,100,RB
1738260742.869162,595401.500,28077,4,EM,1,100,2025-01-30_11-12-21-020476.csv
1738260742.919664,595452.000,28077,4,EM,1,100,PS
1738260742.969916,595502.250,28110,4,EM,1,100,RS
1738260743.020168,595552.500,28110,4,EM,1,100,RB
1738260743.070420,595602.750,28110,4,EM,1,100,2025-01-30_11-12-21-020476.csv
1738260743.120672,595653.000,28110,4,EM,1,100,PS
1738260743.170924,595703.250,28141,4,EM,1,100,RS
1738260743.221176,595753.500,28141,4,EM,1,100,RB
1738260743.271428,595803.750,28141,4,EM,1,100,2025-01-30_11-12-21-020476.csv
1738260743.321680,595854.000,28141,4,EM,1,100,PS
1738260743.371931,595904.250,28163,4,EM,1,100,RS
1738260743.422183,595954.500,28163,4,EM,1,100,RB
1738260743.472435,596004.750,28163,4,EM,1,100,2025-01-30_11-12-21-020476.csv
