LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1738257280.093374,1753159.100,16266,10,PI,1,100,164899
1738257280.104074,1753169.800,16266,10,PI,1,100,164864
1738257280.114775,1753180.500,16266,10,PI,1,100,164845
1738257280.125475,1753191.200,16266,10,PI,1,100,164864
1738257280.136176,1753201.900,16266,10,PI,1,100,164859
1738257280.146876,1753212.600,16266,10,PI,1,100,164866
1738257280.157577,1753223.300,16266,10,PI,1,100,164842
1738257280.168277,1753234.000,16266,10,PI,1,100,164842
1738257280.177914,1753243.636,16283,11,PI,1,100,164858
1738257280.187551,1753253.273,16283,11,PI,1,100,164819
1738257280.197188,1753262.909,16283,11,PI,1,100,164835
1738257280.206825,1753272.545,16283,11,PI,1,100,164831
1738257280.216461,1753282.182,16283,11,PI,1,100,164785
1738257280.226098,1753291.818,16283,11,PI,1,100,164834
1738257280.235735,1753301.455,16283,11,PI,1,100,164842
1738257280.245372,1753311.091,16283,11,PI,1,100,164839
1738257280.255008,1753320.727,16283,11,PI,1,100,164824
1738257280.264645,1753330.364,16283,11,PI,1,100,164819
1738257280.274282,1753340.000,16283,11,PI,1,100,164830
1738257280.284727,1753350.444,16298,9,PI,1,100,164809
1738257280.295172,1753360.889,16298,9,PI,1,100,164834
1738257280.305617,1753371.333,16298,9,PI,1,100,164821
1738257280.316061,1753381.778,16298,9,PI,1,100,164821
1738257280.326507,1753392.222,16298,9,PI,1,100,164799
1738257280.336951,1753402.667,16298,9,PI,1,100,164828
1738257280.347396,1753413.111,16298,9,PI,1,100,164828
1738257280.357841,1753423.556,16298,9,PI,1,100,164818
1738257280.368286,1753434.000,16298,9,PI,1,100,164836
1738257280.377923,1753443.636,16316,11,PI,1,100,164792
1738257280.387560,1753453.273,16316,11,PI,1,100,164839
1738257280.397197,1753462.909,16316,11,PI,1,100,164826
1738257280.406833,1753472.545,16316,11,PI,1,100,164826
1738257280.416470,1753482.182,16316,11,PI,1,100,164844
1738257280.426107,1753491.818,16316,11,PI,1,100,164826
1738257280.435744,1753501.455,16316,11,PI,1,100,164800
1738257280.445380,1753511.091,16316,11,PI,1,100,164826
1738257280.455017,1753520.727,16316,11,PI,1,100,164798
1738257280.464654,1753530.364,16316,11,PI,1,100,164835
