LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1738257279.155233,1752221.000,16118,1,GX,1,100,0.092
1738257279.195235,1752261.000,16134,3,GX,1,100,0.366
1738257279.235237,1752301.000,16134,3,GX,1,100,0.366
1738257279.275238,1752341.000,16134,3,GX,1,100,0.275
1738257279.315240,1752381.000,16151,3,GX,1,100,0.305
1738257279.355242,1752421.000,16151,3,GX,1,100,0.458
1738257279.395244,1752461.000,16151,3,GX,1,100,0.122
1738257279.435245,1752501.000,16168,2,GX,1,100,-0.061
1738257279.475247,1752541.000,16168,2,GX,1,100,0.458
1738257279.514915,1752580.667,16184,3,GX,1,100,0.397
1738257279.554584,1752620.333,16184,3,GX,1,100,0.122
1738257279.594252,1752660.000,16184,3,GX,1,100,0.214
1738257279.634754,1752700.500,16200,2,GX,1,100,0.336
1738257279.675256,1752741.000,16200,2,GX,1,100,0.031
1738257279.714924,1752780.667,16218,3,GX,1,100,-0.122
1738257279.754593,1752820.333,16218,3,GX,1,100,0.366
1738257279.794261,1752860.000,16218,3,GX,1,100,0.214
1738257279.834263,1752900.000,16234,2,GX,1,100,0.519
1738257279.874264,1752940.000,16234,2,GX,1,100,0.488
1738257279.917766,1752983.500,16258,4,GX,1,100,0.244
1738257279.961268,1753027.000,16258,4,GX,1,100,0.183
1738257280.004770,1753070.500,16258,4,GX,1,100,0.153
1738257280.048272,1753114.000,16258,4,GX,1,100,0.336
1738257280.088274,1753154.000,16275,3,GX,1,100,0.580
1738257280.128276,1753194.000,16275,3,GX,1,100,0.397
1738257280.168277,1753234.000,16275,3,GX,1,100,0.671
1738257280.208279,1753274.000,16291,2,GX,1,100,0.854
1738257280.248281,1753314.000,16291,2,GX,1,100,0.183
1738257280.288283,1753354.000,16307,3,GX,1,100,0.366
1738257280.328284,1753394.000,16307,3,GX,1,100,0.732
1738257280.368286,1753434.000,16307,3,GX,1,100,0.214
1738257280.408288,1753474.000,16325,2,GX,1,100,0.305
1738257280.448290,1753514.000,16325,2,GX,1,100,0.580
1738257280.488291,1753554.000,16341,3,GX,1,100,0.244
1738257280.528293,1753594.000,16341,3,GX,1,100,0.244
1738257280.568295,1753634.000,16341,3,GX,1,100,0.641
1738257280.608297,1753674.000,16358,2,GX,1,100,0.366
1738257280.648298,1753714.000,16358,2,GX,1,100,0.336
1738257280.688300,1753754.000,16374,3,GX,1,100,0.275
1738257280.728302,1753794.000,16374,3,GX,1,100,0.153
1738257280.768304,1753834.000,16374,3,GX,1,100,0.397
1738257280.808305,1753874.000,16391,2,GX,1,100,0.336
1738257280.848307,1753914.000,16391,2,GX,1,100,0.397
1738257280.888309,1753954.000,16407,3,GX,1,100,0.549
1738257280.928311,1753994.000,16407,3,GX,1,100,0.397
1738257280.968312,1754034.000,16407,3,GX,1,100,0.580
1738257281.008314,1754074.000,16424,2,GX,1,100,0.519
1738257281.048316,1754114.000,16424,2,GX,1,100,0.549
1738257281.088318,1754154.000,16440,3,GX,1,100,0.488
1738257281.128319,1754194.000,16440,3,GX,1,100,0.458
1738257281.168321,1754234.000,16440,3,GX,1,100,0.610
1738257281.208323,1754274.000,16457,3,GX,1,100,0.641
1738257281.248325,1754314.000,16457,3,GX,1,100,0.275
1738257281.288326,1754354.000,16457,3,GX,1,100,0.305
1738257281.334828,1754400.500,16473,2,GX,1,100,0.519
1738257281.381330,1754447.000,16473,2,GX,1,100,0.549
1738257281.421332,1754487.000,16493,2,GX,1,100,0.580
1738257281.461334,1754527.000,16493,2,GX,1,100,0.580
1738257281.501336,1754567.000,16508,3,GX,1,100,0.366
1738257281.541337,1754607.000,16508,3,GX,1,100,0.275
1738257281.581339,1754647.000,16508,3,GX,1,100,0.427
1738257281.621341,1754687.000,16525,3,GX,1,100,0.488
1738257281.661343,1754727.000,16525,3,GX,1,100,0.183
1738257281.701344,1754767.000,16525,3,GX,1,100,0.275
1738257281.741346,1754807.000,16542,2,GX,1,100,0.458
1738257281.781348,1754847.000,16542,2,GX,1,100,0.366
1738257281.821350,1754887.000,16559,3,GX,1,100,0.427
1738257281.861351,1754927.000,16559,3,GX,1,100,0.488
1738257281.901353,1754967.000,16559,3,GX,1,100,0.427
1738257281.941355,1755007.000,16574,2,GX,1,100,0.366
1738257281.981357,1755047.000,16574,2,GX,1,100,0.427
1738257282.021358,1755087.000,16592,3,GX,1,100,0.488
1738257282.061360,1755127.000,16592,3,GX,1,100,0.671
1738257282.101362,1755167.000,16592,3,GX,1,100,0.427
1738257282.141364,1755207.000,16608,2,GX,1,100,0.366
1738257282.181365,1755247.000,16608,2,GX,1,100,0.427
1738257282.221367,1755287.000,16625,3,GX,1,100,0.397
1738257282.261369,1755327.000,16625,3,GX,1,100,0.580
1738257282.301371,1755367.000,16625,3,GX,1,100,0.610
1738257282.341372,1755407.000,16640,2,GX,1,100,0.580
1738257282.381374,1755447.000,16640,2,GX,1,100,0.549
1738257282.421376,1755487.000,16658,3,GX,1,100,0.244
1738257282.461378,1755527.000,16658,3,GX,1,100,0.000
1738257282.501379,1755567.000,16658,3,GX,1,100,0.122
1738257282.541381,1755607.000,16674,2,GX,1,100,0.275
1738257282.581383,1755647.000,16674,2,GX,1,100,0.397
1738257282.625718,1755691.333,16691,3,GX,1,100,0.519
1738257282.670053,1755735.667,16691,3,GX,1,100,0.458
1738257282.714389,1755780.000,16691,3,GX,1,100,0.519
1738257282.754390,1755820.000,16708,2,GX,1,100,0.702
1738257282.794392,1755860.000,16708,2,GX,1,100,0.580
1738257282.834394,1755900.000,16724,3,GX,1,100,0.305
1738257282.874396,1755940.000,16724,3,GX,1,100,0.397
1738257282.914397,1755980.000,16724,3,GX,1,100,0.641
1738257282.954399,1756020.000,16740,2,GX,1,100,0.366
1738257282.994401,1756060.000,16740,2,GX,1,100,0.336
1738257283.034403,1756100.000,16758,3,GX,1,100,0.732
1738257283.074404,1756140.000,16758,3,GX,1,100,0.671
