LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1738257279.213236,1752279.000,16130,1,T1,1,100,32.207
1738257279.346241,1752412.000,16147,1,T1,1,100,32.125
1738257279.480247,1752546.000,16164,1,T1,1,100,32.090
1738257279.613253,1752679.000,16196,1,T1,1,100,32.145
1738257279.746259,1752812.000,16214,1,T1,1,100,32.205
1738257279.880265,1752946.000,16230,1,T1,1,100,32.195
1738257280.013271,1753079.000,16254,1,T1,1,100,32.191
1738257280.146276,1753212.000,16271,1,T1,1,100,32.224
1738257280.280282,1753346.000,16303,1,T1,1,100,32.203
1738257280.413288,1753479.000,16321,1,T1,1,100,32.194
1738257280.546294,1753612.000,16337,1,T1,1,100,32.226
1738257280.680300,1753746.000,16354,1,T1,1,100,32.169
1738257280.813306,1753879.000,16387,1,T1,1,100,32.286
1738257280.946311,1754012.000,16403,1,T1,1,100,32.195
1738257281.079317,1754145.000,16420,1,T1,1,100,32.120
1738257281.213323,1754279.000,16453,1,T1,1,100,32.229
1738257281.346329,1754412.000,16469,1,T1,1,100,32.205
1738257281.480335,1754546.000,16489,1,T1,1,100,32.302
1738257281.613340,1754679.000,16521,1,T1,1,100,32.343
1738257281.746346,1754812.000,16538,1,T1,1,100,32.219
1738257281.880352,1754946.000,16555,1,T1,1,100,32.130
1738257282.013358,1755079.000,16588,1,T1,1,100,32.305
1738257282.146364,1755212.000,16604,1,T1,1,100,32.238
1738257282.279370,1755345.000,16621,1,T1,1,100,32.209
1738257282.413375,1755479.000,16654,1,T1,1,100,32.126
1738257282.546381,1755612.000,16670,1,T1,1,100,32.125
1738257282.679387,1755745.000,16687,1,T1,1,100,32.161
1738257282.813393,1755879.000,16704,1,T1,1,100,32.176
1738257282.946399,1756012.000,16736,1,T1,1,100,32.147
1738257283.079405,1756145.000,16754,1,T1,1,100,32.099
1738257283.213410,1756279.000,16770,1,T1,1,100,32.220
1738257283.346416,1756412.000,16803,1,T1,1,100,32.343
1738257283.479422,1756545.000,16820,1,T1,1,100,32.184
1738257283.613428,1756679.000,16836,1,T1,1,100,32.221
1738257283.746434,1756812.000,16869,1,T1,1,100,32.273
1738257283.879440,1756945.000,16886,1,T1,1,100,32.154
1738257284.012445,1757078.000,16902,1,T1,1,100,32.244
