LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1738258103.574249,2576604,20523,1,SA,1,100,0.000057
1738258105.240321,2578270,20555,1,SA,1,100,0.000003
1738258105.440330,2578470,20589,1,SA,1,100,0.000002
1738258105.640339,2578670,20669,1,SA,1,100,0.000015
1738258106.107359,2579137,20717,1,SA,1,100,0.000006
1738258106.773388,2579803,20846,1,SA,1,100,0.000022
1738258107.773432,2580803,21006,1,SA,1,100,0.000018
1738258108.773476,2581803,21165,1,SA,1,100,0.000014
1738258109.239496,2582269,21199,1,SA,1,100,0.000006
1738258109.506508,2582536,21231,1,SA,1,100,0.000006
1738258109.973528,2583003,21345,1,SA,1,100,0.000013
1738258110.639557,2583669,21489,1,SA,1,100,0.000023
1738258111.373590,2584403,21540,1,SA,1,100,0.000002
1738258111.573598,2584603,21575,1,SA,1,100,0.000007
1738258111.839610,2584869,21623,1,SA,1,100,0.000007
1738258112.372633,2585402,21703,1,SA,1,100,0.000003
1738258112.706648,2585736,21754,1,SA,1,100,0.000003
1738258112.906657,2585936,21786,1,SA,1,100,0.000002
1738258113.239671,2586269,21853,1,SA,1,100,0.000005
1738258113.506683,2586536,21886,1,SA,1,100,0.000002
1738258113.972703,2587002,21981,1,SA,1,100,0.000007
1738258114.306718,2587336,22031,1,SA,1,100,0.000008
1738258114.772738,2587802,22097,1,SA,1,100,0.000007
1738258115.172755,2588202,22161,1,SA,1,100,0.000007
1738258115.839785,2588869,22290,1,SA,1,100,0.000010
1738258116.239802,2589269,22420,1,SA,1,100,0.000028
1738258117.305849,2590335,22485,1,SA,1,100,0.000002
1738258117.639863,2590669,22549,1,SA,1,100,0.000006
1738258117.905875,2590935,22583,1,SA,1,100,0.000003
1738258118.373895,2591403,22679,1,SA,1,100,0.000006
1738258118.639907,2591669,22713,1,SA,1,100,0.000005
1738258118.906919,2591936,22745,1,SA,1,100,0.000003
1738258119.238933,2592268,22793,1,SA,1,100,0.000004
1738258119.572948,2592602,22876,1,SA,1,100,0.000008
1738258120.038968,2593068,22940,1,SA,1,100,0.000008
1738258120.839003,2593868,23068,1,SA,1,100,0.000005
1738258121.239020,2594268,23199,1,SA,1,100,0.000019
1738258121.906049,2594935,23233,1,SA,1,100,0.000005
1738258122.306067,2595335,23312,1,SA,1,100,0.000007
1738258122.640082,2595669,23423,1,SA,1,100,0.000024
1738258123.706128,2596735,23519,1,SA,1,100,0.000005
1738258124.239151,2597268,23631,1,SA,1,100,0.000013
1738258124.839178,2597868,23728,1,SA,1,100,0.000014
1738258125.439204,2598468,23810,1,SA,1,100,0.000010
1738258125.773218,2598802,23875,1,SA,1,100,0.000014
1738258126.439248,2599468,23941,1,SA,1,100,0.000003
1738258126.772262,2599801,24069,1,SA,1,100,0.000019
1738258128.039317,2601068,24245,1,SA,1,100,0.000014
1738258128.506338,2601535,24279,1,SA,1,100,0.000008
1738258129.039361,2602068,24362,1,SA,1,100,0.000003
1738258129.239370,2602268,24395,1,SA,1,100,0.000002
1738258129.439379,2602468,24443,1,SA,1,100,0.000011
1738258129.905399,2602934,24540,1,SA,1,100,0.000014
1738258130.705434,2603734,24638,1,SA,1,100,0.000003
1738258130.905443,2603934,24671,1,SA,1,100,0.000003
1738258131.105451,2604134,24689,1,SA,1,100,0.000003
1738258131.438466,2604467,24833,1,SA,1,100,0.000026
1738258132.705521,2605734,24991,1,SA,1,100,0.000013
1738258133.172542,2606201,25055,1,SA,1,100,0.000012
1738258133.571559,2606600,25119,1,SA,1,100,0.000012
1738258134.505600,2607534,25278,1,SA,1,100,0.000020
1738258135.305635,2608334,25361,1,SA,1,100,0.000002
1738258135.638649,2608667,25440,1,SA,1,100,0.000011
1738258136.171673,2609200,25523,1,SA,1,100,0.000009
1738258136.504687,2609533,25555,1,SA,1,100,0.000005
1738258137.038711,2610067,25651,1,SA,1,100,0.000009
1738258137.704740,2610733,25746,1,SA,1,100,0.000007
1738258138.104757,2611133,25825,1,SA,1,100,0.000010
1738258138.572778,2611601,25890,1,SA,1,100,0.000007
1738258139.237807,2612266,25986,1,SA,1,100,0.000005
1738258139.504818,2612533,26018,1,SA,1,100,0.000004
1738258139.971839,2613000,26114,1,SA,1,100,0.000011
1738258140.304853,2613333,26163,1,SA,1,100,0.000006
1738258140.704871,2613733,26212,1,SA,1,100,0.000004
1738258141.037885,2614066,26291,1,SA,1,100,0.000012
1738258141.705914,2614734,26389,1,SA,1,100,0.000003
