LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1738258103.574249,2576604,20524,1,SR,1,100,1.533333
1738258105.240321,2578270,20556,1,SR,1,100,0.066667
1738258105.440330,2578470,20590,1,SR,1,100,0.066667
1738258105.640339,2578670,20670,1,SR,1,100,0.333333
1738258106.107359,2579137,20718,1,SR,1,100,0.133333
1738258106.773388,2579803,20847,1,SR,1,100,0.333333
1738258107.773432,2580803,21007,1,SR,1,100,0.333333
1738258108.773476,2581803,21166,1,SR,1,100,0.333333
1738258109.239496,2582269,21200,1,SR,1,100,0.133333
1738258109.506508,2582536,21232,1,SR,1,100,0.066667
1738258109.973528,2583003,21346,1,SR,1,100,0.266667
1738258110.639557,2583669,21490,1,SR,1,100,0.466667
1738258111.373590,2584403,21541,1,SR,1,100,0.066667
1738258111.573598,2584603,21576,1,SR,1,100,0.133333
1738258111.839610,2584869,21624,1,SR,1,100,0.133333
1738258112.372633,2585402,21704,1,SR,1,100,0.066667
1738258112.706648,2585736,21755,1,SR,1,100,0.066667
1738258112.906657,2585936,21787,1,SR,1,100,0.066667
1738258113.239671,2586269,21854,1,SR,1,100,0.133333
1738258113.506683,2586536,21887,1,SR,1,100,0.066667
1738258113.972703,2587002,21982,1,SR,1,100,0.200000
1738258114.306718,2587336,22032,1,SR,1,100,0.200000
1738258114.772738,2587802,22098,1,SR,1,100,0.133333
1738258115.172755,2588202,22162,1,SR,1,100,0.133333
1738258115.839785,2588869,22291,1,SR,1,100,0.266667
1738258116.239802,2589269,22421,1,SR,1,100,0.666667
1738258117.305849,2590335,22486,1,SR,1,100,0.066667
1738258117.639863,2590669,22550,1,SR,1,100,0.133333
1738258117.905875,2590935,22584,1,SR,1,100,0.066667
1738258118.373895,2591403,22680,1,SR,1,100,0.133333
1738258118.639907,2591669,22714,1,SR,1,100,0.133333
1738258118.906919,2591936,22746,1,SR,1,100,0.066667
1738258119.238933,2592268,22794,1,SR,1,100,0.066667
1738258119.572948,2592602,22877,1,SR,1,100,0.200000
1738258120.038968,2593068,22941,1,SR,1,100,0.133333
1738258120.839003,2593868,23069,1,SR,1,100,0.133333
1738258121.239020,2594268,23200,1,SR,1,100,0.533333
1738258121.906049,2594935,23234,1,SR,1,100,0.133333
1738258122.306067,2595335,23313,1,SR,1,100,0.200000
1738258122.640082,2595669,23424,1,SR,1,100,0.533333
1738258123.706128,2596735,23520,1,SR,1,100,0.133333
1738258124.239151,2597268,23632,1,SR,1,100,0.333333
1738258124.839178,2597868,23729,1,SR,1,100,0.333333
1738258125.439204,2598468,23811,1,SR,1,100,0.200000
1738258125.773218,2598802,23876,1,SR,1,100,0.266667
1738258126.439248,2599468,23942,1,SR,1,100,0.066667
1738258126.772262,2599801,24070,1,SR,1,100,0.466667
1738258128.039317,2601068,24246,1,SR,1,100,0.333333
1738258128.506338,2601535,24280,1,SR,1,100,0.133333
1738258129.039361,2602068,24363,1,SR,1,100,0.066667
1738258129.239370,2602268,24396,1,SR,1,100,0.066667
1738258129.439379,2602468,24444,1,SR,1,100,0.200000
1738258129.905399,2602934,24541,1,SR,1,100,0.266667
1738258130.705434,2603734,24639,1,SR,1,100,0.066667
1738258130.905443,2603934,24672,1,SR,1,100,0.066667
1738258131.105451,2604134,24690,1,SR,1,100,0.066667
1738258131.438466,2604467,24834,1,SR,1,100,0.600000
1738258132.705521,2605734,24992,1,SR,1,100,0.333333
1738258133.172542,2606201,25056,1,SR,1,100,0.266667
1738258133.571559,2606600,25120,1,SR,1,100,0.266667
1738258134.505600,2607534,25279,1,SR,1,100,0.400000
1738258135.305635,2608334,25362,1,SR,1,100,0.066667
1738258135.638649,2608667,25441,1,SR,1,100,0.266667
1738258136.171673,2609200,25524,1,SR,1,100,0.200000
1738258136.504687,2609533,25556,1,SR,1,100,0.133333
1738258137.038711,2610067,25652,1,SR,1,100,0.133333
1738258137.704740,2610733,25747,1,SR,1,100,0.133333
1738258138.104757,2611133,25826,1,SR,1,100,0.200000
1738258138.572778,2611601,25891,1,SR,1,100,0.133333
1738258139.237807,2612266,25987,1,SR,1,100,0.133333
1738258139.504818,2612533,26019,1,SR,1,100,0.066667
1738258139.971839,2613000,26115,1,SR,1,100,0.200000
1738258140.304853,2613333,26164,1,SR,1,100,0.133333
1738258140.704871,2613733,26213,1,SR,1,100,0.066667
1738258141.037885,2614066,26292,1,SR,1,100,0.266667
1738258141.705914,2614734,26390,1,SR,1,100,0.133333
1738258141.971926,2615000,26454,1,SR,1,100,0.266667
1738258142.370944,2615399,26518,1,SR,1,100,0.266667
1738258143.170979,2616199,26631,1,SR,1,100,0.266667
1738258143.705002,2616733,26711,1,SR,1,100,0.200000
1738258144.705045,2617733,26883,1,SR,1,100,0.266667
1738258145.504081,2618532,26981,1,SR,1,100,0.066667
