LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1738263924.351715,188971.000,27649,2,AK,1,100,26771
1738263924.351715,188971.000,27649,2,AK,1,100,RD
1738263926.915315,191534.500,28490,2,AK,1,100,27650
1738263929.478916,194098.000,28490,2,AK,1,100,RD
1738263929.480416,194099.500,28492,2,AK,1,100,27650
1738263929.481916,194101.000,28492,2,AK,1,100,RD
1738263929.494917,194114.000,28495,2,AK,1,100,28493
1738263929.507917,194127.000,28495,2,AK,1,100,RD
1738263932.047017,196666.000,29331,2,AK,1,100,28493
1738263934.586117,199205.000,29331,2,AK,1,100,RD
1738263934.599617,199218.500,29334,2,AK,1,100,29332
1738263934.613118,199232.000,29334,2,AK,1,100,RD
1738263937.169219,201788.000,30183,2,AK,1,100,29332
1738263939.725319,204344.000,30183,2,AK,1,100,RD
1738263942.291920,206910.500,31023,2,AK,1,100,30184
1738263944.858521,209477.000,31023,2,AK,1,100,RD
1738263944.861521,209480.000,31025,2,AK,1,100,30184
1738263944.864521,209483.000,31025,2,AK,1,100,RD
1738263947.431622,212050.000,31872,2,AK,1,100,31026
1738263949.998723,214617.000,31872,2,AK,1,100,RD
1738263950.000223,214618.500,31874,2,AK,1,100,31026
1738263950.001723,214620.000,31874,2,AK,1,100,RD
1738263950.013724,214632.000,31877,2,AK,1,100,31875
1738263950.025724,214644.000,31877,2,AK,1,100,RD
1738263952.566824,217185.000,32719,2,AK,1,100,31875
1738263955.107924,219726.000,32719,2,AK,1,100,RD
1738263955.129925,219748.000,32722,2,AK,1,100,32720
1738263955.151926,219770.000,32722,2,AK,1,100,RD
1738263957.684025,222302.000,33565,2,AK,1,100,32720
1738263960.216125,224834.000,33565,2,AK,1,100,RD
1738263960.229125,224847.000,33568,2,AK,1,100,33566
1738263960.242126,224860.000,33568,2,AK,1,100,RD
1738263962.786726,227404.500,34410,2,AK,1,100,33566
1738263965.331326,229949.000,34410,2,AK,1,100,RD
1738263967.897927,232515.500,35250,2,AK,1,100,34411
1738263970.464528,235082.000,35250,2,AK,1,100,RD
1738263970.466028,235083.500,35252,2,AK,1,100,34411
1738263970.467528,235085.000,35252,2,AK,1,100,RD
1738263970.481028,235098.500,35255,2,AK,1,100,35253
1738263970.494529,235112.000,35255,2,AK,1,100,RD
1738263973.047129,237664.500,36091,2,AK,1,100,35253
1738263975.599730,240217.000,36091,2,AK,1,100,RD
1738263975.613230,240230.500,36094,2,AK,1,100,36092
1738263975.626730,240244.000,36094,2,AK,1,100,RD
1738263978.175331,242792.500,36931,2,AK,1,100,36092
1738263980.723931,245341.000,36931,2,AK,1,100,RD
1738263980.733931,245351.000,36934,2,AK,1,100,36932
1738263980.743932,245361.000,36934,2,AK,1,100,RD
