LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1738263925.281751,189901.000,27818,1,B%,1,100,63
1738263930.281948,194901.000,28646,1,B%,1,100,64
1738263935.281144,199900.000,29470,1,B%,1,100,63
1738263940.281341,204900.000,30286,1,B%,1,100,64
1738263945.280537,209899.000,31112,1,B%,1,100,64
1738263950.280734,214899.000,31948,1,B%,1,100,64
1738263955.279931,219898.000,32774,1,B%,1,100,63
1738263960.280127,224898.000,33587,1,B%,1,100,64
1738263965.279324,229897.000,34408,1,B%,1,100,63
1738263970.279520,234897.000,35232,1,B%,1,100,63
1738263975.278717,239896.000,36057,1,B%,1,100,63
1738263980.278913,244896.000,36862,1,B%,1,100,63
1738263985.278110,249895.000,37685,1,B%,1,100,63
1738263990.278307,254895.000,38508,1,B%,1,100,63
1738263995.277503,259894.000,39330,1,B%,1,100,64
1738264000.277700,264894.000,40138,1,B%,1,100,63
1738264005.276896,269893.000,40964,1,B%,1,100,63
1738264010.277093,274893.000,41787,1,B%,1,100,62
1738264015.276289,279892.000,42601,1,B%,1,100,63
1738264020.276486,284892.000,43429,1,B%,1,100,64
1738264025.275683,289891.000,44253,1,B%,1,100,63
1738264030.275879,294891.000,45059,1,B%,1,100,63
1738264035.275076,299890.000,45885,1,B%,1,100,64
1738264040.275272,304890.000,46718,1,B%,1,100,64
1738264045.274469,309889.000,47549,1,B%,1,100,64
1738264050.274666,314889.000,48357,1,B%,1,100,63
1738264055.273862,319888.000,49182,1,B%,1,100,63
1738264060.274059,324888.000,50004,1,B%,1,100,63
1738264065.273255,329887.000,50828,1,B%,1,100,63
1738264070.273452,334887.000,51651,1,B%,1,100,63
1738264075.272648,339886.000,52456,1,B%,1,100,62
1738264080.272845,344886.000,53281,1,B%,1,100,63
1738264085.272042,349885.000,54108,1,B%,1,100,63
1738264090.272238,354885.000,54931,1,B%,1,100,63
1738264095.271435,359884.000,55758,1,B%,1,100,63
1738264100.271631,364884.000,56561,1,B%,1,100,63
1738264105.270828,369883.000,57384,1,B%,1,100,62
1738264110.271024,374883.000,58206,1,B%,1,100,63
1738264115.270221,379882.000,59034,1,B%,1,100,62
1738264120.270418,384882.000,59846,1,B%,1,100,63
1738264125.269614,389881.000,60670,1,B%,1,100,62
1738264130.269811,394881.000,61498,1,B%,1,100,62
1738264135.269007,399880.000,62328,1,B%,1,100,63
1738264140.269204,404880.000,63150,1,B%,1,100,63
1738264145.268400,409879.000,63959,1,B%,1,100,62
1738264150.268597,414879.000,64785,1,B%,1,100,63
1738264155.267794,419878.000,73,1,B%,1,100,63
1738264160.267990,424878.000,918,1,B%,1,100,63
1738264165.267187,429877.000,1738,1,B%,1,100,63
1738264170.267383,434877.000,2560,1,B%,1,100,62
1738264175.266580,439876.000,3380,1,B%,1,100,63
1738264180.266777,444876.000,4200,1,B%,1,100,63
1738264185.265973,449875.000,5022,1,B%,1,100,63
1738264190.266170,454875.000,5842,1,B%,1,100,63
1738264195.265366,459874.000,6651,1,B%,1,100,63
1738264200.265563,464874.000,7477,1,B%,1,100,62
1738264205.264759,469873.000,8321,1,B%,1,100,63
1738264210.264956,474873.000,9128,1,B%,1,100,62
1738264215.264153,479872.000,9949,1,B%,1,100,62
1738264220.264349,484872.000,10776,1,B%,1,100,62
1738264225.263546,489871.000,11602,1,B%,1,100,62
1738264230.263742,494871.000,12427,1,B%,1,100,63
1738264235.262939,499870.000,13265,1,B%,1,100,62
1738264240.263135,504870.000,14088,1,B%,1,100,62
1738264245.262332,509869.000,14902,1,B%,1,100,62
1738264250.262529,514869.000,15726,1,B%,1,100,62
1738264255.261725,519868.000,16564,1,B%,1,100,62
1738264260.261922,524868.000,17368,1,B%,1,100,62
1738264265.261118,529867.000,18193,1,B%,1,100,61
1738264270.261315,534867.000,19015,1,B%,1,100,62
1738264275.260511,539866.000,19833,1,B%,1,100,63
1738264280.260708,544866.000,20653,1,B%,1,100,62
1738264285.259905,549865.000,21473,1,B%,1,100,63
1738264290.260101,554865.000,22293,1,B%,1,100,61
1738264295.259298,559864.000,23113,1,B%,1,100,62
1738264300.259494,564864.000,23933,1,B%,1,100,62
1738264305.258691,569863.000,24771,1,B%,1,100,61
1738264310.258888,574863.000,25589,1,B%,1,100,62
1738264315.258084,579862.000,26407,1,B%,1,100,61
1738264320.258281,584862.000,27226,1,B%,1,100,62
1738264325.257477,589861.000,28066,1,B%,1,100,62
1738264330.257674,594861.000,28869,1,B%,1,100,61
1738264335.256870,599860.000,29687,1,B%,1,100,62
1738264340.257067,604860.000,30509,1,B%,1,100,62
1738264345.256263,609859.000,31347,1,B%,1,100,62
1738264350.256460,614859.000,32149,1,B%,1,100,62
1738264355.255657,619858.000,32951,1,B%,1,100,61
1738264360.255853,624858.000,33777,1,B%,1,100,62
1738264365.255050,629857.000,34580,1,B%,1,100,62
1738264370.255246,634857.000,35399,1,B%,1,100,61
1738264375.254443,639856.000,36220,1,B%,1,100,61
1738264380.254640,644856.000,37022,1,B%,1,100,61
1738264385.253836,649855.000,37843,1,B%,1,100,61
1738264390.254033,654855.000,38660,1,B%,1,100,61
1738264395.253229,659854.000,39481,1,B%,1,100,61
1738264400.253426,664854.000,40303,1,B%,1,100,61
1738264405.252622,669853.000,41123,1,B%,1,100,61
