LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1738263924.351715,188971.000,27650,2,RD,1,100,TL
1738263924.351715,188971.000,27650,2,RD,1,100,TU
1738263926.916815,191536.000,28493,2,RD,1,100,TL
1738263929.481916,194101.000,28493,2,RD,1,100,TU
1738263932.034517,196653.500,29332,2,RD,1,100,TL
1738263934.587117,199206.000,29332,2,RD,1,100,TU
1738263937.156718,201775.500,30184,2,RD,1,100,TL
1738263939.726319,204345.000,30184,2,RD,1,100,TU
1738263942.295420,206914.000,31026,2,RD,1,100,TL
1738263944.864521,209483.000,31026,2,RD,1,100,TU
1738263947.433122,212051.500,31875,2,RD,1,100,TL
1738263950.001723,214620.000,31875,2,RD,1,100,TU
1738263952.555323,217173.500,32720,2,RD,1,100,TL
1738263955.108924,219727.000,32720,2,RD,1,100,TU
1738263957.663024,222281.000,33566,2,RD,1,100,TL
1738263960.217125,224835.000,33566,2,RD,1,100,TU
1738263962.774725,227392.500,34411,2,RD,1,100,TL
1738263965.332326,229950.000,34411,2,RD,1,100,TU
1738263967.900427,232518.000,35253,2,RD,1,100,TL
1738263970.468528,235086.000,35253,2,RD,1,100,TU
1738263973.034629,237652.000,36092,2,RD,1,100,TL
1738263975.600729,240218.000,36092,2,RD,1,100,TU
1738263978.164330,242781.500,36932,2,RD,1,100,TL
1738263980.727931,245345.000,36932,2,RD,1,100,TU
1738263983.295532,247912.500,37773,2,RD,1,100,TL
1738263985.863133,250480.000,37773,2,RD,1,100,TU
1738263988.426234,253043.000,38610,2,RD,1,100,TL
1738263990.989335,255606.000,38610,2,RD,1,100,TU
1738263993.552935,258169.500,39448,2,RD,1,100,TL
1738263996.116536,260733.000,39448,2,RD,1,100,TU
1738263998.691137,263307.500,40290,2,RD,1,100,TL
1738264001.265738,265882.000,40290,2,RD,1,100,TU
1738264003.826339,268442.500,41134,2,RD,1,100,TL
1738264006.386940,271003.000,41134,2,RD,1,100,TU
1738264008.957541,273573.500,41978,2,RD,1,100,TL
1738264011.528142,276144.000,41978,2,RD,1,100,TU
1738264014.090743,278706.500,42819,2,RD,1,100,TL
1738264016.653344,281269.000,42819,2,RD,1,100,TU
1738264019.219944,283835.500,43668,2,RD,1,100,TL
1738264021.786546,286402.000,43668,2,RD,1,100,TU
1738264024.351646,288967.000,44503,2,RD,1,100,TL
1738264026.916747,291532.000,44503,2,RD,1,100,TU
1738264029.478348,294093.500,45352,2,RD,1,100,TL
1738264032.039948,296655.000,45352,2,RD,1,100,TU
1738264034.610550,299225.500,46193,2,RD,1,100,TL
1738264037.181151,301796.000,46193,2,RD,1,100,TU
1738264039.745752,304360.500,47039,2,RD,1,100,TL
1738264042.310352,306925.000,47039,2,RD,1,100,TU
1738264044.871453,309486.000,47887,2,RD,1,100,TL
1738264047.432554,312047.000,47887,2,RD,1,100,TU
1738264050.000655,314615.000,48727,2,RD,1,100,TL
1738264052.568756,317183.000,48727,2,RD,1,100,TU
1738264055.129856,319744.000,49567,2,RD,1,100,TL
1738264057.690957,322305.000,49567,2,RD,1,100,TU
1738264060.249558,324863.500,50407,2,RD,1,100,TL
1738264062.808158,327422.000,50407,2,RD,1,100,TU
1738264065.367759,329981.500,51246,2,RD,1,100,TL
1738264067.927360,332541.000,51246,2,RD,1,100,TU
1738264070.488960,335102.500,52086,2,RD,1,100,TL
1738264073.050561,337664.000,52086,2,RD,1,100,TU
1738264075.607162,340220.500,52926,2,RD,1,100,TL
1738264078.163762,342777.000,52926,2,RD,1,100,TU
1738264080.729863,345343.000,53769,2,RD,1,100,TL
1738264083.295964,347909.000,53769,2,RD,1,100,TU
1738264085.860065,350473.000,54612,2,RD,1,100,TL
1738264088.424165,353037.000,54612,2,RD,1,100,TU
1738264090.980266,355593.000,55451,2,RD,1,100,TL
1738264093.536366,358149.000,55451,2,RD,1,100,TU
1738264096.097467,360710.000,56292,2,RD,1,100,TL
1738264098.658568,363271.000,56292,2,RD,1,100,TU
1738264101.219168,365831.500,57130,2,RD,1,100,TL
1738264103.779769,368392.000,57130,2,RD,1,100,TU
1738264106.344370,370956.500,57969,2,RD,1,100,TL
1738264108.908971,373521.000,57969,2,RD,1,100,TU
1738264111.471572,376083.500,58810,2,RD,1,100,TL
1738264114.034172,378646.000,58810,2,RD,1,100,TU
1738264116.593773,381205.500,59657,2,RD,1,100,TL
1738264119.153374,383765.000,59657,2,RD,1,100,TU
1738264121.713474,386325.000,60499,2,RD,1,100,TL
1738264124.273575,388885.000,60499,2,RD,1,100,TU
1738264126.833176,391444.500,61345,2,RD,1,100,TL
1738264129.392776,394004.000,61345,2,RD,1,100,TU
1738264131.953377,396564.500,62190,2,RD,1,100,TL
1738264134.513978,399125.000,62190,2,RD,1,100,TU
1738264137.081079,401692.000,63026,2,RD,1,100,TL
1738264139.648180,404259.000,63026,2,RD,1,100,TU
1738264142.212780,406823.500,63870,2,RD,1,100,TL
1738264144.777381,409388.000,63870,2,RD,1,100,TU
1738264147.335982,411946.500,64714,2,RD,1,100,TL
1738264149.894582,414505.000,64714,2,RD,1,100,TU
1738264152.460683,417071.000,20,2,RD,1,100,TL
1738264155.026784,419637.000,20,2,RD,1,100,TU
1738264157.580384,422190.500,864,2,RD,1,100,TL
1738264160.133985,424744.000,864,2,RD,1,100,TU
1738264162.705586,427315.500,1717,2,RD,1,100,TL
1738264165.277187,429887.000,1717,2,RD,1,100,TU
1738264167.831288,432441.000,2563,2,RD,1,100,TL
1738264170.385388,434995.000,2563,2,RD,1,100,TU
1738264172.940488,437550.000,3399,2,RD,1,100,TL
1738264175.495589,440105.000,3399,2,RD,1,100,TU
1738264178.049689,442659.000,4237,2,RD,1,100,TL
1738264180.603790,445213.000,4237,2,RD,1,100,TU
1738264183.157890,447767.000,5074,2,RD,1,100,TL
1738264185.711991,450321.000,5074,2,RD,1,100,TU
1738264188.267591,452876.500,5914,2,RD,1,100,TL
1738264190.823192,455432.000,5914,2,RD,1,100,TU
1738264193.385792,457994.500,6757,2,RD,1,100,TL
1738264195.948393,460557.000,6757,2,RD,1,100,TU
1738264198.500993,463109.500,7599,2,RD,1,100,TL
1738264201.053594,465662.000,7599,2,RD,1,100,TU
1738264203.608194,468216.500,8442,2,RD,1,100,TL
1738264206.162795,470771.000,8442,2,RD,1,100,TU
1738264208.716895,473325.000,9279,2,RD,1,100,TL
1738264211.270996,475879.000,9279,2,RD,1,100,TU
1738264213.827096,478435.000,10119,2,RD,1,100,TL
1738264216.383197,480991.000,10119,2,RD,1,100,TU
1738264218.938297,483546.000,10962,2,RD,1,100,TL
1738264221.493397,486101.000,10962,2,RD,1,100,TU
1738264224.046998,488654.500,11805,2,RD,1,100,TL
1738264226.600598,491208.000,11805,2,RD,1,100,TU
1738264229.166699,493774.000,12665,2,RD,1,100,TL
1738264231.732800,496340.000,12665,2,RD,1,100,TU
1738264234.287400,498894.500,13501,2,RD,1,100,TL
1738264236.842001,501449.000,13501,2,RD,1,100,TU
1738264239.395101,504002.000,14346,2,RD,1,100,TL
1738264241.948202,506555.000,14346,2,RD,1,100,TU
1738264244.504302,509111.000,15188,2,RD,1,100,TL
1738264247.060403,511667.000,15188,2,RD,1,100,TU
1738264249.614003,514220.500,16030,2,RD,1,100,TL
1738264252.167603,516774.000,16030,2,RD,1,100,TU
1738264254.722204,519328.500,16865,2,RD,1,100,TL
1738264257.276804,521883.000,16865,2,RD,1,100,TU
1738264259.830405,524436.500,17706,2,RD,1,100,TL
1738264262.384005,526990.000,17706,2,RD,1,100,TU
1738264264.937606,529543.500,18546,2,RD,1,100,TL
1738264267.491206,532097.000,18546,2,RD,1,100,TU
1738264270.048806,534654.500,19383,2,RD,1,100,TL
1738264272.606407,537212.000,19383,2,RD,1,100,TU
1738264275.159508,539765.000,20218,2,RD,1,100,TL
1738264277.712608,542318.000,20218,2,RD,1,100,TU
1738264280.267208,544872.500,21054,2,RD,1,100,TL
1738264282.821809,547427.000,21054,2,RD,1,100,TU
1738264285.375909,549981.000,21892,2,RD,1,100,TL
1738264287.930010,552535.000,21892,2,RD,1,100,TU
1738264290.497111,555102.000,22746,2,RD,1,100,TL
1738264293.064211,557669.000,22746,2,RD,1,100,TU
1738264295.620312,560225.000,23581,2,RD,1,100,TL
1738264298.176412,562781.000,23581,2,RD,1,100,TU
1738264300.730513,565335.000,24417,2,RD,1,100,TL
1738264303.284613,567889.000,24417,2,RD,1,100,TU
1738264305.850214,570454.500,25271,2,RD,1,100,TL
1738264308.415815,573020.000,25271,2,RD,1,100,TU
1738264310.970416,575574.500,26106,2,RD,1,100,TL
1738264313.525016,578129.000,26106,2,RD,1,100,TU
1738264316.078116,580682.000,26941,2,RD,1,100,TL
1738264318.631217,583235.000,26941,2,RD,1,100,TU
1738264321.199318,585803.000,27793,2,RD,1,100,TL
1738264323.767419,588371.000,27793,2,RD,1,100,TU
1738264326.321519,590925.000,28633,2,RD,1,100,TL
1738264328.875619,593479.000,28633,2,RD,1,100,TU
1738264331.432220,596035.500,29468,2,RD,1,100,TL
