LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1738263924.303713,188923.000,27647,1,MZ,1,100,-14
1738263924.343714,188963.000,27666,3,MZ,1,100,-14
1738263924.383716,189003.000,27666,3,MZ,1,100,-13
1738263924.423717,189043.000,27666,3,MZ,1,100,-13
1738263924.463719,189083.000,27683,3,MZ,1,100,-14
1738263924.503721,189123.000,27683,3,MZ,1,100,-13
1738263924.543722,189163.000,27683,3,MZ,1,100,-14
1738263924.584224,189203.500,27700,2,MZ,1,100,-13
1738263924.624725,189244.000,27700,2,MZ,1,100,-13
1738263924.664393,189283.667,27716,3,MZ,1,100,-13
1738263924.704062,189323.333,27716,3,MZ,1,100,-13
1738263924.743730,189363.000,27716,3,MZ,1,100,-14
1738263924.783731,189403.000,27732,2,MZ,1,100,-14
1738263924.823733,189443.000,27732,2,MZ,1,100,-12
1738263924.868402,189487.667,27749,3,MZ,1,100,-14
1738263924.913070,189532.333,27749,3,MZ,1,100,-14
1738263924.957738,189577.000,27749,3,MZ,1,100,-13
1738263924.997740,189617.000,27766,2,MZ,1,100,-13
1738263925.037741,189657.000,27766,2,MZ,1,100,-14
1738263925.077743,189697.000,27782,3,MZ,1,100,-13
1738263925.117745,189737.000,27782,3,MZ,1,100,-13
1738263925.157746,189777.000,27782,3,MZ,1,100,-13
1738263925.197748,189817.000,27798,2,MZ,1,100,-13
1738263925.237749,189857.000,27798,2,MZ,1,100,-13
1738263925.277751,189897.000,27816,3,MZ,1,100,-12
1738263925.317753,189937.000,27816,3,MZ,1,100,-13
1738263925.357754,189977.000,27816,3,MZ,1,100,-13
1738263925.397756,190017.000,27834,2,MZ,1,100,-13
1738263925.437757,190057.000,27834,2,MZ,1,100,-14
1738263925.477425,190096.667,27850,3,MZ,1,100,-13
1738263925.517094,190136.333,27850,3,MZ,1,100,-13
1738263925.556762,190176.000,27850,3,MZ,1,100,-13
1738263925.596763,190216.000,27867,2,MZ,1,100,-14
1738263925.636765,190256.000,27867,2,MZ,1,100,-14
1738263925.676767,190296.000,27884,3,MZ,1,100,-13
1738263925.716768,190336.000,27884,3,MZ,1,100,-13
