LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1738263928.458376,193077.500,28340,4,EM,1,100,RB
1738263928.512628,193131.750,28340,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263928.566880,193186.000,28340,4,EM,1,100,PS
1738263928.616882,193236.000,28373,4,EM,1,100,RS
1738263928.666884,193286.000,28373,4,EM,1,100,RB
1738263928.716886,193336.000,28373,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263928.766888,193386.000,28373,4,EM,1,100,PS
1738263928.819640,193438.750,28406,4,EM,1,100,RS
1738263928.872392,193491.500,28406,4,EM,1,100,RB
1738263928.925144,193544.250,28406,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263928.977896,193597.000,28406,4,EM,1,100,PS
1738263929.028148,193647.250,28439,4,EM,1,100,RS
1738263929.078400,193697.500,28439,4,EM,1,100,RB
1738263929.128652,193747.750,28439,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263929.178904,193798.000,28439,4,EM,1,100,PS
1738263929.229156,193848.250,28473,4,EM,1,100,RS
1738263929.279408,193898.500,28473,4,EM,1,100,RB
1738263929.329660,193948.750,28473,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263929.379912,193999.000,28473,4,EM,1,100,PS
1738263929.430914,194050.000,28512,4,EM,1,100,RS
1738263929.481916,194101.000,28512,4,EM,1,100,RB
1738263929.532918,194152.000,28512,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263929.583920,194203.000,28512,4,EM,1,100,PS
1738263929.634172,194253.250,28546,4,EM,1,100,RS
1738263929.684424,194303.500,28546,4,EM,1,100,RB
1738263929.734676,194353.750,28546,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263929.784928,194404.000,28546,4,EM,1,100,PS
1738263929.835180,194454.250,28578,4,EM,1,100,RS
1738263929.885432,194504.500,28578,4,EM,1,100,RB
1738263929.935684,194554.750,28578,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263929.985936,194605.000,28578,4,EM,1,100,PS
1738263930.036188,194655.250,28612,4,EM,1,100,RS
1738263930.086440,194705.500,28612,4,EM,1,100,RB
1738263930.136692,194755.750,28612,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263930.186944,194806.000,28612,4,EM,1,100,PS
1738263930.237196,194856.250,28647,4,EM,1,100,RS
1738263930.287448,194906.500,28647,4,EM,1,100,RB
1738263930.337700,194956.750,28647,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263930.387952,195007.000,28647,4,EM,1,100,PS
1738263930.438204,195057.250,28680,4,EM,1,100,RS
1738263930.488456,195107.500,28680,4,EM,1,100,RB
1738263930.538708,195157.750,28680,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263930.588960,195208.000,28680,4,EM,1,100,PS
1738263930.639212,195258.250,28713,4,EM,1,100,RS
1738263930.689464,195308.500,28713,4,EM,1,100,RB
1738263930.739716,195358.750,28713,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263930.789968,195409.000,28713,4,EM,1,100,PS
1738263930.843220,195462.250,28746,4,EM,1,100,RS
