RD,TS_received,TS_sent,AK,RoundTrip,
649721,649773,2025-01-30_11-12-23-599227,649774,52,
654839,659962,2025-01-30_11-12-28-707294,659963,5123,
659966,665095,2025-01-30_11-12-33-842380,665097,5129,
665099,670218,2025-01-30_11-12-39-027264,670219,5119,
670227,675343,2025-01-30_11-12-44-084836,675344,5116,
675349,675390,2025-01-30_11-12-49-219376,675391,41,
680476,685601,2025-01-30_11-12-54-356375,685602,5125,
685605,690742,2025-01-30_11-12-59-543852,690744,5137,
690747,695874,2025-01-30_11-13-04-736924,695875,5127,
695880,695902,2025-01-30_11-13-09-728073,695903,22,
701002,706121,2025-01-30_11-13-14-945541,706122,5119,
706128,711260,2025-01-30_11-13-20-070297,711262,5132,
711266,716386,2025-01-30_11-13-25-116200,716387,5120,
716394,716406,2025-01-30_11-13-30-238870,716408,12,
721517,726639,2025-01-30_11-13-35-476701,726640,5122,
726647,726680,2025-01-30_11-13-40-508792,726685,33,
731758,731858,2025-01-30_11-13-45-686911,731859,100,
736876,736898,2025-01-30_11-13-50-729389,736899,22,
741984,742084,2025-01-30_11-13-55-899361,742085,100,
747102,752248,2025-01-30_11-14-00-995029,752249,5146,
752256,752276,2025-01-30_11-14-06-107731,752277,20,
757375,757429,2025-01-30_11-14-11-264077,757430,54,
762503,762575,2025-01-30_11-14-16-408336,762576,72,
767622,767666,2025-01-30_11-14-21-499286,767668,44,
772754,772792,2025-01-30_11-14-26-628406,772793,38,
777898,777913,2025-01-30_11-14-31-748399,777914,15,
783021,783082,2025-01-30_11-14-36-916086,783083,61,
788147,788160,2025-01-30_11-14-41-996036,788161,13,
793265,793285,2025-01-30_11-14-47-120732,793286,20,
798379,798393,2025-01-30_11-14-52-231306,798398,14,
803510,808635,2025-01-30_11-14-57-417176,808638,5125,
808641,808693,2025-01-30_11-15-02-526927,808694,52,
813756,813771,2025-01-30_11-15-07-608504,813773,15,
818884,818902,2025-01-30_11-15-12-737528,818903,18,
824009,824082,2025-01-30_11-15-17-909654,824083,73,
829117,829175,2025-01-30_11-15-22-999728,829176,58,
834225,834288,2025-01-30_11-15-28-114905,834290,63,
839334,839354,2025-01-30_11-15-33-186476,839355,20,
844441,849561,2025-01-30_11-15-38-295891,849566,5120,
849569,849651,2025-01-30_11-15-43-485415,849652,82,
854677,854704,2025-01-30_11-15-48-543070,854705,27,
859785,859805,2025-01-30_11-15-53-639133,859806,20,
864920,864941,2025-01-30_11-15-58-778217,864942,21,
870031,870079,2025-01-30_11-16-03-914712,870084,48,
875139,875158,2025-01-30_11-16-08-998251,875160,19,
880278,880297,2025-01-30_11-16-14-135062,880298,19,
885390,885409,2025-01-30_11-16-19-243869,885410,19,
890497,890602,2025-01-30_11-16-24-420589,895618,105,
895621,895697,2025-01-30_11-16-29-501946,895698,76,
900727,900747,2025-01-30_11-16-34-584714,900748,20,
905835,905855,2025-01-30_11-16-39-694538,905856,20,
910978,911054,2025-01-30_11-16-44-848609,911055,76,
916085,916101,2025-01-30_11-16-49-942151,916106,16,
921193,921212,2025-01-30_11-16-55-052669,921213,19,
926332,926351,2025-01-30_11-17-00-191042,926352,19,
931440,931456,2025-01-30_11-17-05-299155,931457,16,
936548,941667,2025-01-30_11-17-10-472243,941669,5119,
941671,941730,2025-01-30_11-17-15-569753,941731,59,
946777,946797,2025-01-30_11-17-20-638061,946798,20,
951887,951916,2025-01-30_11-17-25-749865,951917,29,
956996,957063,2025-01-30_11-17-30-905654,957065,67,
962105,962120,2025-01-30_11-17-35-963689,962121,15,
967212,967234,2025-01-30_11-17-41-074773,967235,22,
972354,972407,2025-01-30_11-17-46-248803,972408,53,
977461,977499,2025-01-30_11-17-51-320016,977500,38,
982570,987688,2025-01-30_11-17-56-547085,987690,5118,
987692,992818,2025-01-30_11-18-01-652388,992820,5126,
992823,992861,2025-01-30_11-18-06-703996,992862,38,
997928,997947,2025-01-30_11-18-11-786431,997951,19,
1003036,1003110,2025-01-30_11-18-16-945272,1003112,74,
1008143,1008156,2025-01-30_11-18-22-001989,1008158,13,
1013251,1013278,2025-01-30_11-18-27-120041,1013282,27,
1018364,1018381,2025-01-30_11-18-32-224439,1018383,17,
1023497,1028618,2025-01-30_11-18-37-513641,1028619,5121,
1028622,1033741,2025-01-30_11-18-42-681436,1033742,5119,
1033751,1033788,2025-01-30_11-18-47-630402,1033789,37,
1038873,1038894,2025-01-30_11-18-52-735693,1038895,21,
1044009,1044112,2025-01-30_11-18-57-917649,1044113,103,
1049149,1049172,2025-01-30_11-19-03-012415,1049174,23,
1054283,1054323,2025-01-30_11-19-08-165480,1054324,40,
1059411,1059429,2025-01-30_11-19-13-273007,1059431,18,
1064540,1069663,2025-01-30_11-19-18-508254,1069665,5123,
1069668,1074788,2025-01-30_11-19-23-568100,1074789,5120,
1074792,1074878,2025-01-30_11-19-28-722367,1074880,86,
1079908,1079922,2025-01-30_11-19-33-770665,1079924,14,
1085017,1085056,2025-01-30_11-19-38-903801,1085057,39,
1090149,1090168,2025-01-30_11-19-44-010107,1090170,19,
1095261,1095278,2025-01-30_11-19-49-125719,1095279,17,
1100399,1100416,2025-01-30_11-19-54-262459,1100421,17,
1105527,1110655,2025-01-30_11-19-59-530838,1110659,5128,
1110662,1110686,2025-01-30_11-20-04-531147,1110687,24,
1115793,1115823,2025-01-30_11-20-09-669152,1115824,30,
1120921,1120938,2025-01-30_11-20-14-788050,1120940,17,
1126048,1126097,2025-01-30_11-20-19-940587,1126098,49,
1131169,1131211,2025-01-30_11-20-25-057500,1131212,42,
1136292,1136338,2025-01-30_11-20-30-188221,1136339,46,
1141412,1141443,2025-01-30_11-20-35-289000,1141445,31,
1146541,1151690,2025-01-30_11-20-40-449155,1151691,5149,
1151697,1151724,2025-01-30_11-20-45-571675,1151725,27,
1156830,1156845,2025-01-30_11-20-50-695400,1156846,15,
1161948,1161962,2025-01-30_11-20-55-812789,1161963,14,
1167074,1167088,2025-01-30_11-21-00-939505,1167089,14,
1172188,1172218,2025-01-30_11-21-06-067370,1172219,30,
1177308,1177324,2025-01-30_11-21-11-174951,1177325,16,
1182441,1182455,2025-01-30_11-21-16-307361,1182456,14,
1187564,1192706,2025-01-30_11-21-21-465334,1192707,5142,
1192710,1192763,2025-01-30_11-21-26-614388,1192764,53,
1197840,1197896,2025-01-30_11-21-31-735331,1197897,56,
1202957,1203029,2025-01-30_11-21-36-868131,1203031,72,
1208083,1208098,2025-01-30_11-21-41-951612,1208103,15,
1213216,1213229,2025-01-30_11-21-47-082918,1213230,13,
1218324,1218337,2025-01-30_11-21-52-191996,1218342,13,
1223453,1223488,2025-01-30_11-21-57-320905,1223489,35,
1228560,1233681,2025-01-30_11-22-02-500125,1233683,5121,
1233689,1233729,2025-01-30_11-22-07-583223,1233731,40,
1238794,1238825,2025-01-30_11-22-12-679351,1238826,31,
1243902,1243921,2025-01-30_11-22-17-775579,1243926,19,
1249040,1249060,2025-01-30_11-22-22-911185,1249061,20,
1254147,1254166,2025-01-30_11-22-28-018297,1254167,19,
1259260,1259276,2025-01-30_11-22-33-131612,1259277,16,
1264396,1269527,2025-01-30_11-22-38-326371,1269528,5131,
1269531,1274648,2025-01-30_11-22-43-509053,1274649,5117,
1274652,1274683,2025-01-30_11-22-48-528984,1274684,31,
1279757,1279776,2025-01-30_11-22-53-629555,1279777,19,
1284895,1284942,2025-01-30_11-22-58-764722,1284943,47,
1290003,1290063,2025-01-30_11-23-03-903952,1290068,60,
1295110,1295164,2025-01-30_11-23-08-998119,1295179,54,
1300219,1300233,2025-01-30_11-23-14-090150,1300234,14,
1305328,1305374,2025-01-30_11-23-19-200168,1305375,46,
1310441,1310546,2025-01-30_11-23-24-315443,1315568,105,
1315575,1315652,2025-01-30_11-23-29-505580,1315653,77,
1320683,1320706,2025-01-30_11-23-34-557507,1320707,23,
1325792,1325811,2025-01-30_11-23-39-665614,1325812,19,
1330899,1330922,2025-01-30_11-23-44-775791,1330923,23,
1336040,1336110,2025-01-30_11-23-49-968004,1336112,70,
1341149,1341164,2025-01-30_11-23-55-022272,1341165,15,
1346255,1346268,2025-01-30_11-24-00-126856,1346269,13,
1351397,1351423,2025-01-30_11-24-05-277348,1351424,26,
1356504,1361625,2025-01-30_11-24-10-445177,1361626,5121,
1361629,1366762,2025-01-30_11-24-15-569110,1366767,5133,
1366770,1366807,2025-01-30_11-24-20-663784,1366808,37,
1371875,1371891,2025-01-30_11-24-25-749131,1371892,16,
1376982,1382101,2025-01-30_11-24-30-963102,1382103,5119,
1382106,1382147,2025-01-30_11-24-35-998447,1382148,41,
1387211,1387226,2025-01-30_11-24-41-086236,1387227,15,
1392318,1392359,2025-01-30_11-24-46-219082,1392360,41,
1397427,1397448,2025-01-30_11-24-51-308230,1397449,21,
1402568,1402631,2025-01-30_11-24-56-480660,1402632,63,
1407678,1407697,2025-01-30_11-25-01-553874,1407699,19,
1412790,1412831,2025-01-30_11-25-06-693631,1412833,41,
1417898,1417913,2025-01-30_11-25-11-774137,1417914,15,
1423017,1428143,2025-01-30_11-25-16-946878,1428148,5126,
1428151,1428189,2025-01-30_11-25-22-048353,1428191,38,
1433272,1433286,2025-01-30_11-25-27-149002,1433288,14,
1438392,1438433,2025-01-30_11-25-32-270060,1438434,41,
1443515,1443587,2025-01-30_11-25-37-437615,1443588,72,
1448639,1448656,2025-01-30_11-25-42-515613,1448657,17,
1453761,1453781,2025-01-30_11-25-47-642089,1453785,20,
1458882,1458918,2025-01-30_11-25-52-775650,1458919,36,
1464003,1464100,2025-01-30_11-25-57-957960,1464104,97,
1469132,1469148,2025-01-30_11-26-03-011666,1469149,16,
1474265,1474283,2025-01-30_11-26-08-144943,1474284,18,
1479389,1479404,2025-01-30_11-26-13-269158,1479409,15,
1484519,1489654,2025-01-30_11-26-18-473595,1489655,5135,
1489663,1489708,2025-01-30_11-26-23-541300,1489709,45,
1494788,1494808,2025-01-30_11-26-28-670538,1494809,20,
1499919,1505038,2025-01-30_11-26-33-800478,1505039,5119,
1505042,1505062,2025-01-30_11-26-38-927850,1505063,20,
1510180,1510219,2025-01-30_11-26-44-074820,1510220,39,
1515294,1515329,2025-01-30_11-26-49-193732,1515331,35,
1520423,1520441,2025-01-30_11-26-54-303411,1520446,18,
1525541,1530658,2025-01-30_11-26-59-438583,1530660,5117,
1530663,1535784,2025-01-30_11-27-04-617365,1535785,5121,
1535792,1535884,2025-01-30_11-27-09-706323,1535885,92,
1540918,1546056,2025-01-30_11-27-14-905886,1546057,5138,
1546061,1551185,2025-01-30_11-27-20-017713,1551190,5124,
1551194,1551265,2025-01-30_11-27-25-109563,1551270,71,
1556310,1556336,2025-01-30_11-27-30-200933,1556337,26,
1561445,1561460,2025-01-30_11-27-35-326745,1561461,15,
1566569,1571703,2025-01-30_11-27-40-548321,1571707,5134,
1571712,1571729,2025-01-30_11-27-45-594815,1571734,17,
1576817,1576878,2025-01-30_11-27-50-741199,1576880,61,
1581946,1581988,2025-01-30_11-27-55-831241,1581989,42,
1587080,1592199,2025-01-30_11-28-01-115635,1592200,5119,
1592204,1592239,2025-01-30_11-28-06-094686,1592240,35,
1597333,1597363,2025-01-30_11-28-11-226785,1597365,30,
1602452,1607589,2025-01-30_11-28-16-467902,1607590,5137,
1607596,1607616,2025-01-30_11-28-21-483588,1607618,20,
1612731,1612746,2025-01-30_11-28-26-614082,1612747,15,
1617857,1617878,2025-01-30_11-28-31-746613,1617879,21,
1622964,1628083,2025-01-30_11-28-36-942299,1628088,5119,
1628091,1628182,2025-01-30_11-28-42-041665,1628185,91,
1633198,1638346,2025-01-30_11-28-47-165115,1638347,5148,
1638354,1638382,2025-01-30_11-28-52-247085,1638383,28,
1643455,1643556,2025-01-30_11-28-57-401675,1643557,101,
1648573,1648607,2025-01-30_11-29-02-476644,1648608,34,
1653685,1653707,2025-01-30_11-29-07-573652,1653708,22,
1658793,1658818,2025-01-30_11-29-12-684875,1658819,25,
1663901,1663920,2025-01-30_11-29-17-788740,1663925,19,
1669008,1674125,2025-01-30_11-29-22-975492,1674126,5117,
1674129,1674150,2025-01-30_11-29-28-018568,1674151,21,
