LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1738260743.487113,649651.000,37276,1,GY,1,100,11.230
1738260743.527114,649691.000,37300,4,GY,1,100,20.844
1738260743.567116,649731.000,37300,4,GY,1,100,17.548
1738260743.607118,649771.000,37300,4,GY,1,100,-5.920
1738260743.647119,649811.000,37300,4,GY,1,100,-15.320
1738260743.687121,649851.000,37317,2,GY,1,100,-15.259
1738260743.727123,649891.000,37317,2,GY,1,100,-19.043
1738260743.767124,649931.000,37333,3,GY,1,100,-15.717
1738260743.807126,649971.000,37333,3,GY,1,100,-5.890
1738260743.847127,650011.000,37333,3,GY,1,100,-0.671
1738260743.887129,650051.000,37349,2,GY,1,100,15.869
1738260743.927131,650091.000,37349,2,GY,1,100,8.453
1738260743.967132,650131.000,37366,3,GY,1,100,-8.179
1738260744.007134,650171.000,37366,3,GY,1,100,-7.660
1738260744.047136,650211.000,37366,3,GY,1,100,-4.211
1738260744.087137,650251.000,37383,2,GY,1,100,-2.380
1738260744.127139,650291.000,37383,2,GY,1,100,-1.770
1738260744.167141,650331.000,37399,3,GY,1,100,-4.150
1738260744.207142,650371.000,37399,3,GY,1,100,-3.662
1738260744.247144,650411.000,37399,3,GY,1,100,-2.625
1738260744.287146,650451.000,37416,3,GY,1,100,-3.082
1738260744.327147,650491.000,37416,3,GY,1,100,-2.014
1738260744.367149,650531.000,37416,3,GY,1,100,-1.587
1738260744.407151,650571.000,37432,2,GY,1,100,-1.648
1738260744.447152,650611.000,37432,2,GY,1,100,0.275
1738260744.487154,650651.000,37449,3,GY,1,100,0.793
1738260744.527156,650691.000,37449,3,GY,1,100,0.397
1738260744.567157,650731.000,37449,3,GY,1,100,-0.671
1738260744.607159,650771.000,37466,2,GY,1,100,-0.214
1738260744.647161,650811.000,37466,2,GY,1,100,0.885
1738260744.687162,650851.000,37482,3,GY,1,100,-0.214
1738260744.727164,650891.000,37482,3,GY,1,100,0.244
1738260744.767165,650931.000,37482,3,GY,1,100,1.404
1738260744.807167,650971.000,37498,2,GY,1,100,0.244
1738260744.847169,651011.000,37498,2,GY,1,100,-0.244
1738260744.887170,651051.000,37515,3,GY,1,100,0.946
1738260744.927172,651091.000,37515,3,GY,1,100,6.714
1738260744.967174,651131.000,37515,3,GY,1,100,17.426
1738260745.007175,651171.000,37532,2,GY,1,100,23.712
1738260745.047177,651211.000,37532,2,GY,1,100,23.468
1738260745.087179,651251.000,37548,3,GY,1,100,28.473
1738260745.127180,651291.000,37548,3,GY,1,100,28.534
1738260745.167182,651331.000,37548,3,GY,1,100,24.872
1738260745.207184,651371.000,37564,2,GY,1,100,24.475
1738260745.247185,651411.000,37564,2,GY,1,100,28.290
1738260745.287187,651451.000,37582,3,GY,1,100,32.135
1738260745.327188,651491.000,37582,3,GY,1,100,34.485
1738260745.367190,651531.000,37582,3,GY,1,100,25.909
