Timestamp,BI
1738260826.07672,835.5
1738260826.86206,835.5
1738260827.42858,676
1738260827.78041,578.5
1738260828.21828,578.5
1738260828.75897,578.5
1738260829.18075,578.5
1738260829.77108,578.5
1738260831.19693,565.5
1738260832.26058,565.5
1738260832.8525,591
1738260833.52739,602.5
1738260833.84451,602.5
1738260834.25726,602.5
1738260834.89999,602.5
1738260835.51291,602.5
1738260836.10314,601.5
1738260836.62796,575
1738260837.52854,575
1738260838.29743,575
1738260838.85735,544
1738260839.38567,526.5
1738260839.86182,526.5
1738260840.24647,544
1738260840.67346,544
1738260840.9847,502
1738260841.98185,502
1738260842.58465,539.5
1738260843.25023,573
1738260843.68392,573
1738260845.00458,634.5
1738260845.80614,634.5
1738260846.34914,573
1738260846.73948,540
1738260847.70002,540
1738260848.23717,573.5
1738260848.66866,540
1738260849.04047,540
1738260849.64477,570.5
1738260850.74463,615
1738260851.10876,570.5
1738260851.73458,615
1738260852.81123,687.5
1738260853.56066,764
1738260853.86767,764
1738260855.40619,687.5
1738260856.83434,687.5
1738260857.61383,635
1738260858.13494,635
1738260858.52164,650
1738260858.90208,650
1738260859.37657,514
1738260860.63886,514
1738260861.6986,503
1738260862.19735,503
1738260862.70437,595
1738260863.43217,705.5
1738260863.77919,705.5
1738260864.46175,705.5
1738260865.68149,705.5
1738260866.92501,705.5
1738260867.38405,705.5
1738260868.38191,840.5
1738260869.5755,1096
1738260870.15934,1096
1738260870.59325,858
1738260872.22425,670
1738260873.48768,670
1738260874.20579,603
1738260874.69253,578.5
1738260875.31496,597.5
1738260875.88748,597.5
1738260876.4256,588.5
1738260876.76362,588.5
1738260877.58238,588.5
1738260878.10786,588.5
1738260878.71215,584
1738260879.94466,599.5
1738260880.99988,599.5
1738260881.52636,711.5
1738260882.12102,599.5
1738260882.96787,611.5
1738260883.5059,607
1738260884.35784,607
1738260884.92223,607
1738260885.54171,607
1738260885.89199,711
1738260886.88122,591.5
1738260887.73974,711
1738260888.08775,591.5
1738260888.89034,702
1738260889.28093,794
1738260890.32927,794
1738260890.65449,773.5
1738260891.43932,749
1738260892.24664,749
1738260893.00911,722.5
1738260893.74532,722.5
1738260894.45471,719
1738260894.78727,719
1738260895.42305,719
1738260895.7621,672.5
1738260896.49143,672.5
1738260896.83565,672.5
1738260897.56881,624.5
1738260898.18183,682.5
1738260899.22588,731
1738260899.99758,731
1738260900.37693,673
1738260901.16042,688.5
1738260901.89886,628.5
1738260902.22794,628.5
1738260902.76402,586
1738260903.40842,576
1738260904.02119,603
1738260904.36836,603
1738260904.92742,576
1738260905.5201,576
1738260906.16293,592.5
1738260907.08187,575.5
1738260907.46148,475
1738260907.7895,475
1738260908.38152,385.5
1738260908.77227,385.5
1738260909.12051,385.5
1738260909.43697,385.5
1738260909.78532,369.5
1738260910.1761,391
1738260911.27464,391
1738260912.04498,369.5
1738260912.36463,580.5
1738260913.62947,728.5
1738260914.63427,728.5
1738260914.9595,778.5
1738260915.79393,732
1738260916.48053,701
1738260917.09365,701
1738260917.88032,690.5
1738260918.57434,690.5
1738260919.28217,701
1738260919.72748,701
1738260920.09259,701
1738260920.92994,701
1738260921.68947,665
1738260922.67251,672
1738260923.30834,677.5
1738260923.74026,677.5
1738260924.30467,677.5
1738260925.59904,668.5
1738260926.318,600
1738260926.68728,598
1738260927.19243,534.5
1738260927.893,598
1738260928.22274,666.5
1738260928.85522,587.5
1738260929.19142,524
1738260930.00445,587.5
1738260930.79105,587.5
1738260931.33423,587.5
1738260931.68659,634
1738260932.32782,638.5
1738260932.85071,714
1738260933.48678,638.5
1738260934.31927,589.5
1738260935.20783,638.5
1738260936.15607,638.5
1738260936.51328,704.5
1738260936.9877,802.5
1738260937.76094,802.5
1738260938.12379,623.5
1738260939.1952,623.5
1738260940.27284,523
1738260940.61253,672.5
1738260940.9396,672.5
1738260941.7283,592.5
1738260942.30055,592.5
1738260943.24147,571
1738260943.62328,503
1738260944.2366,571
1738260944.67262,571
1738260945.24285,571
1738260945.65065,503
1738260946.43549,503
1738260946.82906,573
1738260947.75455,553.5
1738260948.12966,573
1738260948.70592,556.5
1738260949.28861,579.5
1738260949.82597,579.5
1738260950.53085,579.5
1738260950.92308,556.5
1738260951.57891,579.5
1738260952.88826,619.5
1738260953.19959,613
1738260953.58579,613
1738260954.29973,613
1738260955.27486,685
1738260955.84508,730.5
1738260956.41557,642
1738260957.16294,642
1738260958.36749,642
1738260959.15902,570
1738260959.54731,517
1738260959.94105,429
1738260960.3204,429
1738260960.65842,429
1738260961.1223,407.5
1738260961.50245,407.5
1738260962.39926,407.5
1738260963.05538,442.5
1738260963.47687,490
1738260963.99302,490
1738260964.31751,468.5
1738260965.19427,553.5
1738260965.78529,553.5
1738260966.10209,490
1738260966.44105,553.5
1738260967.06275,527.5
1738260967.66597,597
1738260968.12979,527.5
1738260969.36984,533.5
1738260969.69226,612.5
1738260970.93714,612.5
1738260971.32982,544
1738260972.23623,695.5
1738260973.23971,703.5
1738260973.71496,703.5
1738260974.19991,812.5
1738260975.21296,610
1738260975.7137,662
1738260976.63044,662
1738260977.34917,553
1738260977.70879,580.5
1738260978.31427,580.5
1738260979.72637,580.5
1738260980.0577,580.5
1738260980.6138,580.5
1738260980.93752,546.5
1738260981.88378,580.5
1738260982.27164,546.5
1738260982.90533,490
1738260983.44275,546.5
1738260984.18405,490
1738260984.51027,585.5
1738260984.95309,490
1738260985.74666,585.5
1738260986.08347,490
1738260986.97917,569.5
1738260987.30546,569.5
1738260988.34043,569.5
1738260988.73364,745
1738260989.42927,633
1738260990.2379,633
1738260990.64959,633
1738260991.63103,633
1738260992.20058,633
1738260992.64686,658
1738260993.48874,595
1738260993.80545,595
1738260994.58057,697.5
1738260995.20041,697.5
1738260995.52889,697.5
1738260996.40836,808.5
1738260997.74943,827
1738260998.72806,827
1738260999.28938,749.5
1738261000.37222,767
1738261001.46095,929
1738261001.78696,848
1738261002.10746,686
1738261002.76252,686
1738261003.77459,686
1738261004.49117,686
1738261004.79807,518
1738261005.52227,686
1738261005.83884,720.5
1738261006.59731,720.5
1738261006.9785,691.5
1738261008.27685,523.5
1738261009.34564,583
1738261009.70244,583
1738261010.36841,712
1738261010.7237,811.5
1738261011.22327,897.5
1738261014.77198,883
1738261015.96677,883
1738261016.92332,883
1738261017.76164,883
1738261018.68981,942.5
1738261023.09411,942.5
1738261023.76151,942.5
1738261024.42926,942.5
1738261025.76511,1009.5
1738261029.35747,1009.5
1738261061.22957,1118
1738261070.2957,901
1738261071.44066,1111
1738261071.74767,1111
1738261073.05842,1007.5
1738261073.38438,1111
1738261074.51545,1007.5
1738261074.84213,875.5
1738261075.76566,609.5
1738261077.12426,875.5
1738261077.48909,609.5
1738261078.31594,875.5
1738261078.70746,775.5
1738261079.64773,775.5
1738261080.03238,656
1738261081.17188,596
1738261081.89542,664
1738261082.48302,633.5
1738261082.85653,633.5
1738261083.46088,599
1738261085.36923,633.5
1738261086.03272,599
1738261086.56892,598.5
1738261087.16249,598.5
1738261088.45666,598.5
1738261088.97002,566.5
1738261089.57341,537.5
1738261089.93342,537.5
1738261090.47204,526
1738261090.9421,526
1738261091.28702,526
1738261092.28772,560
1738261092.61353,560
1738261093.76725,696
1738261094.57841,697.5
1738261095.15964,697.5
1738261096.36723,697.5
1738261097.17918,584
1738261097.76302,697.5
1738261098.34722,584
1738261098.82046,584
