LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1738260743.550115,649714.000,37281,1,TL,1,100,2025-01-30_11-12-18-486470
1738260743.555115,649719.000,37283,1,TL,1,100,2025-01-30_11-12-18-588248
1738260743.609118,649773.000,37286,1,TL,1,100,2025-01-30_11-12-23-599227
1738260748.669327,654833.000,38126,1,TL,1,100,2025-01-30_11-12-23-691788
1738260753.798538,659962.000,38965,1,TL,1,100,2025-01-30_11-12-28-707294
1738260753.800539,659964.000,38967,1,TL,1,100,2025-01-30_11-12-28-818838
1738260758.931751,665095.000,39806,1,TL,1,100,2025-01-30_11-12-33-842380
1738260758.934751,665098.000,39808,1,TL,1,100,2025-01-30_11-12-33-981800
1738260764.054962,670218.000,40649,1,TL,1,100,2025-01-30_11-12-39-027264
1738260764.061962,670225.000,40651,1,TL,1,100,2025-01-30_11-12-39-104825
1738260769.180174,675343.000,41492,1,TL,1,100,2025-01-30_11-12-44-084836
1738260769.182174,675345.000,41494,1,TL,1,100,2025-01-30_11-12-44-208742
1738260769.227176,675390.000,41497,1,TL,1,100,2025-01-30_11-12-49-219376
1738260774.307386,680470.000,42334,1,TL,1,100,2025-01-30_11-12-49-354624
1738260779.438597,685601.000,43178,1,TL,1,100,2025-01-30_11-12-54-356375
1738260779.440598,685603.000,43180,1,TL,1,100,2025-01-30_11-12-54-479187
1738260784.579810,690742.000,44026,1,TL,1,100,2025-01-30_11-12-59-543852
1738260784.582810,690745.000,44028,1,TL,1,100,2025-01-30_11-12-59-615538
1738260789.712022,695874.000,44872,1,TL,1,100,2025-01-30_11-13-04-736924
1738260789.715022,695877.000,44874,1,TL,1,100,2025-01-30_11-13-04-814217
1738260789.740023,695902.000,44877,1,TL,1,100,2025-01-30_11-13-09-728073
1738260794.838234,701000.000,45716,1,TL,1,100,2025-01-30_11-13-09-918499
1738260799.959445,706121.000,46559,1,TL,1,100,2025-01-30_11-13-14-945541
1738260799.965445,706127.000,46561,1,TL,1,100,2025-01-30_11-13-14-993625
1738260805.098657,711260.000,47402,1,TL,1,100,2025-01-30_11-13-20-070297
1738260805.102658,711264.000,47404,1,TL,1,100,2025-01-30_11-13-20-113943
1738260810.224869,716386.000,48245,1,TL,1,100,2025-01-30_11-13-25-116200
