LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1738272076.525410,1079640.000,39407,1,B%,1,100,97
1738272081.524598,1084639.000,40203,1,B%,1,100,97
1738272086.524787,1089639.000,40991,1,B%,1,100,97
1738272091.523975,1094638.000,41767,1,B%,1,100,97
1738272096.524163,1099638.000,42557,1,B%,1,100,97
1738272101.523351,1104637.000,43352,1,B%,1,100,97
1738272106.523540,1109637.000,44128,1,B%,1,100,97
1738272111.522728,1114636.000,44920,1,B%,1,100,97
1738272116.522916,1119636.000,45714,1,B%,1,100,97
1738272121.522104,1124635.000,46498,1,B%,1,100,97
1738272126.522292,1129635.000,47280,1,B%,1,100,97
1738272131.521480,1134634.000,48074,1,B%,1,100,97
1738272136.521669,1139634.000,48876,1,B%,1,100,97
1738272141.520857,1144633.000,49663,1,B%,1,100,97
1738272146.521045,1149633.000,50445,1,B%,1,100,97
1738272151.520233,1154632.000,51236,1,B%,1,100,96
1738272156.520422,1159632.000,52031,1,B%,1,100,97
1738272161.519610,1164631.000,52823,1,B%,1,100,96
1738272166.519798,1169631.000,53599,1,B%,1,100,97
1738272171.518986,1174630.000,54393,1,B%,1,100,97
1738272176.519174,1179630.000,55189,1,B%,1,100,97
1738272181.518363,1184629.000,55968,1,B%,1,100,97
1738272186.518551,1189629.000,56749,1,B%,1,100,96
1738272191.517739,1194628.000,57517,1,B%,1,100,97
1738272196.517927,1199628.000,58300,1,B%,1,100,97
1738272201.517115,1204627.000,59074,1,B%,1,100,96
1738272206.517303,1209627.000,59838,1,B%,1,100,96
1738272211.516492,1214626.000,60625,1,B%,1,100,96
1738272216.516680,1219626.000,61412,1,B%,1,100,97
1738272221.515868,1224625.000,62198,1,B%,1,100,97
1738272226.516056,1229625.000,62983,1,B%,1,100,96
1738272231.515244,1234624.000,63757,1,B%,1,100,96
1738272236.515433,1239624.000,64546,1,B%,1,100,97
1738272241.514621,1244623.000,65334,1,B%,1,100,96
1738272246.514809,1249623.000,560,1,B%,1,100,96
1738272251.513997,1254622.000,1360,1,B%,1,100,97
1738272256.514186,1259622.000,2144,1,B%,1,100,97
1738272261.513374,1264621.000,2920,1,B%,1,100,96
1738272266.513562,1269621.000,3708,1,B%,1,100,96
1738272271.512750,1274620.000,4493,1,B%,1,100,96
1738272276.512938,1279620.000,5276,1,B%,1,100,96
1738272281.512127,1284619.000,6042,1,B%,1,100,96
1738272286.512315,1289619.000,6844,1,B%,1,100,96
1738272291.511503,1294618.000,7637,1,B%,1,100,96
1738272296.511691,1299618.000,8406,1,B%,1,100,97
1738272301.510880,1304617.000,9184,1,B%,1,100,96
1738272306.511068,1309617.000,9966,1,B%,1,100,96
1738272311.510256,1314616.000,10773,1,B%,1,100,97
1738272316.510444,1319616.000,11558,1,B%,1,100,96
1738272321.509632,1324615.000,12323,1,B%,1,100,95
1738272326.509820,1329615.000,13102,1,B%,1,100,97
1738272331.509009,1334614.000,13875,1,B%,1,100,96
1738272336.509197,1339614.000,14655,1,B%,1,100,96
1738272341.508385,1344613.000,15454,1,B%,1,100,96
1738272346.508573,1349613.000,16235,1,B%,1,100,96
1738272351.507761,1354612.000,17009,1,B%,1,100,96
1738272356.507950,1359612.000,17787,1,B%,1,100,96
1738272361.507138,1364611.000,18565,1,B%,1,100,96
1738272366.507326,1369611.000,19334,1,B%,1,100,95
1738272371.506514,1374610.000,20112,1,B%,1,100,95
1738272376.506702,1379610.000,20894,1,B%,1,100,96
1738272381.505891,1384609.000,21674,1,B%,1,100,95
1738272386.506079,1389609.000,22452,1,B%,1,100,96
1738272391.505267,1394608.000,23228,1,B%,1,100,96
1738272396.505455,1399608.000,23998,1,B%,1,100,95
1738272401.504643,1404607.000,24777,1,B%,1,100,96
1738272406.504832,1409607.000,25555,1,B%,1,100,96
1738272411.504020,1414606.000,26319,1,B%,1,100,95
1738272416.504208,1419606.000,27115,1,B%,1,100,96
1738272421.503396,1424605.000,27908,1,B%,1,100,95
1738272426.503585,1429605.000,28699,1,B%,1,100,95
1738272431.502773,1434604.000,29476,1,B%,1,100,95
1738272436.502961,1439604.000,30244,1,B%,1,100,95
1738272441.502149,1444603.000,31030,1,B%,1,100,96
1738272446.502337,1449603.000,31808,1,B%,1,100,96
1738272451.501526,1454602.000,32588,1,B%,1,100,95
1738272456.501714,1459602.000,33378,1,B%,1,100,95
1738272461.500902,1464601.000,34160,1,B%,1,100,95
1738272466.501090,1469601.000,34939,1,B%,1,100,95
1738272471.500278,1474600.000,35705,1,B%,1,100,95
1738272476.500467,1479600.000,36495,1,B%,1,100,96
1738272481.499655,1484599.000,37284,1,B%,1,100,95
1738272486.499843,1489599.000,38074,1,B%,1,100,95
1738272491.499031,1494598.000,38862,1,B%,1,100,95
1738272496.499219,1499598.000,39625,1,B%,1,100,95
1738272501.498408,1504597.000,40396,1,B%,1,100,96
1738272506.498596,1509597.000,41184,1,B%,1,100,94
1738272511.497784,1514596.000,41967,1,B%,1,100,95
1738272516.497972,1519596.000,42762,1,B%,1,100,96
1738272521.497160,1524595.000,43525,1,B%,1,100,96
1738272526.497349,1529595.000,44302,1,B%,1,100,94
1738272531.496537,1534594.000,45090,1,B%,1,100,94
1738272536.496725,1539594.000,45876,1,B%,1,100,95
1738272541.495913,1544593.000,46646,1,B%,1,100,95
1738272546.496102,1549593.000,47436,1,B%,1,100,94
1738272551.495290,1554592.000,48223,1,B%,1,100,95
1738272556.495478,1559592.000,49014,1,B%,1,100,95
1738272561.494666,1564591.000,49786,1,B%,1,100,95
1738272566.494854,1569591.000,50570,1,B%,1,100,94
1738272571.494043,1574590.000,51357,1,B%,1,100,94
1738272576.494231,1579590.000,52127,1,B%,1,100,94
1738272581.493419,1584589.000,52921,1,B%,1,100,95
1738272586.493607,1589589.000,53706,1,B%,1,100,94
1738272591.492795,1594588.000,54493,1,B%,1,100,94
1738272596.492984,1599588.000,55269,1,B%,1,100,94
1738272601.492172,1604587.000,56051,1,B%,1,100,94
1738272606.492360,1609587.000,56833,1,B%,1,100,95
1738272611.491548,1614586.000,57611,1,B%,1,100,94
1738272616.491736,1619586.000,58377,1,B%,1,100,94
1738272621.490925,1624585.000,59159,1,B%,1,100,94
1738272626.491113,1629585.000,59942,1,B%,1,100,94
1738272631.490301,1634584.000,60712,1,B%,1,100,94
