LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1738271570.698369,573832,25099,1,BI,1,100,950
1738271571.161386,574295,25169,1,BI,1,100,460
1738271573.685482,576819,25587,1,BI,1,100,2510
1738271577.174613,580308,26160,1,BI,1,100,3470
1738271577.681632,580815,26246,1,BI,1,100,510
1738271578.714671,581848,26413,1,BI,1,100,1030
1738271581.797787,584931,26921,1,BI,1,100,3060
1738271582.960831,586094,27122,1,BI,1,100,1160
1738271584.397885,587531,27356,1,BI,1,100,1430
1738271585.937943,589071,27605,1,BI,1,100,1530
1738271594.087250,597220,28931,1,BI,1,100,8110
1738271594.924281,598057,29082,1,BI,1,100,830
1738271595.713311,598846,29200,1,BI,1,100,780
1738271600.743500,603876,30038,1,BI,1,100,5010
1738271601.403525,604536,30140,1,BI,1,100,650
1738271603.373599,606506,30480,1,BI,1,100,1960
1738271606.306710,609439,30963,1,BI,1,100,2920
1738271615.726064,618858,32505,1,BI,1,100,9370
1738271615.949073,619081,32557,1,BI,1,100,220
1738271616.449091,619581,32642,1,BI,1,100,500
1738271619.592210,622724,33147,1,BI,1,100,3130
1738271621.558284,624690,33481,1,BI,1,100,1950
1738271624.755404,627887,33986,1,BI,1,100,3180
1738271627.165495,630297,34396,1,BI,1,100,2400
1738271627.978525,631110,34531,1,BI,1,100,810
1738271629.718591,632850,34814,1,BI,1,100,1730
1738271630.551622,633683,34948,1,BI,1,100,830
1738271632.821708,635953,35311,1,BI,1,100,2260
1738271645.640190,648771,37304,1,BI,1,100,12750
1738271647.134246,650265,37542,1,BI,1,100,1480
1738271651.926427,655057,38295,1,BI,1,100,4770
1738271653.330480,656461,38508,1,BI,1,100,1390
1738271654.299516,657430,38654,1,BI,1,100,970
1738271655.026544,658157,38767,1,BI,1,100,720
1738271661.579790,664710,39805,1,BI,1,100,6520
1738271665.232928,668363,40372,1,BI,1,100,3630
1738271667.596017,670726,40745,1,BI,1,100,2350
1738271669.942105,673072,41116,1,BI,1,100,2340
1738271670.269117,673399,41167,1,BI,1,100,320
1738271673.805250,676935,41712,1,BI,1,100,3520
1738271675.432312,678562,41967,1,BI,1,100,1620
1738271678.938444,682068,42516,1,BI,1,100,3490
1738271682.338572,685468,43057,1,BI,1,100,3380
1738271683.574618,686704,43253,1,BI,1,100,1230
1738271696.064088,699193,45170,1,BI,1,100,12420
1738271708.600560,711729,47124,1,BI,1,100,12470
1738271712.009689,715138,47654,1,BI,1,100,3390
1738271713.116730,716245,47829,1,BI,1,100,1100
1738271714.472781,717601,48044,1,BI,1,100,1350
1738271715.255811,718384,48171,1,BI,1,100,780
1738271724.599163,727727,49615,1,BI,1,100,9290
