LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1738271570.881376,574015.000,25132,1,TL,1,100,2025-01-30_14-12-45-834174
1738271576.014569,579148.000,25970,1,TL,1,100,2025-01-30_14-12-51-001969
1738271576.020570,579154.000,25972,1,TL,1,100,2025-01-30_14-12-51-040364
1738271581.140762,584274.000,26811,1,TL,1,100,2025-01-30_14-12-56-097844
1738271581.143762,584277.000,26813,1,TL,1,100,2025-01-30_14-12-56-163495
1738271581.200764,584334.000,26816,1,TL,1,100,2025-01-30_14-13-01-188674
1738271586.246954,589380.000,27658,1,TL,1,100,2025-01-30_14-13-01-237815
1738271586.264955,589398.000,27661,1,TL,1,100,2025-01-30_14-13-06-257096
1738271591.355147,594488.000,28494,1,TL,1,100,2025-01-30_14-13-06-334419
1738271591.460151,594593.000,28497,1,TL,1,100,2025-01-30_14-13-11-411709
1738271596.472339,599605.000,29335,1,TL,1,100,2025-01-30_14-13-11-494068
1738271596.494340,599627.000,29338,1,TL,1,100,2025-01-30_14-13-16-481713
1738271601.579532,604712.000,30175,1,TL,1,100,2025-01-30_14-13-16-568116
1738271601.598532,604731.000,30178,1,TL,1,100,2025-01-30_14-13-21-589239
1738271606.686724,609819.000,31016,1,TL,1,100,2025-01-30_14-13-21-685168
1738271606.704725,609837.000,31019,1,TL,1,100,2025-01-30_14-13-26-696841
1738271611.817917,614950.000,31869,1,TL,1,100,2025-01-30_14-13-26-738663
1738271611.844918,614977.000,31872,1,TL,1,100,2025-01-30_14-13-31-826742
1738271616.926109,620058.000,32712,1,TL,1,100,2025-01-30_14-13-32-008556
1738271616.968111,620100.000,32715,1,TL,1,100,2025-01-30_14-13-36-955778
1738271622.035302,625167.000,33552,1,TL,1,100,2025-01-30_14-13-37-007703
1738271627.150494,630282.000,34388,1,TL,1,100,2025-01-30_14-13-42-192226
1738271627.153494,630285.000,34390,1,TL,1,100,2025-01-30_14-13-42-201750
1738271627.183496,630315.000,34393,1,TL,1,100,2025-01-30_14-13-47-170184
1738271632.271687,635403.000,35225,1,TL,1,100,2025-01-30_14-13-47-298179
1738271632.296688,635428.000,35228,1,TL,1,100,2025-01-30_14-13-52-281669
1738271637.396880,640528.000,36023,1,TL,1,100,2025-01-30_14-13-52-422225
1738271637.435881,640567.000,36026,1,TL,1,100,2025-01-30_14-13-57-427624
1738271642.518073,645649.000,36822,1,TL,1,100,2025-01-30_14-13-57-553110
1738271642.597076,645728.000,36825,1,TL,1,100,2025-01-30_14-14-02-560118
1738271647.660266,650791.000,37624,1,TL,1,100,2025-01-30_14-14-02-666118
1738271647.709268,650840.000,37627,1,TL,1,100,2025-01-30_14-14-07-701893
1738271652.781459,655912.000,38422,1,TL,1,100,2025-01-30_14-14-07-805606
1738271652.819460,655950.000,38425,1,TL,1,100,2025-01-30_14-14-12-807148
1738271657.913652,661044.000,39227,1,TL,1,100,2025-01-30_14-14-12-970223
1738271658.020656,661151.000,39230,1,TL,1,100,2025-01-30_14-14-18-010459
1738271663.056846,666187.000,40032,1,TL,1,100,2025-01-30_14-14-18-063235
1738271663.107848,666238.000,40035,1,TL,1,100,2025-01-30_14-14-23-093197
1738271668.180039,671310.000,40841,1,TL,1,100,2025-01-30_14-14-23-196204
1738271668.227041,671357.000,40844,1,TL,1,100,2025-01-30_14-14-28-193069
1738271673.308232,676438.000,41646,1,TL,1,100,2025-01-30_14-14-28-332561
1738271678.435425,681565.000,42445,1,TL,1,100,2025-01-30_14-14-33-321491
1738271678.444425,681574.000,42447,1,TL,1,100,2025-01-30_14-14-33-456179
1738271678.484426,681614.000,42450,1,TL,1,100,2025-01-30_14-14-38-469033
1738271683.561618,686691.000,43247,1,TL,1,100,2025-01-30_14-14-38-582946
1738271683.579618,686709.000,43250,1,TL,1,100,2025-01-30_14-14-43-572228
1738271688.700811,691830.000,44043,1,TL,1,100,2025-01-30_14-14-43-713130
1738271688.723812,691853.000,44046,1,TL,1,100,2025-01-30_14-14-48-714523
1738271693.830004,696959.000,44837,1,TL,1,100,2025-01-30_14-14-48-878053
1738271698.958197,702087.000,45637,1,TL,1,100,2025-01-30_14-14-54-055699
1738271698.963197,702092.000,45639,1,TL,1,100,2025-01-30_14-14-54-059581
1738271698.993199,702122.000,45642,1,TL,1,100,2025-01-30_14-14-58-986239
1738271704.066390,707195.000,46422,1,TL,1,100,2025-01-30_14-14-59-126416
1738271704.131392,707260.000,46425,1,TL,1,100,2025-01-30_14-15-04-096204
1738271709.191582,712320.000,47221,1,TL,1,100,2025-01-30_14-15-04-262913
1738271714.322776,717451.000,48021,1,TL,1,100,2025-01-30_14-15-09-269500
1738271714.325776,717454.000,48023,1,TL,1,100,2025-01-30_14-15-09-386629
1738271719.463969,722592.000,48816,1,TL,1,100,2025-01-30_14-15-14-348344
