LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1738271570.886376,574020.000,25133,2,AK,1,100,24302
1738271570.886376,574020.000,25133,2,AK,1,100,RD
1738271573.452973,576586.500,25971,2,AK,1,100,25134
1738271576.019569,579153.000,25971,2,AK,1,100,RD
1738271576.020570,579154.000,25973,2,AK,1,100,25134
1738271576.021569,579155.000,25973,2,AK,1,100,RD
1738271578.582166,581715.500,26812,2,AK,1,100,25974
1738271581.142762,584276.000,26812,2,AK,1,100,RD
1738271581.143762,584277.000,26814,2,AK,1,100,25974
1738271581.144762,584278.000,26814,2,AK,1,100,RD
1738271581.173263,584306.500,26817,2,AK,1,100,26815
1738271581.201765,584335.000,26817,2,AK,1,100,RD
1738271583.724859,586858.000,27659,2,AK,1,100,26815
1738271586.247954,589381.000,27659,2,AK,1,100,RD
1738271586.256955,589390.000,27662,2,AK,1,100,27660
1738271586.265955,589399.000,27662,2,AK,1,100,RD
1738271588.811051,591944.000,28495,2,AK,1,100,27660
1738271591.356147,594489.000,28495,2,AK,1,100,RD
1738271593.911743,597044.500,29334,2,AK,1,100,28496
1738271596.467339,599600.000,29334,2,AK,1,100,RD
1738271596.470339,599603.000,29336,2,AK,1,100,28496
1738271596.473339,599606.000,29336,2,AK,1,100,RD
1738271596.485840,599618.500,29339,2,AK,1,100,29337
1738271596.498340,599631.000,29339,2,AK,1,100,RD
1738271599.039436,602172.000,30176,2,AK,1,100,29337
1738271601.580532,604713.000,30176,2,AK,1,100,RD
1738271601.590032,604722.500,30179,2,AK,1,100,30177
1738271601.599532,604732.000,30179,2,AK,1,100,RD
1738271604.143628,607276.000,31017,2,AK,1,100,30177
1738271606.687724,609820.000,31017,2,AK,1,100,RD
1738271606.696724,609829.000,31020,2,AK,1,100,31018
1738271606.705724,609838.000,31020,2,AK,1,100,RD
1738271609.262321,612394.500,31870,2,AK,1,100,31018
1738271611.818917,614951.000,31870,2,AK,1,100,RD
1738271611.832417,614964.500,31873,2,AK,1,100,31871
1738271611.845918,614978.000,31873,2,AK,1,100,RD
1738271614.387014,617519.000,32713,2,AK,1,100,31871
1738271616.928109,620060.000,32713,2,AK,1,100,RD
1738271616.948610,620080.500,32716,2,AK,1,100,32714
1738271616.969111,620101.000,32716,2,AK,1,100,RD
1738271619.502706,622634.500,33553,2,AK,1,100,32714
1738271622.036302,625168.000,33553,2,AK,1,100,RD
1738271624.594398,627726.000,34389,2,AK,1,100,33554
1738271627.152494,630284.000,34389,2,AK,1,100,RD
1738271627.153494,630285.000,34391,2,AK,1,100,33554
1738271627.154494,630286.000,34391,2,AK,1,100,RD
1738271627.169995,630301.500,34394,2,AK,1,100,34392
1738271627.185495,630317.000,34394,2,AK,1,100,RD
1738271629.729591,632861.000,35226,2,AK,1,100,34392
1738271632.273687,635405.000,35226,2,AK,1,100,RD
1738271632.285687,635417.000,35229,2,AK,1,100,35227
1738271632.297688,635429.000,35229,2,AK,1,100,RD
1738271634.849784,637981.000,36024,2,AK,1,100,35227
1738271637.401880,640533.000,36024,2,AK,1,100,RD
1738271637.419381,640550.500,36027,2,AK,1,100,36025
1738271637.436881,640568.000,36027,2,AK,1,100,RD
1738271639.980477,643111.500,36823,2,AK,1,100,36025
1738271642.524073,645655.000,36823,2,AK,1,100,RD
1738271642.563074,645694.000,36826,2,AK,1,100,36824
1738271642.602076,645733.000,36826,2,AK,1,100,RD
1738271645.131671,648262.500,37625,2,AK,1,100,36824
1738271647.661266,650792.000,37625,2,AK,1,100,RD
1738271647.685767,650816.500,37628,2,AK,1,100,37626
1738271647.710268,650841.000,37628,2,AK,1,100,RD
1738271650.246864,653377.500,38423,2,AK,1,100,37626
1738271652.783459,655914.000,38423,2,AK,1,100,RD
1738271652.801960,655932.500,38426,2,AK,1,100,38424
1738271652.820461,655951.000,38426,2,AK,1,100,RD
1738271655.368056,658498.500,39228,2,AK,1,100,38424
1738271657.915652,661046.000,39228,2,AK,1,100,RD
1738271660.485249,663615.500,40031,2,AK,1,100,39229
1738271663.054846,666185.000,40031,2,AK,1,100,RD
1738271663.056346,666186.500,40033,2,AK,1,100,39229
1738271663.057846,666188.000,40033,2,AK,1,100,RD
1738271663.083347,666213.500,40036,2,AK,1,100,40034
1738271663.108848,666239.000,40036,2,AK,1,100,RD
1738271665.645443,668775.500,40842,2,AK,1,100,40034
1738271668.182039,671312.000,40842,2,AK,1,100,RD
1738271668.205540,671335.500,40845,2,AK,1,100,40843
1738271668.229040,671359.000,40845,2,AK,1,100,RD
1738271670.769136,673899.000,41647,2,AK,1,100,40843
1738271673.309232,676439.000,41647,2,AK,1,100,RD
1738271675.875328,679005.000,42446,2,AK,1,100,41648
1738271678.441425,681571.000,42446,2,AK,1,100,RD
1738271678.443425,681573.000,42448,2,AK,1,100,41648
1738271678.445425,681575.000,42448,2,AK,1,100,RD
1738271678.465426,681595.000,42451,2,AK,1,100,42449
1738271678.485427,681615.000,42451,2,AK,1,100,RD
1738271681.024522,684154.000,43248,2,AK,1,100,42449
1738271683.563618,686693.000,43248,2,AK,1,100,RD
1738271683.572118,686701.500,43251,2,AK,1,100,43249
1738271683.580618,686710.000,43251,2,AK,1,100,RD
1738271686.143715,689273.000,44044,2,AK,1,100,43249
1738271688.706811,691836.000,44044,2,AK,1,100,RD
1738271688.715812,691845.000,44047,2,AK,1,100,44045
