LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1738271570.590365,573724.000,25081,1,SF,1,100,0.8305
1738271570.990380,574124.000,25136,1,SF,1,100,0.8209
1738271571.257390,574391.000,25187,1,SF,1,100,0.8114
1738271571.590403,574724.000,25237,1,SF,1,100,0.8020
1738271571.990418,575124.000,25305,1,SF,1,100,0.7927
1738271572.257428,575391.000,25355,1,SF,1,100,0.7835
1738271572.590440,575724.000,25405,1,SF,1,100,0.7745
1738271572.923453,576057.000,25454,1,SF,1,100,0.7655
1738271573.323468,576457.000,25520,1,SF,1,100,0.7567
1738271573.590478,576724.000,25571,1,SF,1,100,0.7479
1738271573.923491,577057.000,25622,1,SF,1,100,0.7393
1738271574.323506,577457.000,25688,1,SF,1,100,0.7307
1738271574.590516,577724.000,25738,1,SF,1,100,0.7223
1738271574.923528,578057.000,25788,1,SF,1,100,0.7139
1738271575.256541,578390.000,25838,1,SF,1,100,0.7056
1738271575.656556,578790.000,25904,1,SF,1,100,0.6975
1738271575.923566,579057.000,25953,1,SF,1,100,0.6894
1738271576.323581,579457.000,26009,1,SF,1,100,0.6814
1738271576.590591,579724.000,26058,1,SF,1,100,0.6735
1738271576.923604,580057.000,26110,1,SF,1,100,0.6658
1738271577.323618,580457.000,26178,1,SF,1,100,0.6581
1738271577.590629,580724.000,26228,1,SF,1,100,0.6504
1738271577.923641,581057.000,26280,1,SF,1,100,0.6429
1738271578.256654,581390.000,26329,1,SF,1,100,0.6355
1738271578.656669,581790.000,26395,1,SF,1,100,0.6281
1738271578.923679,582057.000,26448,1,SF,1,100,0.6209
1738271579.256691,582390.000,26497,1,SF,1,100,0.6137
1738271579.656706,582790.000,26563,1,SF,1,100,0.6066
1738271579.923716,583057.000,26613,1,SF,1,100,0.5996
1738271580.256729,583390.000,26663,1,SF,1,100,0.5926
1738271580.589741,583723.000,26713,1,SF,1,100,0.5858
1738271580.989757,584123.000,26779,1,SF,1,100,0.5790
1738271581.256767,584390.000,26835,1,SF,1,100,0.5723
1738271581.589779,584723.000,26885,1,SF,1,100,0.5657
1738271581.989794,585123.000,26956,1,SF,1,100,0.5591
1738271582.322807,585456.000,27005,1,SF,1,100,0.5527
1738271582.589817,585723.000,27055,1,SF,1,100,0.5463
1738271582.922829,586056.000,27104,1,SF,1,100,0.5400
1738271583.322844,586456.000,27172,1,SF,1,100,0.5337
1738271583.589854,586723.000,27223,1,SF,1,100,0.5275
1738271583.922867,587056.000,27272,1,SF,1,100,0.5214
1738271584.255879,587389.000,27322,1,SF,1,100,0.5154
1738271584.655895,587789.000,27390,1,SF,1,100,0.5094
1738271584.922904,588056.000,27440,1,SF,1,100,0.5035
1738271585.255917,588389.000,27490,1,SF,1,100,0.4977
1738271585.655932,588789.000,27556,1,SF,1,100,0.4920
1738271585.922942,589056.000,27607,1,SF,1,100,0.4863
1738271586.255955,589389.000,27663,1,SF,1,100,0.4806
1738271586.589967,589723.000,27712,1,SF,1,100,0.4751
1738271586.989982,590123.000,27780,1,SF,1,100,0.4696
1738271587.255992,590389.000,27830,1,SF,1,100,0.4642
1738271587.590005,590723.000,27880,1,SF,1,100,0.4588
1738271587.923018,591056.000,27930,1,SF,1,100,0.4535
1738271588.323033,591456.000,27996,1,SF,1,100,0.4482
1738271588.589043,591722.000,28045,1,SF,1,100,0.4431
1738271588.923055,592056.000,28095,1,SF,1,100,0.4379
1738271589.323070,592456.000,28161,1,SF,1,100,0.4329
1738271589.589080,592722.000,28211,1,SF,1,100,0.4279
1738271589.923093,593056.000,28261,1,SF,1,100,0.4229
1738271590.256105,593389.000,28310,1,SF,1,100,0.4180
1738271590.656120,593789.000,28376,1,SF,1,100,0.4132
1738271590.922130,594055.000,28427,1,SF,1,100,0.4084
1738271591.256143,594389.000,28476,1,SF,1,100,0.4037
1738271591.656158,594789.000,28533,1,SF,1,100,0.3990
1738271591.922168,595055.000,28583,1,SF,1,100,0.3944
1738271592.256181,595389.000,28632,1,SF,1,100,0.3898
1738271592.656196,595789.000,28698,1,SF,1,100,0.3853
1738271592.922206,596055.000,28749,1,SF,1,100,0.3809
1738271593.256218,596389.000,28798,1,SF,1,100,0.3765
1738271593.589231,596722.000,28848,1,SF,1,100,0.3721
1738271593.989246,597122.000,28914,1,SF,1,100,0.3678
1738271594.256256,597389.000,28966,1,SF,1,100,0.3635
1738271594.589268,597722.000,29016,1,SF,1,100,0.3593
1738271594.989284,598122.000,29084,1,SF,1,100,0.3552
1738271595.255294,598388.000,29133,1,SF,1,100,0.3511
