LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1738271607.522755,610655,31188,1,SR,1,100,0.066667
1738271631.386654,634518,35279,1,SR,1,100,1.133333
1738271632.787706,635919,35331,1,SR,1,100,0.133333
1738271633.453732,636585,35457,1,SR,1,100,0.200000
1738271634.586774,637718,35754,1,SR,1,100,1.066667
1738271636.586849,639718,35976,1,SR,1,100,0.466667
1738271637.186872,640318,36030,1,SR,1,100,0.133333
1738271638.385917,641517,36202,1,SR,1,100,0.133333
1738271639.453957,642585,36391,1,SR,1,100,0.266667
1738271639.985977,643117,36455,1,SR,1,100,0.200000
1738271640.719005,643850,36567,1,SR,1,100,0.133333
1738271641.119020,644250,36646,1,SR,1,100,0.200000
1738271641.587038,644718,36744,1,SR,1,100,0.400000
1738271642.653078,645784,36875,1,SR,1,100,0.200000
1738271643.386105,646517,37018,1,SR,1,100,0.400000
1738271644.053130,647184,37098,1,SR,1,100,0.200000
1738271644.787158,647918,37210,1,SR,1,100,0.133333
1738271645.319178,648450,37322,1,SR,1,100,0.333333
1738271646.452221,649583,37545,1,SR,1,100,0.666667
1738271648.052281,651183,37708,1,SR,1,100,0.066667
1738271648.919314,652050,37866,1,SR,1,100,0.266667
1738271649.585339,652716,38009,1,SR,1,100,0.533333
1738271650.652379,653783,38198,1,SR,1,100,0.666667
1738271652.118434,655249,38406,1,SR,1,100,0.533333
1738271652.919464,656050,38475,1,SR,1,100,0.200000
1738271653.252477,656383,38511,1,SR,1,100,0.066667
1738271653.585489,656716,38575,1,SR,1,100,0.066667
1738271654.585527,657716,38735,1,SR,1,100,0.133333
1738271654.852537,657983,38848,1,SR,1,100,0.533333
1738271655.518562,658649,39006,1,SR,1,100,0.933333
1738271656.718607,659849,39103,1,SR,1,100,0.333333
1738271657.718645,660849,39249,1,SR,1,100,0.333333
1738271658.318667,661449,39313,1,SR,1,100,0.066667
1738271659.318705,662449,39487,1,SR,1,100,0.200000
1738271659.652718,662783,39552,1,SR,1,100,0.266667
1738271660.185738,663316,39678,1,SR,1,100,0.600000
1738271661.585790,664716,39824,1,SR,1,100,0.066667
1738271662.318818,665449,39935,1,SR,1,100,0.066667
1738271662.651831,665782,39999,1,SR,1,100,0.133333
1738271662.918841,666049,40039,1,SR,1,100,0.066667
1738271663.251853,666382,40119,1,SR,1,100,0.333333
1738271664.117886,667248,40214,1,SR,1,100,0.066667
1738271664.451898,667582,40279,1,SR,1,100,0.133333
1738271664.984918,668115,40375,1,SR,1,100,0.200000
1738271665.318931,668449,40424,1,SR,1,100,0.133333
1738271665.718946,668849,40520,1,SR,1,100,0.333333
1738271666.184963,669315,40632,1,SR,1,100,0.666667
1738271666.984994,670115,40713,1,SR,1,100,0.333333
1738271667.452011,670582,40763,1,SR,1,100,0.133333
1738271668.251041,671381,40912,1,SR,1,100,0.333333
1738271669.118074,672248,41022,1,SR,1,100,0.200000
1738271669.984107,673114,41150,1,SR,1,100,0.066667
1738271670.184114,673314,41263,1,SR,1,100,0.666667
1738271671.384159,674514,41359,1,SR,1,100,0.066667
1738271672.385197,675515,41565,1,SR,1,100,0.400000
1738271672.917217,676047,41598,1,SR,1,100,0.066667
1738271673.917255,677047,41809,1,SR,1,100,0.400000
1738271674.584280,677714,41887,1,SR,1,100,0.266667
1738271675.251305,678381,42032,1,SR,1,100,0.533333
1738271676.584355,679714,42176,1,SR,1,100,0.066667
1738271676.784363,679914,42226,1,SR,1,100,0.200000
1738271677.117375,680247,42383,1,SR,1,100,0.866667
1738271678.650433,681780,42534,1,SR,1,100,0.333333
1738271679.384460,682514,42692,1,SR,1,100,0.600000
1738271680.384498,683514,42772,1,SR,1,100,0.066667
1738271680.983521,684113,42914,1,SR,1,100,0.400000
1738271682.050561,685180,43169,1,SR,1,100,1.000000
1738271683.450613,686580,43257,1,SR,1,100,0.133333
1738271683.716624,686846,43336,1,SR,1,100,0.333333
1738271684.717661,687847,43479,1,SR,1,100,0.266667
1738271685.383686,688513,43589,1,SR,1,100,0.333333
1738271689.716849,692846,44238,1,SR,1,100,0.200000
1738271690.382874,693512,44364,1,SR,1,100,0.400000
1738271691.849930,694979,44601,1,SR,1,100,0.400000
1738271692.516955,695646,44681,1,SR,1,100,0.200000
1738271695.649073,698778,45153,1,SR,1,100,0.200000
1738271695.983085,699112,45203,1,SR,1,100,0.133333
1738271696.516105,699645,45301,1,SR,1,100,0.200000
1738271696.849118,699978,45320,1,SR,1,100,0.066667
1738271697.049125,700178,45367,1,SR,1,100,0.133333
1738271697.849155,700978,45479,1,SR,1,100,0.066667
1738271698.450178,701579,45590,1,SR,1,100,0.200000
1738271699.316211,702445,45709,1,SR,1,100,0.066667
1738271699.516218,702645,45757,1,SR,1,100,0.133333
1738271699.916233,703045,45821,1,SR,1,100,0.200000
1738271700.249246,703378,45947,1,SR,1,100,0.600000
1738271702.449329,705578,46248,1,SR,1,100,0.333333
1738271702.915346,706044,46343,1,SR,1,100,0.533333
1738271703.849381,706978,46444,1,SR,1,100,0.333333
1738271704.982424,708111,46586,1,SR,1,100,0.066667
1738271705.316437,708445,46666,1,SR,1,100,0.266667
1738271705.716452,708845,46808,1,SR,1,100,0.800000
1738271707.182507,710311,47108,1,SR,1,100,1.266667
1738271708.582560,711711,47143,1,SR,1,100,0.066667
1738271709.048577,712177,47273,1,SR,1,100,0.400000
1738271709.581597,712710,47338,1,SR,1,100,0.333333
1738271710.581635,713710,47573,1,SR,1,100,0.866667
1738271712.114692,715243,47735,1,SR,1,100,0.333333
1738271712.848720,715977,47864,1,SR,1,100,0.400000
1738271713.648750,716777,47958,1,SR,1,100,0.200000
1738271714.115768,717244,48028,1,SR,1,100,0.200000
1738271716.581861,719710,48409,1,SR,1,100,0.200000
1738271716.914873,720043,48692,1,SR,1,100,1.666667
1738271720.047991,723176,48981,1,SR,1,100,0.466667
1738271721.315039,724443,49138,1,SR,1,100,0.133333
1738271722.514084,725642,49438,1,SR,1,100,0.933333
1738271723.714129,726842,49634,1,SR,1,100,1.000000
1738271725.247187,728375,49871,1,SR,1,100,1.000000
1738271727.181260,730309,50045,1,SR,1,100,0.133333
1738271728.647315,731775,50457,1,SR,1,100,1.400000
1738271734.580538,737708,51181,1,SR,1,100,0.133333
1738271734.980553,738108,51312,1,SR,1,100,0.600000
1738271735.713581,738841,51378,1,SR,1,100,0.266667
1738271736.246601,739374,51680,1,SR,1,100,1.666667
1738271738.713694,741841,51873,1,SR,1,100,0.333333
