Timestamp,BI
1738271572.45367,836
1738271573.13829,855
1738271578.92271,836
1738271581.87721,791.5
1738271583.03216,836
1738271584.57311,855
1738271587.53042,850.5
1738271588.14358,850.5
1738271589.29183,808
1738271590.28699,833.5
1738271591.15169,776.5
1738271591.90283,776.5
1738271592.63832,776.5
1738271593.44053,776.5
1738271594.04428,776.5
1738271595.00913,743
1738271595.70552,735.5
1738271596.02323,735.5
1738271597.9456,769
1738271598.27172,778
1738271601.41753,778
1738271602.23767,778
1738271603.10809,811.5
1738271604.06716,811.5
1738271604.79605,811.5
1738271605.72971,845
1738271606.53301,845
1738271607.2974,891
1738271609.1291,857.5
1738271610.86774,783.5
1738271611.42364,783.5
1738271612.33613,744.5
1738271613.05979,744.5
1738271613.58517,724.5
1738271614.31066,724.5
1738271614.98883,701
1738271616.66709,715
1738271625.04723,715
1738271626.23204,696.5
1738271626.65402,696.5
1738271627.36034,696.5
1738271628.0907,718
1738271628.77746,718
1738271629.45075,718
1738271630.27448,696.5
1738271631.79347,696.5
1738271637.97679,708.5
1738271638.63129,680
1738271639.0461,669
1738271639.50312,735
1738271640.31615,659.5
1738271640.88127,659.5
1738271641.54586,659.5
1738271642.35063,735
1738271642.91625,809
1738271645.98527,828
1738271646.84648,824
1738271648.64946,843
1738271649.49429,843
1738271652.91079,844
1738271655.7979,848
1738271657.12056,856
1738271657.95819,869
1738271658.80883,869
1738271659.69626,869
1738271660.62309,895
1738271661.55011,895
1738271663.14744,886.5
1738271669.46362,886.5
1738271672.51915,895
1738271673.38136,915
1738271677.0536,915
1738271682.3526,916
1738271683.36061,894.5
1738271684.72557,894.5
1738271686.09437,878
1738271692.16234,878
1738271693.03188,833
1738271693.82774,833
1738271699.07375,785
1738271699.75123,785
1738271700.52535,785
1738271701.2702,785
1738271702.04432,785
1738271702.95677,822.5
1738271703.92788,891.5
1738271704.79901,891.5
1738271705.72714,891.5
1738271707.33524,891.5
1738271708.25109,891.5
1738271709.08421,858
1738271711.82143,858
1738271712.51288,860.5
1738271713.20532,860.5
1738271714.05045,860.5
1738271714.92621,860.5
1738271715.84358,860.5
1738271716.75194,892
