Timestamp,BI
1738271568.34752,813
1738271569.16055,623
1738271569.55023,813
1738271569.98276,745
1738271570.82543,745
1738271571.57036,745
1738271572.45367,775
1738271573.1477,775
1738271573.92312,808
1738271574.73095,808
1738271575.56558,808
1738271576.37993,808
1738271577.11754,738
1738271577.71853,738
1738271578.09606,738
1738271578.91201,601
1738271584.13955,613
1738271584.56251,613
1738271585.17594,577
1738271585.75261,423
1738271586.05944,542
1738271586.37536,542
1738271586.9174,542
1738271587.53042,603
1738271588.13324,603
1738271588.76693,603
1738271589.30147,603
1738271589.63241,535
1738271590.29732,486
1738271590.78304,486
1738271591.16202,665
1738271591.89238,730
1738271592.62859,730
1738271593.4308,730
1738271594.05391,623
1738271594.65115,597
1738271595.01877,368
1738271595.38333,365
1738271595.71525,332
1738271596.02323,332
1738271596.339,332
1738271596.78836,364
1738271597.15203,364
1738271597.63859,364
1738271597.95533,364
1738271598.28217,365
1738271598.64726,365
1738271599.04155,394
1738271599.65667,401
1738271600.6815,401
1738271601.08208,615
1738271601.42693,820
1738271602.2474,590
1738271603.11879,590
1738271603.70908,729
1738271604.05682,590
1738271604.78535,590
1738271605.10396,348
1738271605.71998,462
1738271606.06163,462
1738271606.52328,616
1738271607.28767,764
1738271608.34413,775
1738271609.11947,862
1738271609.98149,862
1738271610.85741,775
1738271611.43328,584
1738271612.01757,584
1738271612.34646,576
1738271613.05979,535
1738271613.59447,394
1738271613.92637,394
1738271614.32038,371
1738271614.69121,371
1738271614.99822,371
1738271615.42157,371
1738271615.76475,423
1738271616.65639,760
1738271617.41611,855
1738271618.39913,855
1738271619.25378,855
1738271620.01468,855
1738271621.04717,761
1738271621.40646,733
1738271621.98303,733
1738271622.71617,577
1738271623.53954,590
1738271623.94089,590
1738271624.53057,507
1738271625.03759,401
1738271625.3552,507
1738271625.71262,422
1738271626.24134,422
1738271626.66365,422
1738271627.37068,422
1738271627.69809,422
1738271628.08098,673
1738271628.78709,673
1738271629.46039,706
1738271630.28518,706
1738271631.18927,825
1738271631.78384,825
1738271632.76588,595
1738271633.15929,595
1738271633.63263,473
1738271634.51061,473
1738271634.91695,545
1738271635.46188,545
1738271636.0659,545
1738271636.39001,604
1738271637.08031,634
1738271637.98643,634
1738271638.62069,634
1738271639.0361,634
1738271639.49339,585
1738271640.30651,585
1738271640.89197,644
1738271641.53553,644
1738271642.34133,585
1738271642.90601,565
1738271643.23386,565
1738271643.54994,461
1738271644.37541,328
1738271644.83632,461
1738271645.15303,825
1738271645.9949,842
1738271646.85612,842
1738271647.69842,842
1738271648.64946,861
1738271649.48369,842
1738271650.43322,834
1738271650.74799,834
1738271651.06764,450
1738271652.07776,393
1738271652.5277,450
1738271652.92043,736
1738271653.65684,676
1738271654.39566,717
1738271655.07142,717
1738271655.78817,692
1738271656.42874,692
1738271657.12056,717
1738271657.9488,828
1738271658.81943,828
1738271659.70696,828
1738271660.28888,871
1738271660.63249,862
1738271661.55011,745
1738271662.41223,745
1738271663.15717,745
1738271663.81412,745
1738271664.14102,745
1738271664.96914,657
1738271665.71508,581
1738271666.02109,643
1738271666.60251,581
1738271667.24573,448
1738271667.63842,581
1738271668.08671,643
1738271668.77639,664
1738271669.47422,690
1738271670.13788,698
1738271670.88777,718
1738271671.60596,750
1738271672.49987,872
1738271673.37163,894
1738271674.34576,910
1738271675.25715,910
1738271676.16746,910
1738271677.04316,876
1738271677.85652,876
1738271678.69125,835
1738271679.59919,813
1738271680.38061,794
1738271681.17504,781
1738271681.59702,430
