LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1738271567.256480,263221.000,39877,4,DC,2,100,EA
1738271567.256480,263221.000,39877,4,DC,2,100,2
1738271567.256480,263221.000,39877,4,DC,2,100,EL
1738271567.256480,263221.000,39877,4,DC,2,100,2
1738271567.300482,263265.000,39897,4,DC,2,100,EA
1738271567.344484,263309.000,39897,4,DC,2,100,3
1738271567.388485,263353.000,39897,4,DC,2,100,EL
1738271567.432487,263397.000,39897,4,DC,2,100,3
1738271567.458488,263423.000,39914,4,DC,2,100,EA
1738271567.484489,263449.000,39914,4,DC,2,100,1
1738271567.510490,263475.000,39914,4,DC,2,100,EL
1738271567.536491,263501.000,39914,4,DC,2,100,1
1738271567.561491,263526.000,39930,4,DC,2,100,EA
1738271567.586493,263551.000,39930,4,DC,2,100,2
1738271567.611493,263576.000,39930,4,DC,2,100,EL
1738271567.636494,263601.000,39930,4,DC,2,100,2
1738271567.661745,263626.250,39946,4,DC,2,100,EA
1738271567.686996,263651.500,39946,4,DC,2,100,1
1738271567.712247,263676.750,39946,4,DC,2,100,EL
1738271567.737498,263702.000,39946,4,DC,2,100,1
1738271567.763749,263728.250,39964,4,DC,2,100,EA
1738271567.790000,263754.500,39964,4,DC,2,100,2
1738271567.816251,263780.750,39964,4,DC,2,100,EL
1738271567.842502,263807.000,39964,4,DC,2,100,2
1738271567.867253,263831.750,39980,4,DC,2,100,EA
1738271567.892004,263856.500,39980,4,DC,2,100,1
1738271567.916754,263881.250,39980,4,DC,2,100,EL
1738271567.941505,263906.000,39980,4,DC,2,100,1
1738271567.966756,263931.250,39996,4,DC,2,100,EA
1738271567.992007,263956.500,39996,4,DC,2,100,2
1738271568.017258,263981.750,39996,4,DC,2,100,EL
1738271568.042509,264007.000,39996,4,DC,2,100,2
1738271568.067760,264032.250,40012,4,DC,2,100,EA
1738271568.093011,264057.500,40012,4,DC,2,100,1
1738271568.118262,264082.750,40012,4,DC,2,100,EL
1738271568.143513,264108.000,40012,4,DC,2,100,1
1738271568.169014,264133.500,40030,4,DC,2,100,EA
1738271568.194515,264159.000,40030,4,DC,2,100,2
1738271568.220016,264184.500,40030,4,DC,2,100,EL
1738271568.245517,264210.000,40030,4,DC,2,100,2
1738271568.271518,264236.000,40046,4,DC,2,100,EA
1738271568.297518,264262.000,40046,4,DC,2,100,1
1738271568.323519,264288.000,40046,4,DC,2,100,EL
1738271568.349520,264314.000,40046,4,DC,2,100,1
1738271568.376021,264340.500,40062,4,DC,2,100,EA
1738271568.402522,264367.000,40062,4,DC,2,100,2
1738271568.429023,264393.500,40062,4,DC,2,100,EL
1738271568.455524,264420.000,40062,4,DC,2,100,2
1738271568.480775,264445.250,40079,4,DC,2,100,EA
1738271568.506026,264470.500,40079,4,DC,2,100,1
1738271568.531277,264495.750,40079,4,DC,2,100,EL
1738271568.556528,264521.000,40079,4,DC,2,100,1
1738271568.581779,264546.250,40096,4,DC,2,100,EA
1738271568.607030,264571.500,40096,4,DC,2,100,2
1738271568.632281,264596.750,40096,4,DC,2,100,EL
1738271568.657532,264622.000,40096,4,DC,2,100,2
1738271568.683533,264648.000,40112,4,DC,2,100,EA
1738271568.709533,264674.000,40112,4,DC,2,100,2
1738271568.735534,264700.000,40112,4,DC,2,100,EL
1738271568.761535,264726.000,40112,4,DC,2,100,2
1738271568.786786,264751.250,40130,4,DC,2,100,EA
1738271568.812037,264776.500,40130,4,DC,2,100,1
1738271568.837288,264801.750,40130,4,DC,2,100,EL
1738271568.862539,264827.000,40130,4,DC,2,100,1
1738271568.887540,264852.000,40147,4,DC,2,100,EA
1738271568.912541,264877.000,40147,4,DC,2,100,2
1738271568.937542,264902.000,40147,4,DC,2,100,EL
1738271568.962543,264927.000,40147,4,DC,2,100,2
1738271568.987794,264952.250,40164,4,DC,2,100,EA
1738271569.013045,264977.500,40164,4,DC,2,100,1
1738271569.038296,265002.750,40164,4,DC,2,100,EL
1738271569.063546,265028.000,40164,4,DC,2,100,1
1738271569.089047,265053.500,40181,4,DC,2,100,EA
1738271569.114548,265079.000,40181,4,DC,2,100,2
1738271569.140049,265104.500,40181,4,DC,2,100,EL
1738271569.165550,265130.000,40181,4,DC,2,100,2
1738271569.191301,265155.750,40198,4,DC,2,100,EA
1738271569.217052,265181.500,40198,4,DC,2,100,1
1738271569.242803,265207.250,40198,4,DC,2,100,EL
1738271569.268554,265233.000,40198,4,DC,2,100,1
1738271569.293805,265258.250,40213,4,DC,2,100,EA
