LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1738271567.134476,263099.000,39874,1,MY,1,100,-20
1738271567.174477,263139.000,39891,2,MY,1,100,-21
1738271567.214479,263179.000,39891,2,MY,1,100,-20
1738271567.254480,263219.000,39911,5,MY,1,100,-20
1738271567.294482,263259.000,39911,5,MY,1,100,-20
1738271567.334483,263299.000,39911,5,MY,1,100,-20
1738271567.374485,263339.000,39911,5,MY,1,100,-19
1738271567.414486,263379.000,39911,5,MY,1,100,-20
1738271567.454488,263419.000,39927,3,MY,1,100,-21
1738271567.494489,263459.000,39927,3,MY,1,100,-20
1738271567.534491,263499.000,39927,3,MY,1,100,-20
1738271567.574492,263539.000,39944,2,MY,1,100,-20
1738271567.614494,263579.000,39944,2,MY,1,100,-20
1738271567.654495,263619.000,39960,3,MY,1,100,-20
1738271567.694496,263659.000,39960,3,MY,1,100,-20
1738271567.734498,263699.000,39960,3,MY,1,100,-21
1738271567.774499,263739.000,39978,2,MY,1,100,-20
1738271567.814501,263779.000,39978,2,MY,1,100,-20
1738271567.854502,263819.000,39993,3,MY,1,100,-20
1738271567.894504,263859.000,39993,3,MY,1,100,-19
1738271567.934505,263899.000,39993,3,MY,1,100,-21
1738271567.981007,263945.500,40010,2,MY,1,100,-20
1738271568.027509,263992.000,40010,2,MY,1,100,-20
1738271568.067510,264032.000,40026,2,MY,1,100,-20
1738271568.107512,264072.000,40026,2,MY,1,100,-20
1738271568.147513,264112.000,40044,3,MY,1,100,-20
1738271568.187515,264152.000,40044,3,MY,1,100,-21
1738271568.227516,264192.000,40044,3,MY,1,100,-20
1738271568.267517,264232.000,40059,2,MY,1,100,-19
1738271568.307519,264272.000,40059,2,MY,1,100,-20
1738271568.347520,264312.000,40076,3,MY,1,100,-20
1738271568.387522,264352.000,40076,3,MY,1,100,-20
1738271568.427523,264392.000,40076,3,MY,1,100,-20
1738271568.467525,264432.000,40093,3,MY,1,100,-20
1738271568.507526,264472.000,40093,3,MY,1,100,-20
1738271568.547528,264512.000,40093,3,MY,1,100,-19
1738271568.587529,264552.000,40110,2,MY,1,100,-20
1738271568.627531,264592.000,40110,2,MY,1,100,-21
1738271568.667532,264632.000,40126,3,MY,1,100,-20
1738271568.707533,264672.000,40126,3,MY,1,100,-19
1738271568.747535,264712.000,40126,3,MY,1,100,-20
1738271568.787536,264752.000,40143,2,MY,1,100,-19
1738271568.827538,264792.000,40143,2,MY,1,100,-20
1738271568.867539,264832.000,40161,3,MY,1,100,-20
1738271568.907541,264872.000,40161,3,MY,1,100,-20
1738271568.947542,264912.000,40161,3,MY,1,100,-21
1738271568.987544,264952.000,40178,2,MY,1,100,-19
1738271569.027545,264992.000,40178,2,MY,1,100,-20
1738271569.071880,265036.333,40195,3,MY,1,100,-20
1738271569.116215,265080.667,40195,3,MY,1,100,-20
1738271569.160550,265125.000,40195,3,MY,1,100,-20
1738271569.200552,265165.000,40211,2,MY,1,100,-20
1738271569.240553,265205.000,40211,2,MY,1,100,-20
1738271569.280555,265245.000,40227,3,MY,1,100,-20
1738271569.320556,265285.000,40227,3,MY,1,100,-19
1738271569.360557,265325.000,40227,3,MY,1,100,-20
1738271569.400559,265365.000,40244,2,MY,1,100,-20
1738271569.440560,265405.000,40244,2,MY,1,100,-20
1738271569.480562,265445.000,40263,3,MY,1,100,-20
1738271569.520563,265485.000,40263,3,MY,1,100,-20
1738271569.560565,265525.000,40263,3,MY,1,100,-20
1738271569.600566,265565.000,40280,4,MY,1,100,-21
1738271569.640568,265605.000,40280,4,MY,1,100,-21
1738271569.680569,265645.000,40280,4,MY,1,100,-21
1738271569.720571,265685.000,40280,4,MY,1,100,-20
1738271569.760572,265725.000,40297,2,MY,1,100,-19
1738271569.800573,265765.000,40297,2,MY,1,100,-20
1738271569.840575,265805.000,40313,3,MY,1,100,-20
1738271569.880576,265845.000,40313,3,MY,1,100,-20
1738271569.920578,265885.000,40313,3,MY,1,100,-20
1738271569.960579,265925.000,40329,3,MY,1,100,-20
1738271570.000581,265965.000,40329,3,MY,1,100,-21
1738271570.040582,266005.000,40329,3,MY,1,100,-20
1738271570.080584,266045.000,40346,2,MY,1,100,-20
1738271570.120585,266085.000,40346,2,MY,1,100,-20
1738271570.160587,266125.000,40363,3,MY,1,100,-20
1738271570.200588,266165.000,40363,3,MY,1,100,-20
1738271570.240590,266205.000,40363,3,MY,1,100,-19
1738271570.287091,266251.500,40379,2,MY,1,100,-21
1738271570.333593,266298.000,40379,2,MY,1,100,-20
1738271570.374094,266338.500,40395,2,MY,1,100,-20
1738271570.414596,266379.000,40395,2,MY,1,100,-21
1738271570.454597,266419.000,40413,3,MY,1,100,-20
1738271570.494599,266459.000,40413,3,MY,1,100,-19
1738271570.534600,266499.000,40413,3,MY,1,100,-20
1738271570.574602,266539.000,40429,2,MY,1,100,-20
1738271570.614603,266579.000,40429,2,MY,1,100,-20
1738271570.654605,266619.000,40446,3,MY,1,100,-20
1738271570.694606,266659.000,40446,3,MY,1,100,-20
1738271570.734607,266699.000,40446,3,MY,1,100,-19
1738271570.774609,266739.000,40462,3,MY,1,100,-20
1738271570.814610,266779.000,40462,3,MY,1,100,-20
1738271570.854612,266819.000,40462,3,MY,1,100,-20
1738271570.894113,266858.500,40479,2,MY,1,100,-20
1738271570.933615,266898.000,40479,2,MY,1,100,-20
1738271570.973616,266938.000,40495,3,MY,1,100,-20
1738271571.013618,266978.000,40495,3,MY,1,100,-20
1738271571.053619,267018.000,40495,3,MY,1,100,-20
1738271571.094121,267058.500,40513,2,MY,1,100,-20
1738271571.134622,267099.000,40513,2,MY,1,100,-20
1738271571.174290,267138.667,40528,3,MY,1,100,-20
1738271571.213959,267178.333,40528,3,MY,1,100,-20
1738271571.253627,267218.000,40528,3,MY,1,100,-20
1738271571.293628,267258.000,40547,2,MY,1,100,-20
1738271571.333629,267298.000,40547,2,MY,1,100,-19
1738271571.373631,267338.000,40563,2,MY,1,100,-20
1738271571.413632,267378.000,40563,2,MY,1,100,-20
1738271571.458301,267422.667,40581,3,MY,1,100,-20
1738271571.502969,267467.333,40581,3,MY,1,100,-20
1738271571.547637,267512.000,40581,3,MY,1,100,-22
1738271571.587639,267552.000,40596,3,MY,1,100,-20
1738271571.627640,267592.000,40596,3,MY,1,100,-20
1738271571.667642,267632.000,40596,3,MY,1,100,-20
1738271571.707643,267672.000,40613,2,MY,1,100,-19
1738271571.747645,267712.000,40613,2,MY,1,100,-21
1738271571.787646,267752.000,40630,3,MY,1,100,-21
1738271571.827647,267792.000,40630,3,MY,1,100,-20
1738271571.867649,267832.000,40630,3,MY,1,100,-20
1738271571.907650,267872.000,40647,2,MY,1,100,-21
1738271571.947652,267912.000,40647,2,MY,1,100,-20
1738271571.987653,267952.000,40662,3,MY,1,100,-21
1738271572.027655,267992.000,40662,3,MY,1,100,-20
1738271572.067656,268032.000,40662,3,MY,1,100,-20
1738271572.107658,268072.000,40680,2,MY,1,100,-20
1738271572.147659,268112.000,40680,2,MY,1,100,-20
1738271572.187661,268152.000,40696,3,MY,1,100,-20
1738271572.227662,268192.000,40696,3,MY,1,100,-19
1738271572.267663,268232.000,40696,3,MY,1,100,-20
1738271572.307665,268272.000,40713,2,MY,1,100,-19
1738271572.347667,268312.000,40713,2,MY,1,100,-20
1738271572.387668,268352.000,40737,4,MY,1,100,-20
1738271572.427670,268392.000,40737,4,MY,1,100,-19
1738271572.467671,268432.000,40737,4,MY,1,100,-19
1738271572.507672,268472.000,40737,4,MY,1,100,-20
1738271572.552007,268516.333,40754,3,MY,1,100,-20
1738271572.596342,268560.667,40754,3,MY,1,100,-22
1738271572.640677,268605.000,40754,3,MY,1,100,-21
1738271572.680679,268645.000,40769,2,MY,1,100,-19
1738271572.720680,268685.000,40769,2,MY,1,100,-19
1738271572.760682,268725.000,40789,3,MY,1,100,-20
1738271572.800683,268765.000,40789,3,MY,1,100,-20
1738271572.840685,268805.000,40789,3,MY,1,100,-20
1738271572.880686,268845.000,40805,2,MY,1,100,-19
1738271572.920687,268885.000,40805,2,MY,1,100,-20
