LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1738271567.147476,263112.000,39866,4,PG,1,100,7181
1738271567.147476,263112.000,39866,4,PG,1,100,7169
1738271567.147476,263112.000,39866,4,PG,1,100,7197
1738271567.147476,263112.000,39866,4,PG,1,100,7193
1738271567.157810,263122.333,39880,9,PG,1,100,7166
1738271567.168144,263132.667,39880,9,PG,1,100,7167
1738271567.178478,263143.000,39880,9,PG,1,100,7200
1738271567.188811,263153.333,39880,9,PG,1,100,7195
1738271567.199145,263163.667,39880,9,PG,1,100,7172
1738271567.209479,263174.000,39880,9,PG,1,100,7197
1738271567.219812,263184.333,39880,9,PG,1,100,7211
1738271567.230146,263194.667,39880,9,PG,1,100,7196
1738271567.240480,263205.000,39880,9,PG,1,100,7194
1738271567.250322,263214.842,39900,19,PG,1,100,7226
1738271567.260165,263224.684,39900,19,PG,1,100,7182
1738271567.270007,263234.526,39900,19,PG,1,100,7197
1738271567.279850,263244.368,39900,19,PG,1,100,7197
1738271567.289692,263254.211,39900,19,PG,1,100,7191
1738271567.299535,263264.053,39900,19,PG,1,100,7217
1738271567.309377,263273.895,39900,19,PG,1,100,7235
1738271567.319220,263283.737,39900,19,PG,1,100,7223
1738271567.329062,263293.579,39900,19,PG,1,100,7212
1738271567.338905,263303.421,39900,19,PG,1,100,7206
1738271567.348747,263313.263,39900,19,PG,1,100,7208
1738271567.358589,263323.105,39900,19,PG,1,100,7194
1738271567.368432,263332.947,39900,19,PG,1,100,7208
1738271567.378274,263342.789,39900,19,PG,1,100,7230
1738271567.388117,263352.632,39900,19,PG,1,100,7225
1738271567.397959,263362.474,39900,19,PG,1,100,7235
1738271567.407802,263372.316,39900,19,PG,1,100,7217
1738271567.417644,263382.158,39900,19,PG,1,100,7193
1738271567.427487,263392.000,39900,19,PG,1,100,7223
1738271567.437214,263401.727,39917,11,PG,1,100,7261
1738271567.446942,263411.455,39917,11,PG,1,100,7205
1738271567.456670,263421.182,39917,11,PG,1,100,7197
1738271567.466397,263430.909,39917,11,PG,1,100,7223
1738271567.476125,263440.636,39917,11,PG,1,100,7229
1738271567.485852,263450.364,39917,11,PG,1,100,7260
1738271567.495580,263460.091,39917,11,PG,1,100,7218
1738271567.505308,263469.818,39917,11,PG,1,100,7232
1738271567.515035,263479.545,39917,11,PG,1,100,7225
1738271567.524763,263489.273,39917,11,PG,1,100,7221
1738271567.534491,263499.000,39917,11,PG,1,100,7196
1738271567.544824,263509.333,39933,9,PG,1,100,7244
1738271567.555158,263519.667,39933,9,PG,1,100,7233
1738271567.565492,263530.000,39933,9,PG,1,100,7230
1738271567.575825,263540.333,39933,9,PG,1,100,7229
1738271567.586159,263550.667,39933,9,PG,1,100,7247
1738271567.596493,263561.000,39933,9,PG,1,100,7219
1738271567.606827,263571.333,39933,9,PG,1,100,7214
1738271567.617160,263581.667,39933,9,PG,1,100,7209
1738271567.627494,263592.000,39933,9,PG,1,100,7217
1738271567.638194,263602.700,39949,10,PG,1,100,7203
1738271567.648895,263613.400,39949,10,PG,1,100,7222
1738271567.659595,263624.100,39949,10,PG,1,100,7206
1738271567.670295,263634.800,39949,10,PG,1,100,7202
1738271567.680996,263645.500,39949,10,PG,1,100,7214
1738271567.691696,263656.200,39949,10,PG,1,100,7187
1738271567.702397,263666.900,39949,10,PG,1,100,7209
