LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1738271568.792536,264757.000,40145,1,BV,1,100,4.09
1738271573.791719,269756.000,40957,1,BV,1,100,4.09
1738271578.791902,274756.000,41776,1,BV,1,100,4.10
1738271583.791085,279755.000,42585,1,BV,1,100,4.10
1738271588.791267,284755.000,43402,1,BV,1,100,4.10
1738271593.790450,289754.000,44224,1,BV,1,100,4.09
1738271598.790633,294754.000,45026,1,BV,1,100,4.09
1738271603.789816,299753.000,45832,1,BV,1,100,4.09
1738271608.789998,304753.000,46649,1,BV,1,100,4.09
1738271613.789181,309752.000,47472,1,BV,1,100,4.09
1738271618.789364,314752.000,48272,1,BV,1,100,4.09
1738271623.788547,319751.000,49092,1,BV,1,100,4.09
1738271628.788729,324751.000,49906,1,BV,1,100,4.08
1738271633.787912,329750.000,50713,1,BV,1,100,4.09
1738271638.788095,334750.000,51517,1,BV,1,100,4.09
1738271643.787277,339749.000,52323,1,BV,1,100,4.09
1738271648.787460,344749.000,53062,1,BV,1,100,4.08
1738271653.786643,349748.000,53867,1,BV,1,100,4.09
1738271658.786826,354748.000,54689,1,BV,1,100,4.08
1738271663.786008,359747.000,55519,1,BV,1,100,4.08
1738271668.786191,364747.000,56325,1,BV,1,100,4.08
1738271673.785374,369746.000,57127,1,BV,1,100,4.08
1738271678.785557,374746.000,57955,1,BV,1,100,4.08
1738271683.784739,379745.000,58788,1,BV,1,100,4.08
1738271688.784922,384745.000,59612,1,BV,1,100,4.07
1738271693.784105,389744.000,60438,1,BV,1,100,4.08
1738271698.784287,394744.000,61226,1,BV,1,100,4.08
1738271703.783470,399743.000,62053,1,BV,1,100,4.07
1738271708.783653,404743.000,62873,1,BV,1,100,4.08
1738271713.782836,409742.000,63690,1,BV,1,100,4.08
1738271718.783018,414742.000,64494,1,BV,1,100,4.08
1738271723.782201,419741.000,65315,1,BV,1,100,4.07
1738271728.782384,424741.000,601,1,BV,1,100,4.08
1738271733.781567,429740.000,1402,1,BV,1,100,4.08
1738271738.781749,434740.000,2226,1,BV,1,100,4.07
1738271743.780932,439739.000,3049,1,BV,1,100,4.07
1738271748.781115,444739.000,3853,1,BV,1,100,4.07
1738271753.780298,449738.000,4680,1,BV,1,100,4.07
1738271758.780480,454738.000,5500,1,BV,1,100,4.08
1738271763.779663,459737.000,6311,1,BV,1,100,4.07
1738271768.779846,464737.000,7130,1,BV,1,100,4.07
1738271773.779028,469736.000,7933,1,BV,1,100,4.07
1738271778.779211,474736.000,8758,1,BV,1,100,4.07
1738271783.778394,479735.000,9579,1,BV,1,100,4.07
1738271788.778577,484735.000,10403,1,BV,1,100,4.07
1738271793.777759,489734.000,11210,1,BV,1,100,4.07
1738271798.777942,494734.000,12017,1,BV,1,100,4.07
1738271803.777125,499733.000,12811,1,BV,1,100,4.07
1738271808.777308,504733.000,13558,1,BV,1,100,4.07
1738271813.776490,509732.000,14363,1,BV,1,100,4.07
1738271818.776673,514732.000,15185,1,BV,1,100,4.07
1738271823.775856,519731.000,16011,1,BV,1,100,4.07
1738271828.776038,524731.000,16815,1,BV,1,100,4.07
1738271833.775221,529730.000,17639,1,BV,1,100,4.07
1738271838.775404,534730.000,18451,1,BV,1,100,4.07
1738271843.774587,539729.000,19274,1,BV,1,100,4.06
1738271848.774769,544729.000,20098,1,BV,1,100,4.06
1738271853.773952,549728.000,20905,1,BV,1,100,4.07
1738271858.774135,554728.000,21734,1,BV,1,100,4.06
1738271863.773318,559727.000,22553,1,BV,1,100,4.06
1738271868.773500,564727.000,23358,1,BV,1,100,4.06
1738271873.772683,569726.000,24187,1,BV,1,100,4.06
1738271878.772866,574726.000,25007,1,BV,1,100,4.06
1738271883.772048,579725.000,25831,1,BV,1,100,4.06
1738271888.772231,584725.000,26653,1,BV,1,100,4.06
1738271893.771414,589724.000,27462,1,BV,1,100,4.06
1738271898.771597,594724.000,28269,1,BV,1,100,4.06
1738271903.770779,599723.000,29090,1,BV,1,100,4.06
1738271908.770962,604723.000,29914,1,BV,1,100,4.06
1738271913.770145,609722.000,30724,1,BV,1,100,4.06
1738271918.770328,614722.000,31547,1,BV,1,100,4.06
1738271923.769510,619721.000,32349,1,BV,1,100,4.05
1738271928.769693,624721.000,33152,1,BV,1,100,4.05
1738271933.768876,629720.000,33975,1,BV,1,100,4.06
1738271938.769058,634720.000,34797,1,BV,1,100,4.05
1738271943.768241,639719.000,35601,1,BV,1,100,4.05
1738271948.768424,644719.000,36426,1,BV,1,100,4.05
1738271953.767607,649718.000,37235,1,BV,1,100,4.05
1738271958.767789,654718.000,38058,1,BV,1,100,4.05
1738271963.766972,659717.000,38860,1,BV,1,100,4.05
1738271968.767155,664717.000,39684,1,BV,1,100,4.05
1738271973.766338,669716.000,40505,1,BV,1,100,4.05
