LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1738260737.972241,750690.000,53932,1,EL,1,100,18475.800781
1738260738.039244,750757.000,53947,2,EL,1,100,18413.199219
1738260738.106246,750824.000,53947,2,EL,1,100,18357.599609
1738260738.172249,750890.000,53963,1,EL,1,100,18294.000000
1738260738.238751,750956.500,53978,2,EL,1,100,18228.199219
1738260738.305254,751023.000,53978,2,EL,1,100,18166.599609
1738260738.372256,751090.000,53994,1,EL,1,100,18110.199219
1738260738.438758,751156.500,54011,2,EL,1,100,18058.400391
1738260738.505261,751223.000,54011,2,EL,1,100,18003.599609
1738260738.572263,751290.000,54028,2,EL,1,100,17949.199219
1738260738.639266,751357.000,54028,2,EL,1,100,17894.800781
1738260738.706268,751424.000,54043,1,EL,1,100,17834.000000
1738260738.772604,751490.333,54062,3,EL,1,100,17773.599609
1738260738.838940,751556.667,54062,3,EL,1,100,17717.400391
1738260738.905275,751623.000,54062,3,EL,1,100,17656.400391
1738260738.972278,751690.000,54080,2,EL,1,100,17598.400391
1738260739.039280,751757.000,54080,2,EL,1,100,17550.000000
1738260739.105283,751823.000,54095,1,EL,1,100,17506.400391
1738260739.172285,751890.000,54111,2,EL,1,100,17452.800781
1738260739.239288,751957.000,54111,2,EL,1,100,17405.000000
1738260739.305290,752023.000,54126,1,EL,1,100,17361.199219
1738260739.372293,752090.000,54142,2,EL,1,100,17303.199219
1738260739.439295,752157.000,54142,2,EL,1,100,17241.199219
1738260739.505297,752223.000,54157,1,EL,1,100,17175.800781
1738260739.572300,752290.000,54173,2,EL,1,100,17089.199219
1738260739.639302,752357.000,54173,2,EL,1,100,17046.599609
1738260739.705305,752423.000,54190,1,EL,1,100,17013.199219
1738260739.772307,752490.000,54206,2,EL,1,100,16965.800781
1738260739.839310,752557.000,54206,2,EL,1,100,16920.599609
1738260739.905312,752623.000,54222,1,EL,1,100,16880.800781
1738260739.972315,752690.000,54238,2,EL,1,100,16830.199219
