LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1738260737.973241,750691.000,53940,1,MX,1,100,29
1738260738.013576,750731.333,53955,3,MX,1,100,29
1738260738.053911,750771.667,53955,3,MX,1,100,30
1738260738.094246,750812.000,53955,3,MX,1,100,30
1738260738.134247,750852.000,53970,2,MX,1,100,30
1738260738.174249,750892.000,53970,2,MX,1,100,30
1738260738.213917,750931.667,53986,3,MX,1,100,31
1738260738.253585,750971.333,53986,3,MX,1,100,29
1738260738.293253,751011.000,53986,3,MX,1,100,31
1738260738.333755,751051.500,54002,2,MX,1,100,30
1738260738.374256,751092.000,54002,2,MX,1,100,30
1738260738.414007,751131.750,54019,4,MX,1,100,31
1738260738.453759,751171.500,54019,4,MX,1,100,30
1738260738.493510,751211.250,54019,4,MX,1,100,31
1738260738.533262,751251.000,54019,4,MX,1,100,30
1738260738.573597,751291.333,54036,3,MX,1,100,30
1738260738.613931,751331.667,54036,3,MX,1,100,30
1738260738.654266,751372.000,54036,3,MX,1,100,31
1738260738.694268,751412.000,54050,2,MX,1,100,31
1738260738.734269,751452.000,54050,2,MX,1,100,31
1738260738.776871,751494.600,54070,5,MX,1,100,31
1738260738.819472,751537.200,54070,5,MX,1,100,30
1738260738.862074,751579.800,54070,5,MX,1,100,30
1738260738.904675,751622.400,54070,5,MX,1,100,31
1738260738.947277,751665.000,54070,5,MX,1,100,30
1738260738.987278,751705.000,54088,2,MX,1,100,31
1738260739.027280,751745.000,54088,2,MX,1,100,30
1738260739.067281,751785.000,54102,3,MX,1,100,29
1738260739.107283,751825.000,54102,3,MX,1,100,30
1738260739.147284,751865.000,54102,3,MX,1,100,30
1738260739.187286,751905.000,54119,2,MX,1,100,29
1738260739.227287,751945.000,54119,2,MX,1,100,30
1738260739.267289,751985.000,54134,3,MX,1,100,29
1738260739.307290,752025.000,54134,3,MX,1,100,29
1738260739.347292,752065.000,54134,3,MX,1,100,29
1738260739.387293,752105.000,54150,2,MX,1,100,27
1738260739.427294,752145.000,54150,2,MX,1,100,29
1738260739.467296,752185.000,54164,3,MX,1,100,29
1738260739.507298,752225.000,54164,3,MX,1,100,30
1738260739.547299,752265.000,54164,3,MX,1,100,28
1738260739.587301,752305.000,54181,2,MX,1,100,28
1738260739.627302,752345.000,54181,2,MX,1,100,29
1738260739.667303,752385.000,54198,3,MX,1,100,29
1738260739.707305,752425.000,54198,3,MX,1,100,29
1738260739.747306,752465.000,54198,3,MX,1,100,31
1738260739.787308,752505.000,54214,2,MX,1,100,29
1738260739.827309,752545.000,54214,2,MX,1,100,27
1738260739.867311,752585.000,54230,3,MX,1,100,29
1738260739.907312,752625.000,54230,3,MX,1,100,29
1738260739.947314,752665.000,54230,3,MX,1,100,29
1738260739.993815,752711.500,54245,2,MX,1,100,29
1738260740.040317,752758.000,54245,2,MX,1,100,29
1738260740.080318,752798.000,54262,3,MX,1,100,29
1738260740.120320,752838.000,54262,3,MX,1,100,28
1738260740.160321,752878.000,54262,3,MX,1,100,30
1738260740.200323,752918.000,54279,2,MX,1,100,29
1738260740.240324,752958.000,54279,2,MX,1,100,31
1738260740.280326,752998.000,54294,3,MX,1,100,30
1738260740.320327,753038.000,54294,3,MX,1,100,29
1738260740.360329,753078.000,54294,3,MX,1,100,30
1738260740.400330,753118.000,54309,2,MX,1,100,28
1738260740.440332,753158.000,54309,2,MX,1,100,28
1738260740.480333,753198.000,54325,3,MX,1,100,29
1738260740.520335,753238.000,54325,3,MX,1,100,29
1738260740.560336,753278.000,54325,3,MX,1,100,30
1738260740.600338,753318.000,54341,3,MX,1,100,30
1738260740.640339,753358.000,54341,3,MX,1,100,29
1738260740.680341,753398.000,54341,3,MX,1,100,30
1738260740.720342,753438.000,54356,3,MX,1,100,29
1738260740.760343,753478.000,54356,3,MX,1,100,30
1738260740.800345,753518.000,54356,3,MX,1,100,29
1738260740.840346,753558.000,54373,2,MX,1,100,29
1738260740.880348,753598.000,54373,2,MX,1,100,30
1738260740.920349,753638.000,54387,3,MX,1,100,30
1738260740.960351,753678.000,54387,3,MX,1,100,30
1738260741.000352,753718.000,54387,3,MX,1,100,30
1738260741.040354,753758.000,54403,2,MX,1,100,29
1738260741.080355,753798.000,54403,2,MX,1,100,30
1738260741.124690,753842.333,54418,3,MX,1,100,30
1738260741.169025,753886.667,54418,3,MX,1,100,30
1738260741.213360,753931.000,54418,3,MX,1,100,29
1738260741.253361,753971.000,54435,2,MX,1,100,29
1738260741.293363,754011.000,54435,2,MX,1,100,29
1738260741.333364,754051.000,54449,3,MX,1,100,29
1738260741.373366,754091.000,54449,3,MX,1,100,29
1738260741.413367,754131.000,54449,3,MX,1,100,29
1738260741.453369,754171.000,54465,2,MX,1,100,29
1738260741.493370,754211.000,54465,2,MX,1,100,30
1738260741.533372,754251.000,54481,3,MX,1,100,30
1738260741.573373,754291.000,54481,3,MX,1,100,30
