RD,TS_received,TS_sent,AK,RoundTrip,
560337,560354,2025-01-30_14-12-54-032731,560355,17,
565445,565464,2025-01-30_14-12-59-142937,565469,19,
570554,570579,2025-01-30_14-13-04-259502,570580,25,
575701,575790,2025-01-30_14-13-09-460808,575791,89,
580820,580834,2025-01-30_14-13-14-515547,580836,14,
585928,585955,2025-01-30_14-13-19-631828,585956,27,
591035,591055,2025-01-30_14-13-24-733911,591057,20,
596180,601312,2025-01-30_14-13-30-085629,601313,5132,
601319,606444,2025-01-30_14-13-35-135802,606445,5125,
606448,606536,2025-01-30_14-13-40-217184,606538,88,
611572,611606,2025-01-30_14-13-45-279571,611610,34,
616679,621786,2025-01-30_14-13-50-399825,621787,5107,
621790,621838,2025-01-30_14-13-55-521724,621839,48,
626898,626922,2025-01-30_14-14-00-605469,626924,24,
632028,632042,2025-01-30_14-14-05-726509,632043,14,
637137,642268,2025-01-30_14-14-10-883665,642269,5131,
642276,647401,2025-01-30_14-14-16-137888,647402,5125,
647409,647461,2025-01-30_14-14-21-138658,647462,52,
652528,657642,2025-01-30_14-14-26-230416,657646,5114,
657649,662766,2025-01-30_14-14-31-477054,662768,5117,
662771,662841,2025-01-30_14-14-36-513707,662842,70,
667890,667908,2025-01-30_14-14-41-593945,667913,18,
673009,673026,2025-01-30_14-14-46-712245,673028,17,
678143,683278,2025-01-30_14-14-51-996270,683279,5135,
683285,688398,2025-01-30_14-14-57-046451,688400,5113,
688408,688471,2025-01-30_14-15-02-133866,688473,63,
693524,693591,2025-01-30_14-15-07-272360,693593,67,
698651,698736,2025-01-30_14-15-12-419433,698737,85,
703778,703856,2025-01-30_14-15-17-542061,703857,78,
708900,708917,2025-01-30_14-15-22-602480,708921,17,
714030,714054,2025-01-30_14-15-27-733849,714055,24,
719161,724274,2025-01-30_14-15-32-962722,724276,5113,
724282,729409,2025-01-30_14-15-38-041363,729413,5127,
729417,734541,2025-01-30_14-15-43-169929,734545,5124,
734548,734619,2025-01-30_14-15-48-301958,734620,71,
739679,739745,2025-01-30_14-15-53-429788,739746,66,
744799,744816,2025-01-30_14-15-58-503367,744817,17,
749937,749973,2025-01-30_14-16-03-641060,749974,36,
755053,755094,2025-01-30_14-16-08-773634,755095,41,
760175,765295,2025-01-30_14-16-14-041318,765296,5120,
765299,770437,2025-01-30_14-16-19-049097,770439,5138,
770442,770477,2025-01-30_14-16-24-166141,770480,35,
775577,775629,2025-01-30_14-16-29-318672,775631,52,
780702,780742,2025-01-30_14-16-34-419929,780743,40,
785812,785829,2025-01-30_14-16-39-519760,785834,17,
790940,790970,2025-01-30_14-16-44-660479,790971,30,
796075,796100,2025-01-30_14-16-49-786564,796101,25,
801183,806303,2025-01-30_14-16-54-940443,806304,5120,
806307,811439,2025-01-30_14-17-00-152113,811441,5132,
811448,811493,2025-01-30_14-17-05-179555,811498,45,
816567,816584,2025-01-30_14-17-10-273807,816586,17,
821701,821737,2025-01-30_14-17-15-423149,821738,36,
826822,826843,2025-01-30_14-17-20-532395,826845,21,
831929,831964,2025-01-30_14-17-25-644019,831966,35,
837034,837048,2025-01-30_14-17-30-741528,837050,14,
842147,847269,2025-01-30_14-17-35-883555,847270,5122,
847275,852407,2025-01-30_14-17-41-136072,852408,5132,
852415,852460,2025-01-30_14-17-46-151375,852462,45,
857519,857561,2025-01-30_14-17-51-249310,857562,42,
862628,862696,2025-01-30_14-17-56-386435,862698,68,
867735,867750,2025-01-30_14-18-01-443663,867751,15,
872843,872861,2025-01-30_14-18-06-555218,872866,18,
877978,877997,2025-01-30_14-18-11-688016,877999,19,
883091,883107,2025-01-30_14-18-16-800466,883108,16,
888198,893331,2025-01-30_14-18-21-999131,893332,5133,
893335,893357,2025-01-30_14-18-27-049002,893358,22,
898439,898456,2025-01-30_14-18-32-149376,898457,17,
903547,903562,2025-01-30_14-18-37-256833,903563,15,
908683,908729,2025-01-30_14-18-42-419116,908730,46,
913794,918915,2025-01-30_14-18-47-594784,918917,5121,
918920,924042,2025-01-30_14-18-52-677508,924047,5122,
924049,929153,2025-01-30_14-18-57-909591,929154,5104,
929157,934286,2025-01-30_14-19-02-974112,934288,5129,
934290,939408,2025-01-30_14-19-08-086524,939410,5118,
939412,944525,2025-01-30_14-19-13-249640,944526,5113,
944529,944565,2025-01-30_14-19-18-257019,944566,36,
949635,954760,2025-01-30_14-19-23-549412,954765,5125,
954768,959899,2025-01-30_14-19-28-527360,959900,5131,
959903,965023,2025-01-30_14-19-33-619256,965024,5120,
965032,965047,2025-01-30_14-19-38-745641,965048,15,
970137,975268,2025-01-30_14-19-43-899834,975269,5131,
975272,975335,2025-01-30_14-19-49-027394,975336,63,
980381,980442,2025-01-30_14-19-54-136683,980443,61,
985499,985522,2025-01-30_14-19-59-219322,985523,23,
990608,995714,2025-01-30_14-20-04-327865,995718,5106,
995722,995738,2025-01-30_14-20-09-437707,995739,16,
1000826,1000866,2025-01-30_14-20-14-547454,1000867,40,
1005934,1005953,2025-01-30_14-20-19-648481,1005954,19,
1011043,1011065,2025-01-30_14-20-24-760676,1011066,22,
1016185,1021321,2025-01-30_14-20-30-016551,1021322,5136,
1021325,1021360,2025-01-30_14-20-35-057025,1021361,35,
1026464,1026477,2025-01-30_14-20-40-177359,1026478,13,
1031588,1031613,2025-01-30_14-20-45-312914,1031614,25,
1036729,1036756,2025-01-30_14-20-50-457315,1036758,27,
1041854,1041871,2025-01-30_14-20-55-568393,1041875,17,
1046976,1046995,2025-01-30_14-21-00-693027,1046996,19,
1052103,1057236,2025-01-30_14-21-05-828815,1057238,5133,
1057241,1057302,2025-01-30_14-21-10-998510,1057304,61,
1062361,1062379,2025-01-30_14-21-16-076885,1062381,18,
1067499,1067520,2025-01-30_14-21-21-216243,1067521,21,
1072607,1072681,2025-01-30_14-21-26-334256,1072686,74,
1077756,1077773,2025-01-30_14-21-31-473966,1077774,17,
1082876,1082898,2025-01-30_14-21-36-598851,1082899,22,
1087998,1088013,2025-01-30_14-21-41-716654,1088017,15,
1093127,1098249,2025-01-30_14-21-46-916387,1098250,5122,
1098256,1098336,2025-01-30_14-21-52-028259,1098337,80,
