LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1738263926.855236,174787.000,25269,4,PG,1,100,6820
1738263926.855236,174787.000,25269,4,PG,1,100,6801
1738263926.855236,174787.000,25269,4,PG,1,100,6802
1738263926.855236,174787.000,25269,4,PG,1,100,6809
1738263926.864873,174796.636,25283,11,PG,1,100,6803
1738263926.874510,174806.273,25283,11,PG,1,100,6788
1738263926.884146,174815.909,25283,11,PG,1,100,6814
1738263926.893783,174825.545,25283,11,PG,1,100,6799
1738263926.903420,174835.182,25283,11,PG,1,100,6806
1738263926.913057,174844.818,25283,11,PG,1,100,6801
1738263926.922693,174854.455,25283,11,PG,1,100,6781
1738263926.932330,174864.091,25283,11,PG,1,100,6790
1738263926.941967,174873.727,25283,11,PG,1,100,6787
1738263926.951604,174883.364,25283,11,PG,1,100,6784
1738263926.961240,174893.000,25283,11,PG,1,100,6798
1738263926.971685,174903.444,25300,9,PG,1,100,6787
1738263926.982130,174913.889,25300,9,PG,1,100,6788
1738263926.992575,174924.333,25300,9,PG,1,100,6797
1738263927.003020,174934.778,25300,9,PG,1,100,6808
1738263927.013465,174945.222,25300,9,PG,1,100,6783
1738263927.023910,174955.667,25300,9,PG,1,100,6816
1738263927.034354,174966.111,25300,9,PG,1,100,6797
1738263927.044799,174976.556,25300,9,PG,1,100,6780
1738263927.055244,174987.000,25300,9,PG,1,100,6798
1738263927.065845,174997.600,25316,10,PG,1,100,6802
1738263927.076445,175008.200,25316,10,PG,1,100,6801
1738263927.087045,175018.800,25316,10,PG,1,100,6807
1738263927.097646,175029.400,25316,10,PG,1,100,6795
1738263927.108246,175040.000,25316,10,PG,1,100,6780
1738263927.118847,175050.600,25316,10,PG,1,100,6794
1738263927.129447,175061.200,25316,10,PG,1,100,6770
1738263927.140048,175071.800,25316,10,PG,1,100,6812
1738263927.150648,175082.400,25316,10,PG,1,100,6796
1738263927.161248,175093.000,25316,10,PG,1,100,6783
1738263927.170549,175102.300,25334,10,PG,1,100,6803
1738263927.179849,175111.600,25334,10,PG,1,100,6811
1738263927.189149,175120.900,25334,10,PG,1,100,6794
1738263927.198450,175130.200,25334,10,PG,1,100,6795
1738263927.207750,175139.500,25334,10,PG,1,100,6807
1738263927.217051,175148.800,25334,10,PG,1,100,6822
1738263927.226351,175158.100,25334,10,PG,1,100,6803
1738263927.235651,175167.400,25334,10,PG,1,100,6786
1738263927.244952,175176.700,25334,10,PG,1,100,6816
1738263927.254252,175186.000,25334,10,PG,1,100,6822
1738263927.264952,175196.700,25353,10,PG,1,100,6813
1738263927.275653,175207.400,25353,10,PG,1,100,6785
1738263927.286353,175218.100,25353,10,PG,1,100,6811
1738263927.297054,175228.800,25353,10,PG,1,100,6840
1738263927.307754,175239.500,25353,10,PG,1,100,6806
1738263927.318455,175250.200,25353,10,PG,1,100,6804
1738263927.329155,175260.900,25353,10,PG,1,100,6809
1738263927.339855,175271.600,25353,10,PG,1,100,6793
1738263927.350556,175282.300,25353,10,PG,1,100,6815
1738263927.361256,175293.000,25353,10,PG,1,100,6810
1738263927.370984,175302.727,25370,11,PG,1,100,6795
1738263927.380712,175312.455,25370,11,PG,1,100,6816
1738263927.390439,175322.182,25370,11,PG,1,100,6804
1738263927.400167,175331.909,25370,11,PG,1,100,6807
1738263927.409895,175341.636,25370,11,PG,1,100,6801
1738263927.419622,175351.364,25370,11,PG,1,100,6813
1738263927.429350,175361.091,25370,11,PG,1,100,6780
1738263927.439078,175370.818,25370,11,PG,1,100,6796
1738263927.448805,175380.545,25370,11,PG,1,100,6784
1738263927.458533,175390.273,25370,11,PG,1,100,6833
1738263927.468261,175400.000,25370,11,PG,1,100,6798
1738263927.478594,175410.333,25387,9,PG,1,100,6820
1738263927.488928,175420.667,25387,9,PG,1,100,6813
1738263927.499262,175431.000,25387,9,PG,1,100,6799
1738263927.509596,175441.333,25387,9,PG,1,100,6818
1738263927.519929,175451.667,25387,9,PG,1,100,6805
1738263927.530263,175462.000,25387,9,PG,1,100,6835
1738263927.540597,175472.333,25387,9,PG,1,100,6794
1738263927.550931,175482.667,25387,9,PG,1,100,6775
1738263927.561264,175493.000,25387,9,PG,1,100,6821
1738263927.570992,175502.727,25404,11,PG,1,100,6809
1738263927.580720,175512.455,25404,11,PG,1,100,6806
1738263927.590447,175522.182,25404,11,PG,1,100,6798
1738263927.600175,175531.909,25404,11,PG,1,100,6806
1738263927.609903,175541.636,25404,11,PG,1,100,6815
1738263927.619630,175551.364,25404,11,PG,1,100,6835
1738263927.629358,175561.091,25404,11,PG,1,100,6799
1738263927.639086,175570.818,25404,11,PG,1,100,6809
1738263927.648813,175580.545,25404,11,PG,1,100,6792
1738263927.658541,175590.273,25404,11,PG,1,100,6796
1738263927.668269,175600.000,25404,11,PG,1,100,6799
1738263927.678869,175610.600,25419,10,PG,1,100,6814
1738263927.689469,175621.200,25419,10,PG,1,100,6796
1738263927.700070,175631.800,25419,10,PG,1,100,6825
1738263927.710670,175642.400,25419,10,PG,1,100,6830
1738263927.721271,175653.000,25419,10,PG,1,100,6816
1738263927.731871,175663.600,25419,10,PG,1,100,6822
1738263927.742471,175674.200,25419,10,PG,1,100,6821
1738263927.753072,175684.800,25419,10,PG,1,100,6779
