LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1738263926.855236,174787.000,25267,4,PI,1,100,193777
1738263926.855236,174787.000,25267,4,PI,1,100,193774
1738263926.855236,174787.000,25267,4,PI,1,100,193772
1738263926.855236,174787.000,25267,4,PI,1,100,193771
1738263926.864873,174796.636,25281,11,PI,1,100,193790
1738263926.874510,174806.273,25281,11,PI,1,100,193757
1738263926.884146,174815.909,25281,11,PI,1,100,193743
1738263926.893783,174825.545,25281,11,PI,1,100,193744
1738263926.903420,174835.182,25281,11,PI,1,100,193769
1738263926.913057,174844.818,25281,11,PI,1,100,193745
1738263926.922693,174854.455,25281,11,PI,1,100,193708
1738263926.932330,174864.091,25281,11,PI,1,100,193731
1738263926.941967,174873.727,25281,11,PI,1,100,193693
1738263926.951604,174883.364,25281,11,PI,1,100,193652
1738263926.961240,174893.000,25281,11,PI,1,100,193678
1738263926.971685,174903.444,25298,9,PI,1,100,193650
1738263926.982130,174913.889,25298,9,PI,1,100,193623
1738263926.992575,174924.333,25298,9,PI,1,100,193639
1738263927.003020,174934.778,25298,9,PI,1,100,193625
1738263927.013465,174945.222,25298,9,PI,1,100,193662
1738263927.023910,174955.667,25298,9,PI,1,100,193685
1738263927.034354,174966.111,25298,9,PI,1,100,193612
1738263927.044799,174976.556,25298,9,PI,1,100,193614
1738263927.055244,174987.000,25298,9,PI,1,100,193598
1738263927.065845,174997.600,25314,10,PI,1,100,193588
1738263927.076445,175008.200,25314,10,PI,1,100,193610
1738263927.087045,175018.800,25314,10,PI,1,100,193591
1738263927.097646,175029.400,25314,10,PI,1,100,193580
1738263927.108246,175040.000,25314,10,PI,1,100,193595
1738263927.118847,175050.600,25314,10,PI,1,100,193592
1738263927.129447,175061.200,25314,10,PI,1,100,193587
1738263927.140048,175071.800,25314,10,PI,1,100,193585
1738263927.150648,175082.400,25314,10,PI,1,100,193579
1738263927.161248,175093.000,25314,10,PI,1,100,193562
1738263927.170549,175102.300,25332,10,PI,1,100,193543
1738263927.179849,175111.600,25332,10,PI,1,100,193601
1738263927.189149,175120.900,25332,10,PI,1,100,193582
