LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1738263926.828235,174760.000,25273,1,GX,1,100,0.031
1738263926.868237,174800.000,25290,3,GX,1,100,0.305
1738263926.908238,174840.000,25290,3,GX,1,100,0.336
1738263926.948240,174880.000,25290,3,GX,1,100,-1.038
1738263926.988241,174920.000,25307,2,GX,1,100,1.434
1738263927.028243,174960.000,25307,2,GX,1,100,-0.092
1738263927.068245,175000.000,25323,3,GX,1,100,-1.038
1738263927.108246,175040.000,25323,3,GX,1,100,-0.244
1738263927.148248,175080.000,25323,3,GX,1,100,0.061
1738263927.188249,175120.000,25340,2,GX,1,100,-0.031
1738263927.228251,175160.000,25340,2,GX,1,100,-0.153
1738263927.268253,175200.000,25360,3,GX,1,100,0.092
1738263927.308254,175240.000,25360,3,GX,1,100,0.153
1738263927.348256,175280.000,25360,3,GX,1,100,0.031
1738263927.388258,175320.000,25377,2,GX,1,100,-0.061
1738263927.428259,175360.000,25377,2,GX,1,100,0.183
1738263927.468261,175400.000,25394,3,GX,1,100,-0.336
1738263927.508262,175440.000,25394,3,GX,1,100,-0.031
1738263927.548264,175480.000,25394,3,GX,1,100,0.031
1738263927.588265,175520.000,25410,3,GX,1,100,-0.031
1738263927.628267,175560.000,25410,3,GX,1,100,-0.061
1738263927.668269,175600.000,25410,3,GX,1,100,0.000
1738263927.708270,175640.000,25426,2,GX,1,100,-0.275
1738263927.748272,175680.000,25426,2,GX,1,100,-0.122
1738263927.788273,175720.000,25443,3,GX,1,100,-0.580
1738263927.828275,175760.000,25443,3,GX,1,100,0.061
1738263927.868277,175800.000,25443,3,GX,1,100,0.122
1738263927.908278,175840.000,25460,2,GX,1,100,0.519
1738263927.948280,175880.000,25460,2,GX,1,100,0.061
1738263927.988281,175920.000,25477,3,GX,1,100,-0.244
1738263928.028283,175960.000,25477,3,GX,1,100,0.366
1738263928.068285,176000.000,25477,3,GX,1,100,-0.214
1738263928.108286,176040.000,25492,2,GX,1,100,-0.549
1738263928.148288,176080.000,25492,2,GX,1,100,-0.580
1738263928.188289,176120.000,25510,3,GX,1,100,-0.336
1738263928.228291,176160.000,25510,3,GX,1,100,-0.366
1738263928.268292,176200.000,25510,3,GX,1,100,-0.427
1738263928.314794,176246.500,25526,2,GX,1,100,-1.129
1738263928.361296,176293.000,25526,2,GX,1,100,-1.160
1738263928.401298,176333.000,25543,3,GX,1,100,0.702
