LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1738265309.316821,1583486.000,47421,1,AX,1,100,-0.563
1738265309.366191,1583532.500,47438,2,AX,1,100,-0.560
1738265309.415561,1583579.000,47438,2,AX,1,100,-0.562
1738265309.458383,1583619.333,47454,3,AX,1,100,-0.560
1738265309.501206,1583659.667,47454,3,AX,1,100,-0.559
1738265309.544028,1583700.000,47454,3,AX,1,100,-0.561
1738265309.585966,1583739.500,47470,2,AX,1,100,-0.559
1738265309.627904,1583779.000,47470,2,AX,1,100,-0.568
1738265309.670372,1583819.000,47485,3,AX,1,100,-0.557
1738265309.712841,1583859.000,47485,3,AX,1,100,-0.559
1738265309.755310,1583899.000,47485,3,AX,1,100,-0.561
1738265309.798309,1583939.500,47500,2,AX,1,100,-0.562
1738265309.841309,1583980.000,47500,2,AX,1,100,-0.557
1738265309.883777,1584020.000,47517,3,AX,1,100,-0.560
1738265309.926246,1584060.000,47517,3,AX,1,100,-0.557
1738265309.968714,1584100.000,47517,3,AX,1,100,-0.557
1738265310.011183,1584140.000,47532,2,AX,1,100,-0.558
1738265310.053652,1584180.000,47532,2,AX,1,100,-0.559
1738265310.095766,1584219.667,47547,3,AX,1,100,-0.564
1738265310.137881,1584259.333,47547,3,AX,1,100,-0.565
1738265310.179996,1584299.000,47547,3,AX,1,100,-0.557
1738265310.222464,1584339.000,47565,3,AX,1,100,-0.560
1738265310.264933,1584379.000,47565,3,AX,1,100,-0.557
1738265310.307402,1584419.000,47565,3,AX,1,100,-0.560
1738265310.349870,1584459.000,47583,2,AX,1,100,-0.559
1738265310.392339,1584499.000,47583,2,AX,1,100,-0.571
1738265310.434807,1584539.000,47598,3,AX,1,100,-0.559
1738265310.477276,1584579.000,47598,3,AX,1,100,-0.557
1738265310.519745,1584619.000,47598,3,AX,1,100,-0.559
1738265310.569645,1584666.000,47613,2,AX,1,100,-0.553
1738265310.619546,1584713.000,47613,2,AX,1,100,-0.561
1738265310.662014,1584753.000,47629,2,AX,1,100,-0.557
1738265310.704483,1584793.000,47629,2,AX,1,100,-0.560
1738265310.746952,1584833.000,47645,3,AX,1,100,-0.561
1738265310.789420,1584873.000,47645,3,AX,1,100,-0.558
1738265310.831889,1584913.000,47645,3,AX,1,100,-0.561
1738265310.874357,1584953.000,47660,2,AX,1,100,-0.562
1738265310.916826,1584993.000,47660,2,AX,1,100,-0.561
1738265310.959295,1585033.000,47679,3,AX,1,100,-0.557
1738265311.001763,1585073.000,47679,3,AX,1,100,-0.565
1738265311.044232,1585113.000,47679,3,AX,1,100,-0.563
1738265311.086701,1585153.000,47693,3,AX,1,100,-0.560
1738265311.129169,1585193.000,47693,3,AX,1,100,-0.562
1738265311.171638,1585233.000,47693,3,AX,1,100,-0.565
1738265311.213753,1585272.667,47714,3,AX,1,100,-0.567
1738265311.255867,1585312.333,47714,3,AX,1,100,-0.553
1738265311.297982,1585352.000,47714,3,AX,1,100,-0.559
1738265311.340805,1585392.333,47730,3,AX,1,100,-0.558
1738265311.383627,1585432.667,47730,3,AX,1,100,-0.559
1738265311.426450,1585473.000,47730,3,AX,1,100,-0.559
1738265311.468387,1585512.500,47748,2,AX,1,100,-0.560
1738265311.510325,1585552.000,47748,2,AX,1,100,-0.555
1738265311.553148,1585592.333,47763,3,AX,1,100,-0.563
1738265311.595970,1585632.667,47763,3,AX,1,100,-0.560
1738265311.638793,1585673.000,47763,3,AX,1,100,-0.562
1738265311.681261,1585713.000,47779,2,AX,1,100,-0.560
1738265311.723730,1585753.000,47779,2,AX,1,100,-0.566
1738265311.770799,1585797.333,47794,3,AX,1,100,-0.562
1738265311.817868,1585841.667,47794,3,AX,1,100,-0.565
1738265311.864938,1585886.000,47794,3,AX,1,100,-0.563
1738265311.907407,1585926.000,47810,2,AX,1,100,-0.562
1738265311.949875,1585966.000,47810,2,AX,1,100,-0.565
1738265311.992344,1586006.000,47826,3,AX,1,100,-0.564
1738265312.034812,1586046.000,47826,3,AX,1,100,-0.562
1738265312.077281,1586086.000,47826,3,AX,1,100,-0.566
1738265312.119750,1586126.000,47841,2,AX,1,100,-0.565
1738265312.162218,1586166.000,47841,2,AX,1,100,-0.564
1738265312.204687,1586206.000,47856,3,AX,1,100,-0.563
1738265312.247155,1586246.000,47856,3,AX,1,100,-0.564
1738265312.289624,1586286.000,47856,3,AX,1,100,-0.567
1738265312.332093,1586326.000,47872,2,AX,1,100,-0.561
1738265312.374561,1586366.000,47872,2,AX,1,100,-0.565
1738265312.417030,1586406.000,47888,3,AX,1,100,-0.572
1738265312.459499,1586446.000,47888,3,AX,1,100,-0.565
1738265312.501967,1586486.000,47888,3,AX,1,100,-0.563
1738265312.544436,1586526.000,47904,2,AX,1,100,-0.567
1738265312.586904,1586566.000,47904,2,AX,1,100,-0.564
1738265312.629373,1586606.000,47920,3,AX,1,100,-0.565
1738265312.671842,1586646.000,47920,3,AX,1,100,-0.565
1738265312.714310,1586686.000,47920,3,AX,1,100,-0.572
1738265312.756779,1586726.000,47937,2,AX,1,100,-0.568
1738265312.799248,1586766.000,47937,2,AX,1,100,-0.553
1738265312.841716,1586806.000,47952,3,AX,1,100,-0.582
1738265312.884185,1586846.000,47952,3,AX,1,100,-0.569
1738265312.926653,1586886.000,47952,3,AX,1,100,-0.564
1738265312.976023,1586932.500,47968,2,AX,1,100,-0.574
1738265313.025393,1586979.000,47968,2,AX,1,100,-0.571
1738265313.067861,1587019.000,47983,3,AX,1,100,-0.568
1738265313.110330,1587059.000,47983,3,AX,1,100,-0.567
1738265313.152799,1587099.000,47983,3,AX,1,100,-0.571
1738265313.195267,1587139.000,47999,2,AX,1,100,-0.569
1738265313.237736,1587179.000,47999,2,AX,1,100,-0.571
1738265313.280205,1587219.000,48014,3,AX,1,100,-0.574
1738265313.322673,1587259.000,48014,3,AX,1,100,-0.571
1738265313.365142,1587299.000,48014,3,AX,1,100,-0.569
1738265313.407610,1587339.000,48031,2,AX,1,100,-0.571
1738265313.450079,1587379.000,48031,2,AX,1,100,-0.571
1738265313.492548,1587419.000,48045,3,AX,1,100,-0.573
1738265313.535016,1587459.000,48045,3,AX,1,100,-0.568
1738265313.577485,1587499.000,48045,3,AX,1,100,-0.571
1738265313.619953,1587539.000,48061,2,AX,1,100,-0.569
1738265313.662422,1587579.000,48061,2,AX,1,100,-0.571
1738265313.704890,1587619.000,48076,3,AX,1,100,-0.566
1738265313.747359,1587659.000,48076,3,AX,1,100,-0.578
1738265313.789828,1587699.000,48076,3,AX,1,100,-0.567
1738265313.832296,1587739.000,48093,2,AX,1,100,-0.571
1738265313.874765,1587779.000,48093,2,AX,1,100,-0.569
1738265313.917234,1587819.000,48107,3,AX,1,100,-0.573
1738265313.959702,1587859.000,48107,3,AX,1,100,-0.572
1738265314.002171,1587899.000,48107,3,AX,1,100,-0.573
1738265314.044640,1587939.000,48123,3,AX,1,100,-0.574
1738265314.087108,1587979.000,48123,3,AX,1,100,-0.575
1738265314.129577,1588019.000,48123,3,AX,1,100,-0.579
1738265314.178946,1588065.500,48139,2,AX,1,100,-0.568
1738265314.228316,1588112.000,48139,2,AX,1,100,-0.570
1738265314.271316,1588152.500,48155,2,AX,1,100,-0.575
1738265314.314315,1588193.000,48155,2,AX,1,100,-0.574
1738265314.356430,1588232.667,48169,3,AX,1,100,-0.575
1738265314.398545,1588272.333,48169,3,AX,1,100,-0.572
1738265314.440659,1588312.000,48169,3,AX,1,100,-0.573
1738265314.483128,1588352.000,48186,2,AX,1,100,-0.576
1738265314.525597,1588392.000,48186,2,AX,1,100,-0.575
1738265314.568065,1588432.000,48201,3,AX,1,100,-0.575
1738265314.610534,1588472.000,48201,3,AX,1,100,-0.576
1738265314.653003,1588512.000,48201,3,AX,1,100,-0.577
1738265314.695471,1588552.000,48217,3,AX,1,100,-0.578
1738265314.737940,1588592.000,48217,3,AX,1,100,-0.583
1738265314.780408,1588632.000,48217,3,AX,1,100,-0.580
1738265314.822877,1588672.000,48232,2,AX,1,100,-0.574
1738265314.865345,1588712.000,48232,2,AX,1,100,-0.579
1738265314.907814,1588752.000,48248,3,AX,1,100,-0.578
1738265314.950283,1588792.000,48248,3,AX,1,100,-0.575
1738265314.992751,1588832.000,48248,3,AX,1,100,-0.578
1738265315.035220,1588872.000,48263,2,AX,1,100,-0.588
1738265315.077688,1588912.000,48263,2,AX,1,100,-0.594
1738265315.120157,1588952.000,48279,3,AX,1,100,-0.584
1738265315.162626,1588992.000,48279,3,AX,1,100,-0.583
1738265315.205094,1589032.000,48279,3,AX,1,100,-0.578
1738265315.247563,1589072.000,48295,2,AX,1,100,-0.581
1738265315.290032,1589112.000,48295,2,AX,1,100,-0.577
1738265315.339932,1589159.000,48310,2,AX,1,100,-0.576
1738265315.389833,1589206.000,48310,2,AX,1,100,-0.579
1738265315.432302,1589246.000,48325,3,AX,1,100,-0.576
1738265315.474770,1589286.000,48325,3,AX,1,100,-0.573
1738265315.517239,1589326.000,48325,3,AX,1,100,-0.579
1738265315.559707,1589366.000,48342,2,AX,1,100,-0.583
1738265315.602176,1589406.000,48342,2,AX,1,100,-0.581
1738265315.644644,1589446.000,48359,3,AX,1,100,-0.580
1738265315.687113,1589486.000,48359,3,AX,1,100,-0.581
1738265315.729582,1589526.000,48359,3,AX,1,100,-0.583
1738265315.772050,1589566.000,48374,3,AX,1,100,-0.581
1738265315.814519,1589606.000,48374,3,AX,1,100,-0.584
1738265315.856987,1589646.000,48374,3,AX,1,100,-0.578
1738265315.898925,1589685.500,48390,2,AX,1,100,-0.584
1738265315.940863,1589725.000,48390,2,AX,1,100,-0.586
1738265315.983332,1589765.000,48406,3,AX,1,100,-0.581
1738265316.025800,1589805.000,48406,3,AX,1,100,-0.578
1738265316.068269,1589845.000,48406,3,AX,1,100,-0.579
1738265316.110738,1589885.000,48421,2,AX,1,100,-0.589
1738265316.153206,1589925.000,48421,2,AX,1,100,-0.586
1738265316.196029,1589965.333,48436,3,AX,1,100,-0.582
1738265316.238851,1590005.667,48436,3,AX,1,100,-0.590
1738265316.281674,1590046.000,48436,3,AX,1,100,-0.582
1738265316.324142,1590086.000,48452,2,AX,1,100,-0.585
1738265316.366611,1590126.000,48452,2,AX,1,100,-0.585
1738265316.408726,1590165.667,48468,3,AX,1,100,-0.583
1738265316.450840,1590205.333,48468,3,AX,1,100,-0.589
1738265316.492955,1590245.000,48468,3,AX,1,100,-0.591
1738265316.542856,1590292.000,48483,2,AX,1,100,-0.581
1738265316.592756,1590339.000,48483,2,AX,1,100,-0.586
1738265316.635225,1590379.000,48505,4,AX,1,100,-0.592
1738265316.677694,1590419.000,48505,4,AX,1,100,-0.583
1738265316.720162,1590459.000,48505,4,AX,1,100,-0.589
1738265316.762631,1590499.000,48505,4,AX,1,100,-0.590
1738265316.805099,1590539.000,48520,2,AX,1,100,-0.577
1738265316.847568,1590579.000,48520,2,AX,1,100,-0.589
1738265316.890037,1590619.000,48535,3,AX,1,100,-0.584
1738265316.932505,1590659.000,48535,3,AX,1,100,-0.589
1738265316.974974,1590699.000,48535,3,AX,1,100,-0.596
1738265317.017442,1590739.000,48551,2,AX,1,100,-0.584
1738265317.059911,1590779.000,48551,2,AX,1,100,-0.586
1738265317.102380,1590819.000,48567,3,AX,1,100,-0.596
1738265317.144848,1590859.000,48567,3,AX,1,100,-0.582
1738265317.187317,1590899.000,48567,3,AX,1,100,-0.589
1738265317.229785,1590939.000,48582,2,AX,1,100,-0.595
1738265317.272254,1590979.000,48582,2,AX,1,100,-0.581
1738265317.314723,1591019.000,48598,3,AX,1,100,-0.601
1738265317.357191,1591059.000,48598,3,AX,1,100,-0.579
1738265317.399660,1591099.000,48598,3,AX,1,100,-0.588
1738265317.442129,1591139.000,48613,2,AX,1,100,-0.592
1738265317.484597,1591179.000,48613,2,AX,1,100,-0.593
1738265317.527066,1591219.000,48629,3,AX,1,100,-0.592
1738265317.569534,1591259.000,48629,3,AX,1,100,-0.586
1738265317.612003,1591299.000,48629,3,AX,1,100,-0.588
1738265317.654472,1591339.000,48645,2,AX,1,100,-0.585
1738265317.696940,1591379.000,48645,2,AX,1,100,-0.577
1738265317.744009,1591423.333,48660,3,AX,1,100,-0.589
1738265317.791079,1591467.667,48660,3,AX,1,100,-0.585
1738265317.838148,1591512.000,48660,3,AX,1,100,-0.590
1738265317.880617,1591552.000,48675,2,AX,1,100,-0.585
1738265317.923086,1591592.000,48675,2,AX,1,100,-0.589
1738265317.965554,1591632.000,48691,3,AX,1,100,-0.591
1738265318.008023,1591672.000,48691,3,AX,1,100,-0.575
1738265318.050491,1591712.000,48691,3,AX,1,100,-0.575
