LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1738263920.670818,191937.000,27893,1,T1,1,100,33.286
1738263920.803823,192070.000,27911,1,T1,1,100,33.372
1738263920.937829,192204.000,27927,1,T1,1,100,33.196
1738263921.070833,192337.000,27966,1,T1,1,100,33.298
1738263921.203839,192470.000,27982,1,T1,1,100,33.306
1738263921.337844,192604.000,27998,1,T1,1,100,33.416
1738263921.470849,192737.000,28030,1,T1,1,100,33.428
1738263921.603854,192870.000,28047,1,T1,1,100,33.327
1738263921.737859,193004.000,28062,1,T1,1,100,33.319
1738263921.870864,193137.000,28095,1,T1,1,100,33.351
1738263922.003869,193270.000,28111,1,T1,1,100,33.329
1738263922.137874,193404.000,28126,1,T1,1,100,33.249
1738263922.270879,193537.000,28144,1,T1,1,100,33.356
1738263922.403884,193670.000,28179,1,T1,1,100,33.402
1738263922.537889,193804.000,28194,1,T1,1,100,33.387
1738263922.670894,193937.000,28211,1,T1,1,100,33.345
1738263922.803899,194070.000,28241,1,T1,1,100,33.397
1738263922.937904,194204.000,28257,1,T1,1,100,33.420
1738263923.070909,194337.000,28273,1,T1,1,100,33.430
1738263923.203914,194470.000,28304,1,T1,1,100,33.328
1738263923.336919,194603.000,28321,1,T1,1,100,33.496
1738263923.470924,194737.000,28337,1,T1,1,100,33.498
1738263923.603930,194870.000,28368,1,T1,1,100,33.464
1738263923.736935,195003.000,28385,1,T1,1,100,33.449
1738263923.870940,195137.000,28401,1,T1,1,100,33.478
1738263924.003945,195270.000,28434,1,T1,1,100,33.561
1738263924.136950,195403.000,28449,1,T1,1,100,33.562
1738263924.270955,195537.000,28466,1,T1,1,100,33.420
1738263924.403960,195670.000,28481,1,T1,1,100,33.466
1738263924.536965,195803.000,28513,1,T1,1,100,33.450
1738263924.670970,195937.000,28530,1,T1,1,100,33.407
1738263924.803975,196070.000,28545,1,T1,1,100,33.354
1738263924.936980,196203.000,28576,1,T1,1,100,33.401
1738263925.070985,196337.000,28592,1,T1,1,100,33.422
1738263925.203990,196470.000,28607,1,T1,1,100,33.395
1738263925.336995,196603.000,28638,1,T1,1,100,33.455
1738263925.471000,196737.000,28654,1,T1,1,100,33.445
1738263925.604005,196870.000,28672,1,T1,1,100,33.441
1738263925.737010,197003.000,28702,1,T1,1,100,33.474
1738263925.870015,197136.000,28718,1,T1,1,100,33.418
1738263926.004020,197270.000,28734,1,T1,1,100,33.465
1738263926.137026,197403.000,28772,1,T1,1,100,33.520
1738263926.270031,197536.000,28790,1,T1,1,100,33.509
1738263926.404036,197670.000,28806,1,T1,1,100,33.539
1738263926.537041,197803.000,28823,1,T1,1,100,33.552
1738263926.670046,197936.000,28856,1,T1,1,100,33.452
1738263926.804051,198070.000,28872,1,T1,1,100,33.479
1738263926.937056,198203.000,28890,1,T1,1,100,33.526
1738263927.070061,198336.000,28922,1,T1,1,100,33.618
1738263927.204066,198470.000,28938,1,T1,1,100,33.480
1738263927.337071,198603.000,28956,1,T1,1,100,33.527
1738263927.470076,198736.000,28988,1,T1,1,100,33.441
1738263927.604081,198870.000,29005,1,T1,1,100,33.403
1738263927.737086,199003.000,29022,1,T1,1,100,33.458
1738263927.870091,199136.000,29055,1,T1,1,100,33.482
1738263928.004097,199270.000,29071,1,T1,1,100,33.528
1738263928.137101,199403.000,29088,1,T1,1,100,33.476
1738263928.270107,199536.000,29123,1,T1,1,100,33.454
1738263928.404112,199670.000,29139,1,T1,1,100,33.551
1738263928.537117,199803.000,29156,1,T1,1,100,33.593
1738263928.670122,199936.000,29173,1,T1,1,100,33.540
1738263928.804127,200070.000,29205,1,T1,1,100,33.517
1738263928.937132,200203.000,29223,1,T1,1,100,33.508
1738263929.070137,200336.000,29239,1,T1,1,100,33.468
1738263929.203142,200469.000,29272,1,T1,1,100,33.557
1738263929.337147,200603.000,29289,1,T1,1,100,33.489
1738263929.470152,200736.000,29305,1,T1,1,100,33.602
1738263929.603157,200869.000,29340,1,T1,1,100,33.615
1738263929.737162,201003.000,29357,1,T1,1,100,33.550
1738263929.870167,201136.000,29373,1,T1,1,100,33.628
1738263930.003172,201269.000,29391,1,T1,1,100,33.555
1738263930.137177,201403.000,29423,1,T1,1,100,33.595
1738263930.270182,201536.000,29440,1,T1,1,100,33.576
1738263930.403187,201669.000,29457,1,T1,1,100,33.498
1738263930.537193,201803.000,29488,1,T1,1,100,33.534
1738263930.670197,201936.000,29505,1,T1,1,100,33.550
1738263930.803203,202069.000,29521,1,T1,1,100,33.593
1738263930.937208,202203.000,29556,1,T1,1,100,33.540
1738263931.070213,202336.000,29571,1,T1,1,100,33.517
1738263931.203218,202469.000,29592,1,T1,1,100,33.543
1738263931.337223,202603.000,29623,1,T1,1,100,33.554
1738263931.470228,202736.000,29638,1,T1,1,100,33.594
1738263931.603233,202869.000,29655,1,T1,1,100,33.576
1738263931.737238,203003.000,29670,1,T1,1,100,33.568
1738263931.870243,203136.000,29700,1,T1,1,100,33.565
