LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1738265309.330623,1583499.000,47419,3,PR,1,100,90984
1738265309.330623,1583499.000,47419,3,PR,1,100,90992
1738265309.330623,1583499.000,47419,3,PR,1,100,90995
1738265309.340951,1583508.727,47433,11,PR,1,100,90979
1738265309.351279,1583518.455,47433,11,PR,1,100,91000
1738265309.361606,1583528.182,47433,11,PR,1,100,90979
1738265309.371934,1583537.909,47433,11,PR,1,100,90998
1738265309.382262,1583547.636,47433,11,PR,1,100,91001
1738265309.392589,1583557.364,47433,11,PR,1,100,90973
1738265309.402917,1583567.091,47433,11,PR,1,100,90971
1738265309.413244,1583576.818,47433,11,PR,1,100,90996
1738265309.423572,1583586.545,47433,11,PR,1,100,91028
1738265309.433899,1583596.273,47433,11,PR,1,100,91023
1738265309.444227,1583606.000,47433,11,PR,1,100,90976
1738265309.455316,1583616.444,47449,9,PR,1,100,90998
1738265309.466405,1583626.889,47449,9,PR,1,100,91008
1738265309.477494,1583637.333,47449,9,PR,1,100,90977
1738265309.488583,1583647.778,47449,9,PR,1,100,90993
1738265309.499672,1583658.222,47449,9,PR,1,100,91006
1738265309.510761,1583668.667,47449,9,PR,1,100,91000
1738265309.521850,1583679.111,47449,9,PR,1,100,91015
1738265309.532939,1583689.556,47449,9,PR,1,100,90986
1738265309.544028,1583700.000,47449,9,PR,1,100,90962
1738265309.555282,1583710.600,47465,10,PR,1,100,91031
1738265309.566537,1583721.200,47465,10,PR,1,100,90971
1738265309.577791,1583731.800,47465,10,PR,1,100,91041
1738265309.589045,1583742.400,47465,10,PR,1,100,91010
1738265309.600299,1583753.000,47465,10,PR,1,100,91008
1738265309.611553,1583763.600,47465,10,PR,1,100,91019
1738265309.622808,1583774.200,47465,10,PR,1,100,91023
1738265309.634062,1583784.800,47465,10,PR,1,100,91016
1738265309.645316,1583795.400,47465,10,PR,1,100,91002
1738265309.656570,1583806.000,47465,10,PR,1,100,91001
1738265309.666898,1583815.727,47481,11,PR,1,100,91028
1738265309.677225,1583825.455,47481,11,PR,1,100,90992
1738265309.687553,1583835.182,47481,11,PR,1,100,90995
1738265309.697881,1583844.909,47481,11,PR,1,100,90982
1738265309.708208,1583854.636,47481,11,PR,1,100,90981
1738265309.718536,1583864.364,47481,11,PR,1,100,90973
1738265309.728863,1583874.091,47481,11,PR,1,100,91001
1738265309.739191,1583883.818,47481,11,PR,1,100,91019
1738265309.749518,1583893.545,47481,11,PR,1,100,90980
1738265309.759846,1583903.273,47481,11,PR,1,100,91017
1738265309.770174,1583913.000,47481,11,PR,1,100,90985
1738265309.781145,1583923.333,47495,9,PR,1,100,90962
1738265309.792116,1583933.667,47495,9,PR,1,100,90969
1738265309.803087,1583944.000,47495,9,PR,1,100,90972
1738265309.814058,1583954.333,47495,9,PR,1,100,90969
1738265309.825029,1583964.667,47495,9,PR,1,100,90972
1738265309.836000,1583975.000,47495,9,PR,1,100,91012
1738265309.846971,1583985.333,47495,9,PR,1,100,90957
1738265309.857942,1583995.667,47495,9,PR,1,100,90979
1738265309.868913,1584006.000,47495,9,PR,1,100,90967
1738265309.879241,1584015.727,47512,11,PR,1,100,91006
1738265309.889568,1584025.455,47512,11,PR,1,100,90976
1738265309.899896,1584035.182,47512,11,PR,1,100,90981
1738265309.910223,1584044.909,47512,11,PR,1,100,90944
1738265309.920551,1584054.636,47512,11,PR,1,100,90955
1738265309.930879,1584064.364,47512,11,PR,1,100,90980
1738265309.941206,1584074.091,47512,11,PR,1,100,90979
1738265309.951534,1584083.818,47512,11,PR,1,100,90993
1738265309.961862,1584093.545,47512,11,PR,1,100,90971
1738265309.972189,1584103.273,47512,11,PR,1,100,90977
1738265309.982517,1584113.000,47512,11,PR,1,100,90970
1738265309.993488,1584123.333,47527,9,PR,1,100,90972
1738265310.004459,1584133.667,47527,9,PR,1,100,90965
1738265310.015430,1584144.000,47527,9,PR,1,100,90945
