LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1738263926.235029,197501.000,28766,4,DC,2,100,EA
1738263926.235029,197501.000,28766,4,DC,2,100,1
1738263926.235029,197501.000,28766,4,DC,2,100,EL
1738263926.235029,197501.000,28766,4,DC,2,100,1
1738263926.260280,197526.250,28784,4,DC,2,100,EA
1738263926.285531,197551.500,28784,4,DC,2,100,1
1738263926.310782,197576.750,28784,4,DC,2,100,EL
1738263926.336033,197602.000,28784,4,DC,2,100,1
1738263926.362034,197628.000,28800,4,DC,2,100,EA
1738263926.388035,197654.000,28800,4,DC,2,100,2
1738263926.414036,197680.000,28800,4,DC,2,100,EL
1738263926.440037,197706.000,28800,4,DC,2,100,2
1738263926.464788,197730.750,28817,4,DC,2,100,EA
1738263926.489539,197755.500,28817,4,DC,2,100,1
1738263926.514290,197780.250,28817,4,DC,2,100,EL
1738263926.539041,197805.000,28817,4,DC,2,100,1
1738263926.564792,197830.750,28834,4,DC,2,100,EA
1738263926.590543,197856.500,28834,4,DC,2,100,2
1738263926.616294,197882.250,28834,4,DC,2,100,EL
1738263926.642045,197908.000,28834,4,DC,2,100,2
1738263926.667046,197933.000,28850,4,DC,2,100,EA
1738263926.692047,197958.000,28850,4,DC,2,100,1
1738263926.717048,197983.000,28850,4,DC,2,100,EL
1738263926.742049,198008.000,28850,4,DC,2,100,1
1738263926.767299,198033.250,28866,4,DC,2,100,EA
1738263926.792551,198058.500,28866,4,DC,2,100,2
1738263926.817801,198083.750,28866,4,DC,2,100,EL
1738263926.843052,198109.000,28866,4,DC,2,100,2
1738263926.869053,198135.000,28884,4,DC,2,100,EA
1738263926.895054,198161.000,28884,4,DC,2,100,2
1738263926.921055,198187.000,28884,4,DC,2,100,EL
1738263926.947056,198213.000,28884,4,DC,2,100,2
1738263926.972057,198238.000,28900,4,DC,2,100,EA
1738263926.997058,198263.000,28900,4,DC,2,100,1
1738263927.022059,198288.000,28900,4,DC,2,100,EL
1738263927.047060,198313.000,28900,4,DC,2,100,1
1738263927.072311,198338.250,28916,4,DC,2,100,EA
1738263927.097562,198363.500,28916,4,DC,2,100,2
1738263927.122813,198388.750,28916,4,DC,2,100,EL
1738263927.148064,198414.000,28916,4,DC,2,100,2
1738263927.174065,198440.000,28932,4,DC,2,100,EA
1738263927.200066,198466.000,28932,4,DC,2,100,1
1738263927.226067,198492.000,28932,4,DC,2,100,EL
1738263927.252068,198518.000,28932,4,DC,2,100,1
1738263927.276819,198542.750,28950,4,DC,2,100,EA
1738263927.301570,198567.500,28950,4,DC,2,100,2
1738263927.326321,198592.250,28950,4,DC,2,100,EL
1738263927.351072,198617.000,28950,4,DC,2,100,2
1738263927.376823,198642.750,28966,4,DC,2,100,EA
1738263927.402574,198668.500,28966,4,DC,2,100,1
1738263927.428324,198694.250,28966,4,DC,2,100,EL
1738263927.454076,198720.000,28966,4,DC,2,100,1
1738263927.479076,198745.000,28982,4,DC,2,100,EA
1738263927.504077,198770.000,28982,4,DC,2,100,2
1738263927.529078,198795.000,28982,4,DC,2,100,EL
1738263927.554079,198820.000,28982,4,DC,2,100,2
1738263927.579580,198845.500,28999,4,DC,2,100,EA
1738263927.605081,198871.000,28999,4,DC,2,100,1
1738263927.630582,198896.500,28999,4,DC,2,100,EL
1738263927.656083,198922.000,28999,4,DC,2,100,1
1738263927.682084,198948.000,29016,4,DC,2,100,EA
1738263927.708085,198974.000,29016,4,DC,2,100,2
1738263927.734086,199000.000,29016,4,DC,2,100,EL
1738263927.760087,199026.000,29016,4,DC,2,100,2
1738263927.785088,199051.000,29032,4,DC,2,100,EA
1738263927.810089,199076.000,29032,4,DC,2,100,1
1738263927.835090,199101.000,29032,4,DC,2,100,EL
1738263927.860091,199126.000,29032,4,DC,2,100,1
1738263927.885342,199151.250,29049,4,DC,2,100,EA
1738263927.910593,199176.500,29049,4,DC,2,100,2
1738263927.935844,199201.750,29049,4,DC,2,100,EL
1738263927.961095,199227.000,29049,4,DC,2,100,2
1738263927.986346,199252.250,29065,4,DC,2,100,EA
1738263928.011597,199277.500,29065,4,DC,2,100,1
1738263928.036848,199302.750,29065,4,DC,2,100,EL
1738263928.062099,199328.000,29065,4,DC,2,100,1
1738263928.087350,199353.250,29082,4,DC,2,100,EA
1738263928.112601,199378.500,29082,4,DC,2,100,2
1738263928.137851,199403.750,29082,4,DC,2,100,EL
1738263928.163102,199429.000,29082,4,DC,2,100,2
1738263928.189103,199455.000,29098,4,DC,2,100,EA
1738263928.215104,199481.000,29098,4,DC,2,100,1
1738263928.241105,199507.000,29098,4,DC,2,100,EL
1738263928.267106,199533.000,29098,4,DC,2,100,1
1738263928.292357,199558.250,29117,4,DC,2,100,EA
1738263928.317608,199583.500,29117,4,DC,2,100,2
1738263928.342859,199608.750,29117,4,DC,2,100,EL
1738263928.368110,199634.000,29117,4,DC,2,100,2
1738263928.393111,199659.000,29133,4,DC,2,100,EA
1738263928.418112,199684.000,29133,4,DC,2,100,1
1738263928.443113,199709.000,29133,4,DC,2,100,EL
1738263928.468114,199734.000,29133,4,DC,2,100,1
1738263928.494865,199760.750,29150,4,DC,2,100,EA
1738263928.521616,199787.500,29150,4,DC,2,100,2
1738263928.548367,199814.250,29150,4,DC,2,100,EL
1738263928.575118,199841.000,29150,4,DC,2,100,2
1738263928.601369,199867.250,29167,4,DC,2,100,EA
1738263928.627620,199893.500,29167,4,DC,2,100,2
1738263928.653871,199919.750,29167,4,DC,2,100,EL
1738263928.680122,199946.000,29167,4,DC,2,100,2
1738263928.705123,199971.000,29184,4,DC,2,100,EA
1738263928.730124,199996.000,29184,4,DC,2,100,1
1738263928.755125,200021.000,29184,4,DC,2,100,EL
1738263928.780126,200046.000,29184,4,DC,2,100,1
1738263928.805377,200071.250,29199,4,DC,2,100,EA
1738263928.830628,200096.500,29199,4,DC,2,100,2
1738263928.855879,200121.750,29199,4,DC,2,100,EL
1738263928.881130,200147.000,29199,4,DC,2,100,2
1738263928.907631,200173.500,29217,4,DC,2,100,EA
1738263928.934132,200200.000,29217,4,DC,2,100,1
1738263928.960633,200226.500,29217,4,DC,2,100,EL
1738263928.987134,200253.000,29217,4,DC,2,100,1
1738263929.011135,200277.000,29233,4,DC,2,100,EA
1738263929.035136,200301.000,29233,4,DC,2,100,2
1738263929.059136,200325.000,29233,4,DC,2,100,EL
1738263929.083137,200349.000,29233,4,DC,2,100,2
1738263929.109138,200375.000,29250,4,DC,2,100,EA
1738263929.135139,200401.000,29250,4,DC,2,100,1
1738263929.161140,200427.000,29250,4,DC,2,100,EL
1738263929.187141,200453.000,29250,4,DC,2,100,1
1738263929.212642,200478.500,29266,4,DC,2,100,EA
1738263929.238143,200504.000,29266,4,DC,2,100,2
1738263929.263644,200529.500,29266,4,DC,2,100,EL
1738263929.289145,200555.000,29266,4,DC,2,100,2
1738263929.314396,200580.250,29283,4,DC,2,100,EA
1738263929.339647,200605.500,29283,4,DC,2,100,1
1738263929.364898,200630.750,29283,4,DC,2,100,EL
1738263929.390149,200656.000,29283,4,DC,2,100,1
1738263929.415900,200681.750,29299,4,DC,2,100,EA
1738263929.441651,200707.500,29299,4,DC,2,100,2
1738263929.467402,200733.250,29299,4,DC,2,100,EL
1738263929.493153,200759.000,29299,4,DC,2,100,2
1738263929.518404,200784.250,29316,4,DC,2,100,EA
1738263929.543655,200809.500,29316,4,DC,2,100,1
1738263929.568906,200834.750,29316,4,DC,2,100,EL
1738263929.594157,200860.000,29316,4,DC,2,100,1
1738263929.619908,200885.750,29334,4,DC,2,100,EA
1738263929.645659,200911.500,29334,4,DC,2,100,2
1738263929.671410,200937.250,29334,4,DC,2,100,EL
1738263929.697161,200963.000,29334,4,DC,2,100,2
1738263929.723912,200989.750,29351,4,DC,2,100,EA
1738263929.750663,201016.500,29351,4,DC,2,100,1
