LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1738265311.220477,1585279.000,47706,2,RD,1,100,TL
1738265311.220477,1585279.000,47706,2,RD,1,100,TU
1738265313.939530,1587840.000,48496,2,RD,1,100,TL
1738265316.658583,1590401.000,48496,2,RD,1,100,TU
1738265319.382944,1592967.000,49282,2,RD,1,100,TL
1738265322.107306,1595533.000,49282,2,RD,1,100,TU
1738265324.830075,1598097.500,50068,2,RD,1,100,TL
1738265327.552844,1600662.000,50068,2,RD,1,100,TU
1738265330.279329,1603230.000,50864,2,RD,1,100,TL
1738265333.005813,1605798.000,50864,2,RD,1,100,TU
1738265335.714780,1608349.500,51646,2,RD,1,100,TL
1738265338.423747,1610901.000,51646,2,RD,1,100,TU
1738265341.147047,1613466.000,52443,2,RD,1,100,TL
1738265343.870346,1616031.000,52443,2,RD,1,100,TU
1738265346.596831,1618599.000,53241,2,RD,1,100,TL
1738265349.323316,1621167.000,53241,2,RD,1,100,TU
1738265352.048209,1623733.500,54038,2,RD,1,100,TL
1738265354.773101,1626300.000,54038,2,RD,1,100,TU
1738265357.483660,1628853.000,54817,2,RD,1,100,TL
1738265360.194219,1631406.000,54817,2,RD,1,100,TU
