LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1738265310.256439,1584371.000,47574,1,BV,1,100,3.81
1738265315.563954,1589370.000,48351,1,BV,1,100,3.80
1738265320.872531,1594370.000,49121,1,BV,1,100,3.81
1738265326.180046,1599369.000,49875,1,BV,1,100,3.80
1738265331.488622,1604369.000,50652,1,BV,1,100,3.80
1738265336.796137,1609368.000,51418,1,BV,1,100,3.80
1738265342.104714,1614368.000,52200,1,BV,1,100,3.80
1738265347.412229,1619367.000,52965,1,BV,1,100,3.80
1738265352.720805,1624367.000,53748,1,BV,1,100,3.80
1738265358.028320,1629366.000,54512,1,BV,1,100,3.80
1738265363.336897,1634366.000,55296,1,BV,1,100,3.80
