LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1738265313.365142,1587299.000,48021,3,MY,1,100,-59
1738265313.407610,1587339.000,48038,2,MY,1,100,-60
1738265313.450079,1587379.000,48038,2,MY,1,100,-60
1738265313.492548,1587419.000,48052,3,MY,1,100,-60
1738265313.535016,1587459.000,48052,3,MY,1,100,-60
1738265313.577485,1587499.000,48052,3,MY,1,100,-59
1738265313.619953,1587539.000,48068,2,MY,1,100,-59
1738265313.662422,1587579.000,48068,2,MY,1,100,-59
1738265313.704890,1587619.000,48083,3,MY,1,100,-59
1738265313.747359,1587659.000,48083,3,MY,1,100,-60
1738265313.789828,1587699.000,48083,3,MY,1,100,-60
1738265313.832296,1587739.000,48100,2,MY,1,100,-59
1738265313.874765,1587779.000,48100,2,MY,1,100,-60
1738265313.917234,1587819.000,48114,3,MY,1,100,-60
1738265313.959702,1587859.000,48114,3,MY,1,100,-59
1738265314.002171,1587899.000,48114,3,MY,1,100,-61
1738265314.044640,1587939.000,48130,3,MY,1,100,-58
1738265314.087108,1587979.000,48130,3,MY,1,100,-58
1738265314.129577,1588019.000,48130,3,MY,1,100,-60
1738265314.178946,1588065.500,48146,2,MY,1,100,-60
1738265314.228316,1588112.000,48146,2,MY,1,100,-59
1738265314.271316,1588152.500,48162,2,MY,1,100,-60
1738265314.314315,1588193.000,48162,2,MY,1,100,-60
1738265314.356430,1588232.667,48176,3,MY,1,100,-60
1738265314.398545,1588272.333,48176,3,MY,1,100,-58
1738265314.440659,1588312.000,48176,3,MY,1,100,-60
1738265314.483128,1588352.000,48193,2,MY,1,100,-59
1738265314.525597,1588392.000,48193,2,MY,1,100,-59
1738265314.568065,1588432.000,48208,3,MY,1,100,-58
1738265314.610534,1588472.000,48208,3,MY,1,100,-59
1738265314.653003,1588512.000,48208,3,MY,1,100,-60
1738265314.695471,1588552.000,48224,3,MY,1,100,-59
1738265314.737940,1588592.000,48224,3,MY,1,100,-59
1738265314.780408,1588632.000,48224,3,MY,1,100,-60
1738265314.822877,1588672.000,48239,2,MY,1,100,-60
1738265314.865345,1588712.000,48239,2,MY,1,100,-59
1738265314.907814,1588752.000,48255,3,MY,1,100,-60
1738265314.950283,1588792.000,48255,3,MY,1,100,-60
1738265314.992751,1588832.000,48255,3,MY,1,100,-59
1738265315.035220,1588872.000,48270,2,MY,1,100,-60
1738265315.077688,1588912.000,48270,2,MY,1,100,-61
1738265315.120157,1588952.000,48286,3,MY,1,100,-58
1738265315.162626,1588992.000,48286,3,MY,1,100,-58
1738265315.205094,1589032.000,48286,3,MY,1,100,-60
1738265315.247563,1589072.000,48302,2,MY,1,100,-60
1738265315.290032,1589112.000,48302,2,MY,1,100,-59
1738265315.339932,1589159.000,48317,2,MY,1,100,-60
1738265315.389833,1589206.000,48317,2,MY,1,100,-61
1738265315.432302,1589246.000,48332,3,MY,1,100,-60
1738265315.474770,1589286.000,48332,3,MY,1,100,-59
1738265315.517239,1589326.000,48332,3,MY,1,100,-59
1738265315.559707,1589366.000,48349,2,MY,1,100,-59
1738265315.602176,1589406.000,48349,2,MY,1,100,-59
1738265315.644644,1589446.000,48366,3,MY,1,100,-58
1738265315.687113,1589486.000,48366,3,MY,1,100,-59
1738265315.729582,1589526.000,48366,3,MY,1,100,-61
1738265315.772050,1589566.000,48381,3,MY,1,100,-60
1738265315.814519,1589606.000,48381,3,MY,1,100,-58
1738265315.856987,1589646.000,48381,3,MY,1,100,-59
1738265315.898925,1589685.500,48397,2,MY,1,100,-60
1738265315.940863,1589725.000,48397,2,MY,1,100,-59
1738265315.983332,1589765.000,48413,3,MY,1,100,-60
1738265316.025800,1589805.000,48413,3,MY,1,100,-60
1738265316.068269,1589845.000,48413,3,MY,1,100,-58
1738265316.110738,1589885.000,48428,2,MY,1,100,-60
1738265316.153206,1589925.000,48428,2,MY,1,100,-59
1738265316.196029,1589965.333,48443,3,MY,1,100,-60
1738265316.238851,1590005.667,48443,3,MY,1,100,-61
1738265316.281674,1590046.000,48443,3,MY,1,100,-60
1738265316.324142,1590086.000,48459,2,MY,1,100,-60
1738265316.366611,1590126.000,48459,2,MY,1,100,-59
1738265316.408726,1590165.667,48475,3,MY,1,100,-59
1738265316.450840,1590205.333,48475,3,MY,1,100,-60
1738265316.492955,1590245.000,48475,3,MY,1,100,-58
1738265316.542856,1590292.000,48490,2,MY,1,100,-59
1738265316.592756,1590339.000,48490,2,MY,1,100,-58
1738265316.635225,1590379.000,48512,4,MY,1,100,-58
1738265316.677694,1590419.000,48512,4,MY,1,100,-60
1738265316.720162,1590459.000,48512,4,MY,1,100,-59
1738265316.762631,1590499.000,48512,4,MY,1,100,-59
1738265316.805099,1590539.000,48527,2,MY,1,100,-60
1738265316.847568,1590579.000,48527,2,MY,1,100,-60
1738265316.890037,1590619.000,48542,3,MY,1,100,-60
1738265316.932505,1590659.000,48542,3,MY,1,100,-60
1738265316.974974,1590699.000,48542,3,MY,1,100,-60
1738265317.017442,1590739.000,48558,2,MY,1,100,-60
1738265317.059911,1590779.000,48558,2,MY,1,100,-58
1738265317.102380,1590819.000,48574,3,MY,1,100,-58
1738265317.144848,1590859.000,48574,3,MY,1,100,-58
1738265317.187317,1590899.000,48574,3,MY,1,100,-59
1738265317.229785,1590939.000,48589,2,MY,1,100,-59
1738265317.272254,1590979.000,48589,2,MY,1,100,-58
1738265317.314723,1591019.000,48605,3,MY,1,100,-59
1738265317.357191,1591059.000,48605,3,MY,1,100,-58
1738265317.399660,1591099.000,48605,3,MY,1,100,-60
1738265317.442129,1591139.000,48620,2,MY,1,100,-59
1738265317.484597,1591179.000,48620,2,MY,1,100,-60
1738265317.527066,1591219.000,48636,3,MY,1,100,-59
1738265317.569534,1591259.000,48636,3,MY,1,100,-58
1738265317.612003,1591299.000,48636,3,MY,1,100,-60
1738265317.654472,1591339.000,48652,2,MY,1,100,-59
1738265317.696940,1591379.000,48652,2,MY,1,100,-59
1738265317.744009,1591423.333,48667,3,MY,1,100,-58
1738265317.791079,1591467.667,48667,3,MY,1,100,-60
1738265317.838148,1591512.000,48667,3,MY,1,100,-58
1738265317.880617,1591552.000,48682,2,MY,1,100,-60
1738265317.923086,1591592.000,48682,2,MY,1,100,-59
1738265317.965554,1591632.000,48698,3,MY,1,100,-59
1738265318.008023,1591672.000,48698,3,MY,1,100,-59
1738265318.050491,1591712.000,48698,3,MY,1,100,-60
1738265318.092960,1591752.000,48714,2,MY,1,100,-58
1738265318.135429,1591792.000,48714,2,MY,1,100,-59
1738265318.177897,1591832.000,48729,3,MY,1,100,-59
1738265318.220366,1591872.000,48729,3,MY,1,100,-59
1738265318.262835,1591912.000,48729,3,MY,1,100,-60
1738265318.305303,1591952.000,48744,2,MY,1,100,-58
1738265318.347772,1591992.000,48744,2,MY,1,100,-58
1738265318.390240,1592032.000,48761,3,MY,1,100,-58
1738265318.432709,1592072.000,48761,3,MY,1,100,-59
1738265318.475178,1592112.000,48761,3,MY,1,100,-58
1738265318.517646,1592152.000,48776,3,MY,1,100,-60
1738265318.560115,1592192.000,48776,3,MY,1,100,-60
1738265318.602583,1592232.000,48776,3,MY,1,100,-60
1738265318.645052,1592272.000,48792,2,MY,1,100,-60
1738265318.687521,1592312.000,48792,2,MY,1,100,-60
1738265318.729989,1592352.000,48807,3,MY,1,100,-60
1738265318.772458,1592392.000,48807,3,MY,1,100,-59
1738265318.814926,1592432.000,48807,3,MY,1,100,-58
1738265318.857395,1592472.000,48823,2,MY,1,100,-60
1738265318.899864,1592512.000,48823,2,MY,1,100,-60
1738265318.949234,1592558.500,48838,2,MY,1,100,-61
1738265318.998603,1592605.000,48838,2,MY,1,100,-60
1738265319.041072,1592645.000,48855,3,MY,1,100,-60
1738265319.083540,1592685.000,48855,3,MY,1,100,-60
1738265319.126009,1592725.000,48855,3,MY,1,100,-58
1738265319.168478,1592765.000,48869,2,MY,1,100,-60
1738265319.210946,1592805.000,48869,2,MY,1,100,-60
1738265319.253415,1592845.000,48885,3,MY,1,100,-58
1738265319.295883,1592885.000,48885,3,MY,1,100,-59
1738265319.338352,1592925.000,48885,3,MY,1,100,-59
1738265319.380821,1592965.000,48900,3,MY,1,100,-60
1738265319.423289,1593005.000,48900,3,MY,1,100,-59
1738265319.465758,1593045.000,48900,3,MY,1,100,-59
1738265319.508227,1593085.000,48917,2,MY,1,100,-60
1738265319.550695,1593125.000,48917,2,MY,1,100,-60
1738265319.593164,1593165.000,48931,3,MY,1,100,-60
1738265319.635633,1593205.000,48931,3,MY,1,100,-59
1738265319.678101,1593245.000,48931,3,MY,1,100,-59
1738265319.720570,1593285.000,48947,2,MY,1,100,-58
1738265319.763038,1593325.000,48947,2,MY,1,100,-60
1738265319.805507,1593365.000,48963,3,MY,1,100,-59
1738265319.847975,1593405.000,48963,3,MY,1,100,-59
1738265319.890444,1593445.000,48963,3,MY,1,100,-60
1738265319.932913,1593485.000,48979,2,MY,1,100,-58
1738265319.975381,1593525.000,48979,2,MY,1,100,-58
1738265320.017850,1593565.000,48993,3,MY,1,100,-60
1738265320.060318,1593605.000,48993,3,MY,1,100,-59
1738265320.102787,1593645.000,48993,3,MY,1,100,-59
1738265320.152157,1593691.500,49010,2,MY,1,100,-60
1738265320.201527,1593738.000,49010,2,MY,1,100,-59
1738265320.243995,1593778.000,49025,3,MY,1,100,-60
1738265320.286464,1593818.000,49025,3,MY,1,100,-60
1738265320.328933,1593858.000,49025,3,MY,1,100,-60
1738265320.371401,1593898.000,49041,2,MY,1,100,-59
1738265320.413870,1593938.000,49041,2,MY,1,100,-59
1738265320.456692,1593978.333,49055,3,MY,1,100,-60
1738265320.499515,1594018.667,49055,3,MY,1,100,-58
1738265320.542337,1594059.000,49055,3,MY,1,100,-60
1738265320.584806,1594099.000,49072,2,MY,1,100,-58
1738265320.627275,1594139.000,49072,2,MY,1,100,-58
1738265320.669743,1594179.000,49087,3,MY,1,100,-59
