LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1738265330.180589,1603137,50605,1,SR,1,100,0.933333
1738265331.454647,1604337,50655,1,SR,1,100,0.066667
1738265332.091676,1604937,50767,1,SR,1,100,0.200000
1738265333.011122,1605803,50884,1,SR,1,100,0.133333
1738265333.293538,1606069,51027,1,SR,1,100,0.733333
1738265334.214046,1606936,51230,1,SR,1,100,1.266667
1738265337.681608,1610202,51564,1,SR,1,100,0.066667
1738265337.893951,1610402,51612,1,SR,1,100,0.266667
1738265340.017381,1612402,52122,1,SR,1,100,1.533333
1738265359.764225,1631001,54869,1,SR,1,100,0.666667
1738265360.612535,1631800,54934,1,SR,1,100,0.266667
1738265361.957729,1633067,55141,1,SR,1,100,0.400000
