Timestamp,BI
1738263926.88145,940
1738263927.82109,997
1738263928.55266,940
1738263929.60656,859.5
1738263937.6861,779
1738263938.87078,773.5
1738263939.17892,773.5
1738263939.95805,773.5
1738263940.27902,777.5
1738263940.67108,777.5
1738263941.59521,790.5
1738263942.39764,777.5
1738263943.17347,777.5
1738263944.09891,679.5
1738263945.28639,776
1738263945.66049,789
1738263946.24312,776
1738263946.5678,776
1738263947.34383,679.5
1738263948.65568,557
1738263948.99016,486
1738263949.97766,557
1738263950.34528,627.5
1738263950.87606,627.5
1738263951.31698,627.5
1738263952.1851,612
1738263952.90937,612
1738263953.37297,612
1738263954.31576,687.5
1738263955.00903,708.5
1738263955.50632,708.5
1738263956.46951,687.5
1738263957.1514,687.5
1738263957.96732,748
1738263958.47145,748
1738263958.79626,804.5
1738263959.6103,804.5
1738263960.41299,804.5
1738263961.24608,810
1738263962.05172,804.5
1738263962.73986,810
1738263963.61765,823.5
1738263964.9565,819.5
1738263965.5987,819.5
1738263974.34819,747
1738263975.36379,772.5
1738263976.01519,754
1738263976.37975,754
1738263976.75728,750.5
1738263977.61478,757.5
1738263978.058,658
1738263987.1467,589.5
1738263987.99671,596.5
1738263988.6614,596.5
1738263989.05108,719.5
1738263989.57903,596.5
1738263990.69077,719.5
1738263991.04312,596.5
1738263991.81724,468.5
1738263992.15733,468.5
1738264006.76097,559
1738264011.3738,668
1738264011.70027,668
1738264012.28996,668
1738264013.0355,668
1738264016.91674,877
1738264021.65595,735.5
1738264022.00433,780
1738264023.17543,798
1738264024.93332,798
1738264025.6588,852
1738264026.47283,844.5
1738264027.25486,844.5
1738264028.00589,844.5
1738264028.89626,844.5
1738264029.77129,798
1738264030.69272,844.5
1738264031.32601,882.5
1738264032.28555,882.5
1738264032.64507,905.5
1738264034.25633,898
1738264036.03547,940.5
1738264036.54151,837.5
1738264038.07227,848
1738264041.06738,725.5
1738264042.43898,1054
1738264043.15413,1054
1738264043.89009,725.5
1738264044.58782,725.5
1738264046.05037,725.5
1738264050.38385,1033
1738264050.71075,725.5
1738264051.27077,1033
1738264052.60055,1103.5
1738264054.25088,1103.5
1738264057.2064,813
1738264058.80515,763.5
1738264062.30509,827.5
1738264063.05366,827.5
1738264063.71133,763.5
1738264064.48927,763.5
1738264065.44064,763.5
1738264065.87273,720
1738264066.53635,720
1738264067.9634,686.5
1738264072.81368,719
1738264073.49611,719
1738264074.87655,686.5
1738264075.46639,686.5
1738264076.21332,719
1738264079.62985,686.5
1738264083.66289,714.5
1738264084.31012,833
1738264088.95575,710
1738264089.62873,710
1738264091.13795,796
1738264092.46833,796
1738264092.81775,837.5
1738264093.29109,837.5
1738264094.41441,939.5
1738264096.25593,1226.5
1738264097.01184,939.5
1738264097.68633,744.5
1738264099.47624,744.5
1738264101.24567,939.5
1738264101.97906,751
1738264102.57326,739.5
1738264103.1942,739.5
1738264104.4739,739.5
1738264105.22027,731
1738264105.94918,731
1738264106.80354,719
1738264107.29535,737.5
1738264109.89618,764.5
1738264110.67957,737.5
1738264113.50233,722
1738264114.99199,712
1738264116.48024,687
1738264117.14549,687
1738264117.8603,712
1738264118.47168,712
1738264118.99454,690
1738264119.42636,638
1738264120.6962,638
1738264121.88912,663
1738264129.43694,902
1738264129.88939,1047
1738264131.15553,1229.5
1738264132.80386,1229.5
1738264134.2151,1047
1738264135.11628,850.5
1738264136.58691,850.5
1738264136.93782,850.5
1738264137.49784,758.5
1738264141.04463,707
1738264141.6922,680.5
1738264142.33077,677.5
1738264146.17977,677.5
1738264146.87706,688
1738264147.54115,688
1738264148.23199,674.5
1738264148.97914,688
1738264149.6645,688
1738264150.10343,674.5
1738264150.47853,674.5
1738264151.18456,688
1738264151.82325,695.5
1738264154.52609,662
1738264155.91147,626
1738264156.67977,626
1738264157.40752,626
1738264158.02022,626
1738264158.40111,593.5
1738264158.70845,650.5
1738264159.28223,650.5
1738264159.9698,650.5
1738264172.35103,650.5
1738264173.16219,667
1738264173.88897,707.5
1738264177.36715,707.5
1738264178.82261,751
1738264179.46843,751
1738264183.37087,751
1738264183.98814,751
1738264187.82117,1012
1738264188.40107,986
1738264189.0141,710.5
1738264199.44294,866.5
1738264200.78144,794
1738264201.97821,861
1738264202.56224,861
1738264203.52014,861
1738264204.1502,861
1738264204.9146,861
1738264206.89989,861
1738264207.36399,763
1738264208.11352,861
1738264219.35742,763
1738264220.919,951
1738264227.60416,950
1738264229.02307,756
1738264235.11702,950
1738264236.25499,1086
1738264236.59762,1086
1738264237.16255,1086
1738264241.87736,1250.5
1738264242.91114,1250.5
1738264246.80519,1250.5
1738264251.78628,1363
1738264253.14913,1457.5
1738264257.04787,1552
1738264267.46233,1457.5
