LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1738265309.316821,1583486.000,47424,1,GX,1,100,-0.122
1738265309.366191,1583532.500,47441,2,GX,1,100,-0.153
1738265309.415561,1583579.000,47441,2,GX,1,100,-0.122
1738265309.458383,1583619.333,47457,3,GX,1,100,-0.244
1738265309.501206,1583659.667,47457,3,GX,1,100,-0.092
1738265309.544028,1583700.000,47457,3,GX,1,100,-0.092
1738265309.585966,1583739.500,47473,2,GX,1,100,0.000
1738265309.627904,1583779.000,47473,2,GX,1,100,0.153
1738265309.670372,1583819.000,47488,3,GX,1,100,0.031
1738265309.712841,1583859.000,47488,3,GX,1,100,-0.214
1738265309.755310,1583899.000,47488,3,GX,1,100,-0.122
1738265309.798309,1583939.500,47503,2,GX,1,100,0.000
1738265309.841309,1583980.000,47503,2,GX,1,100,-0.092
1738265309.883777,1584020.000,47520,3,GX,1,100,-0.122
1738265309.926246,1584060.000,47520,3,GX,1,100,-0.122
1738265309.968714,1584100.000,47520,3,GX,1,100,-0.061
1738265310.011183,1584140.000,47535,2,GX,1,100,-0.153
1738265310.053652,1584180.000,47535,2,GX,1,100,-0.092
1738265310.095766,1584219.667,47550,3,GX,1,100,0.092
1738265310.137881,1584259.333,47550,3,GX,1,100,-0.031
1738265310.179996,1584299.000,47550,3,GX,1,100,-0.122
1738265310.222464,1584339.000,47568,3,GX,1,100,-0.153
1738265310.264933,1584379.000,47568,3,GX,1,100,0.031
1738265310.307402,1584419.000,47568,3,GX,1,100,0.122
1738265310.349870,1584459.000,47586,2,GX,1,100,0.153
1738265310.392339,1584499.000,47586,2,GX,1,100,0.244
1738265310.434807,1584539.000,47601,3,GX,1,100,0.000
1738265310.477276,1584579.000,47601,3,GX,1,100,-0.122
1738265310.519745,1584619.000,47601,3,GX,1,100,-0.366
1738265310.569645,1584666.000,47616,2,GX,1,100,-0.244
1738265310.619546,1584713.000,47616,2,GX,1,100,0.061
1738265310.662014,1584753.000,47632,2,GX,1,100,0.061
1738265310.704483,1584793.000,47632,2,GX,1,100,-0.092
