LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1738264089.134207,360394,53921,1,SR,1,100,0.133333
1738264098.599566,369859,55397,1,SR,1,100,0.200000
1738264105.665834,376925,56470,1,SR,1,100,0.133333
1738264121.132421,392391,58879,1,SR,1,100,0.266667
1738264121.665441,392924,59179,1,SR,1,100,1.666667
1738264141.264184,412522,61959,1,SR,1,100,0.200000
1738264142.464230,413722,62179,1,SR,1,100,0.466667
1738264143.197258,414455,62276,1,SR,1,100,0.333333
1738264144.064290,415322,62420,1,SR,1,100,0.333333
1738264144.797318,416055,62517,1,SR,1,100,0.200000
1738264147.597424,418855,63073,1,SR,1,100,1.066667
1738264148.796470,420054,63183,1,SR,1,100,0.533333
1738264149.463495,420721,63216,1,SR,1,100,0.133333
1738264150.397531,421655,63380,1,SR,1,100,0.200000
1738264152.329604,423587,63701,1,SR,1,100,0.333333
1738264153.063632,424321,63783,1,SR,1,100,0.066667
1738264157.330793,428588,64531,1,SR,1,100,0.666667
1738264158.262829,429520,64677,1,SR,1,100,0.600000
1738264159.795887,431053,64852,1,SR,1,100,0.200000
1738264160.129900,431387,64885,1,SR,1,100,0.133333
1738264160.662920,431920,64982,1,SR,1,100,0.133333
1738264161.796963,433054,65475,1,SR,1,100,2.200000
1738264166.796152,438053,417,1,SR,1,100,0.333333
1738264167.662185,438919,516,1,SR,1,100,0.066667
1738264168.662223,439919,693,1,SR,1,100,0.200000
1738264168.996236,440253,727,1,SR,1,100,0.066667
1738264170.395289,441652,963,1,SR,1,100,0.200000
1738264172.662375,443919,1579,1,SR,1,100,1.933333
1738264176.995539,448252,2039,1,SR,1,100,0.533333
1738264178.594600,449851,2214,1,SR,1,100,0.066667
1738264179.195623,450452,2310,1,SR,1,100,0.066667
1738264179.394630,450651,2390,1,SR,1,100,0.333333
1738264181.861724,453118,2737,1,SR,1,100,0.066667
1738264189.127999,460384,4026,1,SR,1,100,1.066667
1738264191.261080,462517,4215,1,SR,1,100,0.200000
1738264193.461164,464717,4552,1,SR,1,100,0.133333
1738264195.994260,467250,4944,1,SR,1,100,0.133333
1738264199.727401,470983,5609,1,SR,1,100,0.666667
1738264200.527432,471783,5661,1,SR,1,100,0.133333
1738264205.593624,476849,6569,1,SR,1,100,0.933333
1738264207.726705,478982,6778,1,SR,1,100,0.200000
1738264208.993753,480249,7047,1,SR,1,100,0.666667
1738264210.059793,481315,7126,1,SR,1,100,0.133333
1738264210.326803,481582,7207,1,SR,1,100,0.400000
1738264210.859823,482115,7333,1,SR,1,100,0.600000
1738264213.059907,484315,7589,1,SR,1,100,0.066667
1738264213.259914,484515,7625,1,SR,1,100,0.133333
1738264214.526963,485782,8094,1,SR,1,100,1.933333
1738264217.392071,488647,8266,1,SR,1,100,0.133333
1738264217.660081,488915,8356,1,SR,1,100,0.400000
1738264218.193102,489448,8437,1,SR,1,100,0.333333
1738264220.126175,491381,8756,1,SR,1,100,0.466667
1738264222.526266,493781,9216,1,SR,1,100,1.000000
1738264225.125365,496380,9467,1,SR,1,100,0.066667
1738264228.126478,499381,9941,1,SR,1,100,0.066667
1738264228.325486,499580,9977,1,SR,1,100,0.066667
1738264229.992549,501247,10245,1,SR,1,100,0.200000
1738264230.992587,502247,10512,1,SR,1,100,0.866667
1738264232.258635,503513,10607,1,SR,1,100,0.200000
1738264233.658688,504913,10881,1,SR,1,100,0.666667
1738264235.391754,506646,11150,1,SR,1,100,0.666667
1738264236.191784,507446,11183,1,SR,1,100,0.066667
1738264236.658802,507913,11312,1,SR,1,100,0.333333
1738264237.391830,508646,11484,1,SR,1,100,0.800000
1738264238.324865,509579,11602,1,SR,1,100,0.533333
1738264239.657916,510912,11729,1,SR,1,100,0.066667
1738264242.324017,513578,12184,1,SR,1,100,0.266667
1738264245.457136,516711,12756,1,SR,1,100,0.800000
1738264247.125199,518379,13007,1,SR,1,100,0.800000
1738264250.057310,521311,13405,1,SR,1,100,0.400000
1738264250.590330,521844,13485,1,SR,1,100,0.400000
1738264254.657485,525911,14134,1,SR,1,100,0.533333
1738264255.723525,526977,14263,1,SR,1,100,0.333333
1738264258.590634,529844,14978,1,SR,1,100,2.000000
1738264261.789755,533043,15247,1,SR,1,100,0.533333
1738264262.989800,534243,15440,1,SR,1,100,0.600000
1738264268.723018,539976,16282,1,SR,1,100,0.333333
1738264270.123071,541376,16477,1,SR,1,100,0.266667
1738264271.789134,543042,16790,1,SR,1,100,0.666667
1738264276.523314,547776,17472,1,SR,1,100,0.333333
1738264278.056372,549309,17793,1,SR,1,100,0.866667
1738264282.522541,553775,18412,1,SR,1,100,0.800000
1738264284.788627,556041,18937,1,SR,1,100,1.933333
1738264287.521731,558774,19209,1,SR,1,100,0.933333
1738264288.721776,559974,19290,1,SR,1,100,0.200000
1738264289.988824,561241,19467,1,SR,1,100,0.200000
1738264292.721928,563974,19920,1,SR,1,100,0.333333
1738264293.587961,564840,20095,1,SR,1,100,0.600000
1738264295.788044,567040,20417,1,SR,1,100,0.466667
1738264298.787158,570039,20824,1,SR,1,100,0.066667
1738264299.255176,570507,20983,1,SR,1,100,0.666667
1738264300.188211,571440,21052,1,SR,1,100,0.200000
1738264300.654229,571906,21116,1,SR,1,100,0.066667
1738264300.988241,572240,21168,1,SR,1,100,0.066667
1738264301.188249,572440,21201,1,SR,1,100,0.066667
1738264301.921277,573173,21361,1,SR,1,100,0.333333
1738264302.654305,573906,21425,1,SR,1,100,0.066667
1738264302.854312,574106,21504,1,SR,1,100,0.333333
1738264303.720345,574972,21618,1,SR,1,100,0.200000
1738264304.320368,575572,21829,1,SR,1,100,0.933333
1738264307.387484,578639,22242,1,SR,1,100,0.533333
1738264309.386560,580638,22528,1,SR,1,100,0.266667
1738264311.120626,582372,22895,1,SR,1,100,0.933333
1738264312.319671,583571,22959,1,SR,1,100,0.200000
1738264313.053699,584305,23182,1,SR,1,100,0.866667
1738264314.320747,585572,23292,1,SR,1,100,0.333333
1738264315.053775,586305,23485,1,SR,1,100,0.800000
1738264316.786841,588038,23690,1,SR,1,100,0.400000
1738264317.986886,589238,23896,1,SR,1,100,0.533333
1738264318.653912,589905,23945,1,SR,1,100,0.200000
1738264319.385939,590637,24134,1,SR,1,100,0.600000
1738264320.385977,591637,24219,1,SR,1,100,0.133333
1738264320.653987,591905,24284,1,SR,1,100,0.266667
1738264321.319013,592570,24379,1,SR,1,100,0.266667
1738264322.119043,593370,24570,1,SR,1,100,0.600000
1738264323.653101,594904,24714,1,SR,1,100,0.066667
1738264324.120119,595371,24856,1,SR,1,100,0.466667
1738264324.986152,596237,24951,1,SR,1,100,0.200000
1738264325.453169,596704,25083,1,SR,1,100,0.533333
1738264326.786220,598037,25209,1,SR,1,100,0.066667
1738264326.986228,598237,25273,1,SR,1,100,0.200000
1738264327.852260,599103,25434,1,SR,1,100,0.400000
1738264328.519286,599770,25545,1,SR,1,100,0.400000
1738264330.119346,601370,25749,1,SR,1,100,0.200000
1738264331.118384,602369,26036,1,SR,1,100,1.066667
1738264332.319430,603570,26148,1,SR,1,100,0.600000
1738264333.052458,604303,26181,1,SR,1,100,0.066667
1738264333.519475,604770,26293,1,SR,1,100,0.266667
1738264334.052495,605303,26374,1,SR,1,100,0.266667
1738264334.585516,605836,26470,1,SR,1,100,0.333333
1738264335.452549,606703,26614,1,SR,1,100,0.333333
1738264336.452586,607703,26710,1,SR,1,100,0.066667
1738264336.652594,607903,26743,1,SR,1,100,0.066667
1738264337.251617,608502,26839,1,SR,1,100,0.066667
1738264337.585629,608836,26903,1,SR,1,100,0.200000
1738264338.051647,609302,27062,1,SR,1,100,0.666667
1738264339.118688,610369,27158,1,SR,1,100,0.200000
1738264339.584705,610835,27206,1,SR,1,100,0.133333
1738264340.651746,611902,27394,1,SR,1,100,0.200000
1738264340.984758,612235,27451,1,SR,1,100,0.200000
1738264341.451776,612702,27533,1,SR,1,100,0.266667
1738264342.117801,613368,27630,1,SR,1,100,0.200000
1738264342.851829,614102,27820,1,SR,1,100,0.666667
1738264345.384925,616635,28197,1,SR,1,100,0.533333
1738264346.184956,617435,28253,1,SR,1,100,0.133333
1738264346.450966,617701,28301,1,SR,1,100,0.133333
1738264347.250996,618501,28459,1,SR,1,100,0.333333
1738264347.851019,619101,28554,1,SR,1,100,0.400000
1738264348.784054,620034,28653,1,SR,1,100,0.066667
1738264349.118067,620368,28718,1,SR,1,100,0.133333
1738264350.052102,621302,28925,1,SR,1,100,0.533333
1738264351.251148,622501,29088,1,SR,1,100,0.266667
1738264351.918173,623168,29218,1,SR,1,100,0.466667
1738264352.651201,623901,29299,1,SR,1,100,0.266667
1738264353.318226,624568,29398,1,SR,1,100,0.133333
1738264353.584236,624834,29431,1,SR,1,100,0.066667
1738264354.051254,625301,29495,1,SR,1,100,0.066667
1738264354.251261,625501,29545,1,SR,1,100,0.133333
1738264354.651277,625901,29640,1,SR,1,100,0.400000
1738264355.584312,626834,29813,1,SR,1,100,0.533333
1738264357.450383,628700,30132,1,SR,1,100,0.733333
1738264358.317416,629567,30199,1,SR,1,100,0.333333
1738264359.583464,630833,30465,1,SR,1,100,0.733333
1738264363.517613,634767,31006,1,SR,1,100,0.266667
1738264364.717659,635967,31213,1,SR,1,100,0.533333
1738264365.783699,637033,31326,1,SR,1,100,0.133333
1738264366.050709,637300,31373,1,SR,1,100,0.133333
1738264366.716734,637966,31490,1,SR,1,100,0.266667
1738264367.116750,638366,31539,1,SR,1,100,0.200000
1738264367.849777,639099,31649,1,SR,1,100,0.200000
1738264369.516840,640766,31890,1,SR,1,100,0.066667
1738264369.716848,640966,31938,1,SR,1,100,0.200000
1738264370.049861,641299,32126,1,SR,1,100,1.000000
1738264371.316909,642566,32244,1,SR,1,100,0.466667
1738264372.849967,644099,32448,1,SR,1,100,0.266667
1738264373.515992,644765,32562,1,SR,1,100,0.333333
1738264374.250020,645499,32673,1,SR,1,100,0.333333
1738264375.849081,647098,32895,1,SR,1,100,0.066667
1738264376.049088,647298,32946,1,SR,1,100,0.266667
1738264376.449103,647698,33010,1,SR,1,100,0.200000
1738264378.916197,650165,33424,1,SR,1,100,0.466667
1738264380.316250,651565,33615,1,SR,1,100,0.266667
1738264382.049316,653298,33856,1,SR,1,100,0.133333
1738264382.715341,653964,33968,1,SR,1,100,0.200000
1738264383.182359,654431,34019,1,SR,1,100,0.066667
1738264383.382366,654631,34177,1,SR,1,100,0.866667
1738264385.315440,656564,34427,1,SR,1,100,0.533333
1738264386.248475,657497,34554,1,SR,1,100,0.466667
1738264386.982503,658231,34670,1,SR,1,100,0.400000
1738264387.648528,658897,34719,1,SR,1,100,0.066667
1738264387.982541,659231,34783,1,SR,1,100,0.133333
1738264388.248551,659497,34818,1,SR,1,100,0.066667
1738264389.448596,660697,35008,1,SR,1,100,0.133333
1738264389.715606,660964,35056,1,SR,1,100,0.200000
1738264390.248627,661497,35150,1,SR,1,100,0.200000
1738264391.915690,663164,35424,1,SR,1,100,0.266667
1738264392.314705,663563,35521,1,SR,1,100,0.600000
1738264393.848763,665097,35683,1,SR,1,100,0.066667
1738264394.181776,665430,35762,1,SR,1,100,0.200000
1738264394.915804,666164,35873,1,SR,1,100,0.133333
1738264395.314819,666563,35921,1,SR,1,100,0.066667
1738264395.915842,667164,36082,1,SR,1,100,0.533333
1738264396.981882,668230,36177,1,SR,1,100,0.133333
1738264397.248892,668497,36214,1,SR,1,100,0.133333
1738264397.914917,669163,36327,1,SR,1,100,0.200000
1738264402.848104,674096,37108,1,SR,1,100,0.266667
1738264404.247158,675495,37301,1,SR,1,100,0.066667
1738264404.448165,675696,37334,1,SR,1,100,0.066667
1738264409.714365,680962,38166,1,SR,1,100,0.200000
1738264410.180382,681428,38307,1,SR,1,100,0.600000
1738264470.776681,742022,47477,1,SR,1,100,0.133333
1738264472.777756,744023,47834,1,SR,1,100,0.400000
1738264475.309853,746555,48204,1,SR,1,100,0.200000
1738264482.043108,753288,49306,1,SR,1,100,0.666667
1738264483.110148,754355,49434,1,SR,1,100,0.333333
1738264485.309232,756554,49754,1,SR,1,100,0.266667
1738264489.575394,760820,50449,1,SR,1,100,0.533333
1738264494.442578,765687,51210,1,SR,1,100,0.600000
1738264498.575735,769820,51792,1,SR,1,100,0.266667
1738264499.241760,770486,52003,1,SR,1,100,0.933333
1738264501.841859,773086,52286,1,SR,1,100,0.200000
1738264502.175871,773420,52335,1,SR,1,100,0.200000
1738264502.641889,773886,52400,1,SR,1,100,0.066667
1738264502.841897,774086,52433,1,SR,1,100,0.133333
1738264503.241912,774486,52483,1,SR,1,100,0.066667
1738264503.441919,774686,52547,1,SR,1,100,0.266667
1738264504.108945,775353,52661,1,SR,1,100,0.266667
1738264506.309028,777553,53041,1,SR,1,100,0.533333
1738264507.109059,778353,53106,1,SR,1,100,0.200000
1738264507.841086,779085,53266,1,SR,1,100,0.400000
1738264508.375107,779619,53314,1,SR,1,100,0.200000
1738264508.842124,780086,53378,1,SR,1,100,0.133333
1738264509.108134,780352,53476,1,SR,1,100,0.466667
1738264510.641192,781885,53672,1,SR,1,100,0.266667
1738264517.774463,789018,54783,1,SR,1,100,0.266667
1738264518.907506,790151,55025,1,SR,1,100,0.666667
1738264519.707536,790951,55075,1,SR,1,100,0.133333
1738264520.107552,791351,55124,1,SR,1,100,0.066667
1738264520.307559,791551,55163,1,SR,1,100,0.133333
1738264520.841579,792085,55323,1,SR,1,100,0.533333
1738264522.440640,793684,55514,1,SR,1,100,0.200000
